ID	Name	#Gates	#PIs	#POs	#Levels	TableII_TC_%	300k_TC_%	Delta_300k_minus_TableII_%	Pattern_Counts_Reported	Atalanta_CPU_Total_s
D1	b15_C	27838	485	449	158	90.61	81.764	-8.846	668	6.717
D2	b20_C	61667	522	507	165	90.60	90.757	+0.157	1560	6.233
D3	b21_C	62817	522	507	167	89.73	89.682	-0.048	1600	6.367
D4	b22_C	91505	767	750	173	91.70	92.130	+0.430	2183	10.283
D5	i2c	3400	136	127	34	86.11	94.900	+8.790	288	0.317
D6	max	9439	512	129	333	52.65	59.796	+7.146	144	0.283
D7	b17_C	99466	1452	1443	234	86.84	85.623	-1.217	1930	57.633
D8	mem_ctrl	127353	1028	967	195	69.95	65.823	-4.127	3050	145.233
