checkpoint	score_field	groups	top1_accuracy	type_accuracy	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	selected_control0	selected_control1	selected_observe
cone_long_rank_best_final_horizon	typed_marginal_pred	192	0.24479166666666666	0.640625	0.6643124999999993	0.17347395833333337	0.041666666666666664	0.5345345294346714	0.7678438714999037	9	56	127
cone_long_rank_best_final_horizon	typed_return_pred	192	0.08333333333333333	0.4895833333333333	0.1711249999999993	0.6666614583333333	0.11458333333333333	0.32039140335166477	0.6632066639732038	33	34	125
cone_long_rank_best_final_horizon	typed_sa_reduction_total_pred	192	0.203125	0.5989583333333334	0.2784427083333332	0.5593437499999995	0.036458333333333336	0.4327566920764107	0.7096260305863699	2	4	186
cone_long_rank_epoch_010	typed_marginal_pred	192	0.265625	0.6510416666666666	0.6632031249999994	0.17458333333333323	0.041666666666666664	0.5424741442700424	0.7724440317799048	10	57	125
cone_long_rank_epoch_010	typed_return_pred	192	0.08333333333333333	0.5052083333333334	0.17304687499999927	0.6647395833333335	0.109375	0.3479387938119029	0.6771589700518028	32	30	130
cone_long_rank_epoch_010	typed_sa_reduction_total_pred	192	0.23958333333333334	0.59375	0.3324999999999998	0.5052864583333329	0.03125	0.43090753820866184	0.7094882265962112	3	4	185
cone_long_toplist_best_final_horizon	typed_marginal_pred	192	0.2552083333333333	0.6458333333333334	0.6809114583333327	0.15687500000000007	0.046875	0.5102689100192466	0.7550081757607602	11	61	120
cone_long_toplist_best_final_horizon	typed_return_pred	192	0.08854166666666667	0.4947916666666667	0.1874583333333326	0.6503281250000001	0.109375	0.3358440694642941	0.670148267021932	33	37	122
cone_long_toplist_best_final_horizon	typed_sa_reduction_total_pred	192	0.22916666666666666	0.609375	0.251489583333333	0.5862968749999997	0.052083333333333336	0.43584588720650774	0.7112051444455619	0	3	189
cone_long_toplist_epoch_010	typed_marginal_pred	192	0.2604166666666667	0.6458333333333334	0.6697604166666659	0.16802604166666682	0.052083333333333336	0.5221552237403908	0.7592793996362986	10	59	123
cone_long_toplist_epoch_010	typed_return_pred	192	0.08854166666666667	0.5208333333333334	0.17431249999999918	0.6634739583333336	0.09895833333333333	0.3595371942175103	0.681540598535557	27	30	135
cone_long_toplist_epoch_010	typed_sa_reduction_total_pred	192	0.22916666666666666	0.609375	0.3101822916666665	0.5276041666666662	0.03125	0.4307761921319236	0.7086356397051284	1	3	188
