checkpoint	score_field	groups	top1_accuracy	type_accuracy	within_best_type_top1_accuracy	mean_within_best_type_regret_pp	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	mean_same_type_pairwise_accuracy	selected_control0	selected_control1	selected_observe
round8_incumbent	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.47878469730575546	0.7144868196724453	0.41221706226350185	1	1	8
round10_b15_selected	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.4491336283319323	0.7054178820418447	0.39845717234262124	2	0	8
horizon_r8_pairwise_e006	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.47519405997508934	0.7122919714145534	0.4174802201582387	1	1	8
horizon_r8_pairwise_e008	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.4626599225521738	0.7075851755421585	0.4045390436876505	1	1	8
horizon_r8_pairwise_e010	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.47537164568099854	0.7155005738863888	0.4074802201582387	1	1	8
horizon_r8_hybrid_e006	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.47519405997508934	0.7122919714145534	0.4174802201582387	1	1	8
horizon_r8_hybrid_e008	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.47221698192003003	0.7128737974974472	0.4045390436876505	1	1	8
horizon_r8_hybrid_e010	typed_return_pred	10	0.1	0.7	0.1	0.06149999999999545	0.000900000000000345	0.05029999999999646	0.2	0.4909585779112063	0.7241072491465917	0.41274337805297556	1	1	8
horizon_r10_pairwise_e006	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.454535367145919	0.7078003467329748	0.39845717234262124	2	0	8
horizon_r10_pairwise_e008	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.44958839844594306	0.7072957546464118	0.39512383900928794	2	0	8
horizon_r10_pairwise_e010	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.4484335305117521	0.7072772429840646	0.39512383900928794	2	0	8
horizon_r10_hybrid_e006	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.4530641410519694	0.7075573065208669	0.39512383900928794	2	0	8
horizon_r10_hybrid_e008	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.4507408815205728	0.7086471059977633	0.39512383900928794	2	0	8
horizon_r10_hybrid_e010	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.4540052565405401	0.7099984573491145	0.39512383900928794	2	0	8
