node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
__buf_split_1802,1,0,1,0,0
__buf_split_1804,1,0,1,0,0
__buf_split_1830,1,0,1,0,0
__buf_split_1831,1,0,1,0,0
__buf_split_1832,1,0,1,0,0
__buf_split_1833,1,0,1,0,0
__buf_split_1834,1,0,1,0,0
new_n2775_,1,0,1,0,0
new_n2802_,1,0,1,0,0
