checkpoint	score_field	groups	top1_accuracy	type_accuracy	within_best_type_top1_accuracy	mean_within_best_type_regret_pp	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	mean_same_type_pairwise_accuracy	selected_control0	selected_control1	selected_observe
r21	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.4484335305117521	0.7072772429840646	0.39512383900928794	2	0	8
r23	typed_return_pred	10	0.1	0.8	0.1	0.06149999999999545	0.003900000000001125	0.04729999999999568	0.2	0.43781163115587807	0.7009850763558633	0.38884932920536636	2	0	8
