benchmark_id	state_id	candidate_strategy	score_field	k	oracle_top_m	candidate_count	oracle_action_recall	oracle_node_recall	regret	best_in_topk_delta_tc	oracle_best_delta_tc	top1_real_delta_tc	top1_regret	negative_top1
subckt_0335	initial	cached_random	hybrid_pred	16	5	24	0.8	1.0	0.0	0.26969999999999994	0.26969999999999994	0.03373000000000004	0.2359699999999999	0
subckt_0335	initial	cached_random	hybrid_pred	24	5	24	1.0	1.0	0.0	0.26969999999999994	0.26969999999999994	0.03373000000000004	0.2359699999999999	0
subckt_0072	initial	cached_stride	reward_pred	8	5	24	0.6	0.75	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	reward_pred	16	5	24	0.8	1.0	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	reward_pred	24	5	24	1.0	1.0	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	guarded_reward	8	5	24	0.4	0.5	0.20161000000000007	0.041039999999999965	0.24265000000000003	0.02611999999999992	0.2165300000000001	0
subckt_0072	initial	cached_stride	guarded_reward	16	5	24	0.8	0.75	0.0	0.24265000000000003	0.24265000000000003	0.02611999999999992	0.2165300000000001	0
subckt_0072	initial	cached_stride	guarded_reward	24	5	24	1.0	1.0	0.0	0.24265000000000003	0.24265000000000003	0.02611999999999992	0.2165300000000001	0
subckt_0072	initial	cached_stride	hard_reduction_total_pred	8	5	24	0.2	0.25	0.20161000000000007	0.041039999999999965	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	hard_reduction_total_pred	16	5	24	0.8	0.75	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	hard_reduction_total_pred	24	5	24	1.0	1.0	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	hybrid_pred	8	5	24	0.2	0.25	0.20161000000000007	0.041039999999999965	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	hybrid_pred	16	5	24	0.8	0.75	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_stride	hybrid_pred	24	5	24	1.0	1.0	0.0	0.24265000000000003	0.24265000000000003	0.041039999999999965	0.20161000000000007	0
subckt_0072	initial	cached_hard_cone	reward_pred	8	5	24	0.8	0.6666666666666666	0.0	0.041039999999999965	0.041039999999999965	0.041039999999999965	0.0	0
subckt_0072	initial	cached_hard_cone	reward_pred	16	5	24	1.0	1.0	0.0	0.041039999999999965	0.041039999999999965	0.041039999999999965	0.0	0
subckt_0072	initial	cached_hard_cone	reward_pred	24	5	24	1.0	1.0	0.0	0.041039999999999965	0.041039999999999965	0.041039999999999965	0.0	0
subckt_0072	initial	cached_hard_cone	guarded_reward	8	5	24	0.4	1.0	0.0	0.041039999999999965	0.041039999999999965	0.041039999999999965	0.0	0
