benchmark_id	state_id	candidate_strategy	score_field	oracle_best_action	oracle_best_delta_tc	model_top1_action	model_top1_pred	model_top1_real_delta_tc	top1_regret	negative_top1
subckt_0350	initial	cached_stride	hard_reduction_total_pred	__buf_split_26::control0	0.01922999999999997	__buf_split_37::control1	0.11759279668331146	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_stride	hybrid_pred	__buf_split_26::control0	0.01922999999999997	__buf_split_37::control1	12.365731298923492	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	reward_pred	__buf_split_26::control0	0.01922999999999997	__buf_split_33::control1	0.4720560908317566	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	guarded_reward	__buf_split_26::control0	0.01922999999999997	__buf_split_28::control1	0.16453680396080017	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hard_reduction_total_pred	__buf_split_26::control0	0.01922999999999997	__buf_split_37::control1	0.11759279668331146	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_hard_cone	hybrid_pred	__buf_split_26::control0	0.01922999999999997	__buf_split_37::control1	12.365731298923492	0.009800000000000031	0.009429999999999938	0
subckt_0350	initial	cached_random	reward_pred	__aig_and_87::observe	0.009969999999999923	__buf_split_28::control0	0.4634571671485901	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	guarded_reward	__aig_and_87::observe	0.009969999999999923	__buf_split_28::control1	0.16453680396080017	0.009800000000000031	0.00016999999999989246	0
subckt_0350	initial	cached_random	hard_reduction_total_pred	__aig_and_87::observe	0.009969999999999923	__aig_and_64::control1	0.1148294061422348	-0.009070000000000022	0.019039999999999946	1
subckt_0350	initial	cached_random	hybrid_pred	__aig_and_87::observe	0.009969999999999923	__aig_and_64::control1	12.09418374300003	-0.009070000000000022	0.019039999999999946	1
