checkpoint	score_field	groups	top1_accuracy	type_accuracy	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	selected_control0	selected_control1	selected_observe
type_balanced_rank_best_final_horizon	typed_marginal_pred	192	0.24479166666666666	0.6510416666666666	0.6362031249999993	0.20158333333333336	0.057291666666666664	0.5381982124793522	0.772138819298392	7	49	136
type_balanced_rank_best_final_horizon	typed_return_pred	192	0.10416666666666667	0.4895833333333333	0.17755729166666612	0.6602291666666665	0.125	0.2754186581491054	0.6401842791808178	39	32	121
type_balanced_rank_best_final_horizon	typed_sa_reduction_total_pred	192	0.19270833333333334	0.6041666666666666	0.259614583333333	0.5781718749999997	0.041666666666666664	0.4367353620690941	0.7131057293384472	1	3	188
type_balanced_rank_epoch_008	typed_marginal_pred	192	0.25	0.6666666666666666	0.6744531249999993	0.16333333333333344	0.052083333333333336	0.5470437937726095	0.7763301359128527	6	53	133
type_balanced_rank_epoch_008	typed_return_pred	192	0.10416666666666667	0.5	0.1837656249999995	0.6540208333333332	0.11458333333333333	0.28781968363250393	0.6471369010014005	38	31	123
type_balanced_rank_epoch_008	typed_sa_reduction_total_pred	192	0.203125	0.5989583333333334	0.2659687499999997	0.571817708333333	0.041666666666666664	0.4323053566074999	0.7101113562118871	2	3	187
type_balanced_toplist_best_final_horizon	typed_marginal_pred	192	0.25	0.6666666666666666	0.6748020833333325	0.16298437500000015	0.046875	0.536008612344846	0.768534848281804	6	52	134
type_balanced_toplist_best_final_horizon	typed_return_pred	192	0.11458333333333333	0.5052083333333334	0.19134895833333268	0.6464375	0.10416666666666667	0.29652336026610193	0.6503915014715334	38	30	124
type_balanced_toplist_best_final_horizon	typed_sa_reduction_total_pred	192	0.19270833333333334	0.609375	0.24859895833333287	0.5891874999999999	0.0625	0.4268111576347138	0.7064071610515926	0	3	189
type_balanced_toplist_epoch_008	typed_marginal_pred	192	0.265625	0.6770833333333334	0.6970572916666659	0.1407291666666669	0.03125	0.5369545989729252	0.7680107087384416	5	55	132
type_balanced_toplist_epoch_008	typed_return_pred	192	0.11458333333333333	0.5260416666666666	0.19819791666666609	0.6395885416666666	0.08854166666666667	0.30825021915980305	0.6576846500545426	35	29	128
type_balanced_toplist_epoch_008	typed_sa_reduction_total_pred	192	0.171875	0.6041666666666666	0.2453593749999995	0.5924270833333333	0.0625	0.4263770857627549	0.7066034796339281	0	4	188
