benchmark_id,sequence_id,step,net,type,status
subckt_0010,onpolicy:subckt_0010,1,new_n21545_,control0,ok
subckt_0010,onpolicy:subckt_0010,2,new_n16252_,control1,ok
subckt_0010,onpolicy:subckt_0010,3,new_n21571_,control0,ok
subckt_0010,onpolicy:subckt_0010,4,new_n16212_,control0,ok
subckt_0010,onpolicy:subckt_0010,5,new_n14130_,observe,ok
subckt_0010,onpolicy:subckt_0010,6,new_n16272_,control0,ok
subckt_0010,onpolicy:subckt_0010,7,new_n21592_,control0,ok
subckt_0010,onpolicy:subckt_0010,8,new_n13596_,control0,ok
subckt_0010,onpolicy:subckt_0010,9,new_n13603_,control1,ok
subckt_0010,onpolicy:subckt_0010,10,new_n14151_,control0,ok
subckt_0010,onpolicy:subckt_0010,11,new_n14516_,control1,ok
subckt_0010,onpolicy:subckt_0010,12,new_n14148_,control1,ok
subckt_0010,onpolicy:subckt_0010,13,new_n13622_,control0,ok
subckt_0010,onpolicy:subckt_0010,14,new_n13614_,control0,ok
subckt_0010,onpolicy:subckt_0010,15,new_n14787_,control0,ok
subckt_0010,onpolicy:subckt_0010,16,new_n16241_,control0,ok
subckt_0010,onpolicy:subckt_0010,17,new_n14170_,control0,ok
subckt_0010,onpolicy:subckt_0010,18,new_n14140_,observe,ok
subckt_0010,onpolicy:subckt_0010,19,__buf_split_10692,observe,ok
subckt_0010,onpolicy:subckt_0010,20,new_n14969_,control1,ok
subckt_0010,onpolicy:subckt_0010,21,new_n14958_,control1,ok
subckt_0010,onpolicy:subckt_0010,22,__buf_split_7039,observe,ok
subckt_0010,onpolicy:subckt_0010,23,new_n14378_,observe,ok
subckt_0010,onpolicy:subckt_0010,24,new_n14405_,control1,ok
subckt_0010,onpolicy:subckt_0010,25,__buf_split_5617,observe,ok
subckt_0010,onpolicy:subckt_0010,26,new_n14865_,control1,ok
subckt_0010,onpolicy:subckt_0010,27,new_n14776_,control1,ok
subckt_0010,onpolicy:subckt_0010,28,new_n14861_,control1,ok
subckt_0010,onpolicy:subckt_0010,29,new_n14558_,control1,ok
subckt_0010,onpolicy:subckt_0010,30,new_n21522_,control1,ok
subckt_0010,onpolicy:subckt_0010,31,ys__n3770,control0,ok
subckt_0010,onpolicy:subckt_0010,32,__buf_split_5061,control0,ok
