metric_type	task	n	accuracy	balanced_accuracy	precision	recall	f1	positive_rate	pred_positive_rate
sign	hard_reduction_sa0_sign	16	0.125					0.0	0.0
sign	hard_reduction_sa1_sign	16	0.125					0.0	0.3125
sign	hard_reduction_total_sign	16	0.25					0.0	0.0
sign	return_pred_sign	16	0.625					0.6875	0.9375
sign	reward_pred_sign	16	0.625					0.6875	0.8125
binary	hard_node_any	4064	0.011811023622047244	0.5	0.011811023622047244	1.0	0.023346303501945526	0.011811023622047244	
binary	hard_node_sa0	4064	0.1830708661417323	nan	0.0	nan	nan	0.0	
binary	hard_node_sa1	4064	0.061515748031496065	0.5251494023904383	0.012428793371310202	1.0	0.02455242966751918	0.011811023622047244	
topk_recall	hard_node_top10_recall	16	0.33333333333333326						
topk_recall	hard_node_top20_recall	16	0.6041666666666667						
topk_recall	hard_node_top50_recall	16	0.9166666666666666						
topk_recall	hard_node_top100_recall	16	1.0						
