timestamp	variant_id	status	seed	best_epoch	predictive_score	hard_macro_f1_tuned	hard_macro_f1_at_0p5	hard_recall_at_top_10pct	ece_sa0	ece_sa1	temperature_scaled_ece_sa0	temperature_scaled_ece_sa1	hard_reduction_score	hard_count_top10_overlap	scoap_acc_at_005	hard_sa0_pr_auc	hard_sa1_pr_auc	lambda_hard	lambda_hard_count	lambda_hard_reduction	lambda_hard_rank	lambda_hard_brier	lambda_hard_soft_f1	encoder_type	summary_mode	hard_loss	hard_asl_gamma_neg	hard_asl_clip	hard_head_type	hard_pos_weight_max	hard_negative_sample_ratio	hard_negative_mining	train_sample_strategy	feature_mode	edge_weight_mode	edge_keep_ratio	lambda_fc	run_dir	config_path	checkpoint	metrics_csv	metrics_png	elapsed_sec	error
2026-06-26T13:11:55	seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	ok	2027	4	0.7664232085328296	0.7792602800167536	0.6900426554347665	0.7743733564216542	0.011078089343851452	0.07739376785132726	0.0038461825828786916	0.0437783194557556	0.7859315937166684	0.7268483231707319	0.6317634409060702	0.7507085822549964	0.7742693972450576	0.5	0.1	0.5	0.0	0.0	0.02	mean	global	asl	2.0	0.05	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/highseed-improvement-260626-run-baseline-highseeds/configs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.png	397.239	
2026-06-26T13:18:32	seed2028__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	ok	2028	3	0.816146779452294	0.7720566826454397	0.6974512717313709	0.9941645809534949	0.03339211853564046	0.08195883882455728	0.004222955513830549	0.029545630085196645	0.837915222364245	0.6885230654761891	0.5128107424243353	0.6629421795576722	0.7966186661873708	0.5	0.1	0.5	0.0	0.0	0.02	mean	global	asl	2.0	0.05	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2028__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/highseed-improvement-260626-run-baseline-highseeds/configs/seed2028__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2028__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2028__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2028__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.png	338.042	
2026-06-26T13:24:10	seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	ok	2030	2	0.8218421546846536	0.7980429023392821	0.45131534842220367	0.993433372320649	0.12166498190603621	0.08405718093444667	0.053219029388461965	0.04327767838111986	0.8151986521552317	0.6921192956349198	0.4574555633007549	0.7532416863082689	0.8533276900876167	0.5	0.1	0.5	0.0	0.0	0.02	mean	global	asl	2.0	0.05	residual_context	20	5	topk	hard_weighted	testability	fault_path	0.6	0.0	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0	autoresearch/highseed-improvement-260626-run-baseline-highseeds/configs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0.json	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv	autoresearch/highseed-improvement-260626-run-baseline-highseeds/runs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.png	334.991	
