benchmark_id	state_id	candidate_strategy	candidate_count	finite_count	ok_count	positive_count	zero_count	negative_count	oracle_best_action	oracle_best_delta_tc	oracle_worst_action	oracle_worst_delta_tc	mean_delta_tc	base_test_coverage	base_fault_coverage
subckt_0168	initial	cached_random	18	18	18	12	0	6	__buf_split_2124::observe	0.041729999999999934	__buf_split_455::control0	-0.009230000000000071	0.0025372222222222155	0.91327	0.91327
subckt_0189	initial	cached_stride	18	18	18	6	0	12	new_n4698::observe	0.07748	__aig_not_8851::control0	-0.012720000000000065	0.0006272222222222482	0.84375	0.84375
subckt_0189	initial	cached_hard_cone	18	18	18	6	0	12	__buf_split_177::observe	0.0021400000000000308	__buf_split_177::control0	-0.005819999999999936	-0.003166666666666614	0.84375	0.84375
subckt_0189	initial	cached_random	18	18	18	6	0	12	new_n4707::observe	0.06720999999999999	__aig_not_8865::control0	-0.012720000000000065	0.0034866666666666995	0.84375	0.84375
subckt_0197	initial	cached_stride	18	18	18	17	0	1	__aig_not_43::observe	0.00012000000000000899	__aig_not_35130::control1	-0.003630000000000022	-0.0001250000000000294	0.9753700000000001	0.9753700000000001
subckt_0197	initial	cached_hard_cone	18	18	18	18	0	0	__aig_and_64::control1	0.011119999999999908	__aig_not_43::control0	5.999999999994898e-05	0.001582222222222201	0.9753700000000001	0.9753700000000001
subckt_0197	initial	cached_random	18	18	18	14	0	4	__buf_split_536::observe	0.00012000000000000899	__buf_split_536::control0	-0.006080000000000085	-0.00046611111111113625	0.9753700000000001	0.9753700000000001
subckt_0226	initial	cached_stride	18	18	18	18	0	0	I633::observe	0.00043999999999999595	I633::control0	0.000220000000000109	0.00029333333333340467	0.97015	0.97015
subckt_0226	initial	cached_hard_cone	18	18	18	18	0	0	I633::observe	0.00043999999999999595	I633::control0	0.000220000000000109	0.00029333333333340467	0.97015	0.97015
subckt_0226	initial	cached_random	18	18	18	18	0	0	__buf_split_225::observe	0.00043999999999999595	__buf_split_225::control0	0.000220000000000109	0.00029333333333340467	0.97015	0.97015
subckt_0234	initial	cached_stride	18	18	18	18	0	0	__buf_split_36::observe	0.00024000000000001798	__buf_split_36::control0	0.00012000000000000899	0.000160000000000012	0.9769199999999999	0.9769199999999999
subckt_0234	initial	cached_hard_cone	18	18	18	18	0	0	__buf_split_38::control0	0.0026700000000001722	__buf_split_36::control0	0.00012000000000000899	0.0004433333333333635	0.9769199999999999	0.9769199999999999
subckt_0234	initial	cached_random	18	18	18	18	0	0	__buf_split_9535::observe	0.0027800000000001157	__buf_split_9554::control0	0.00012000000000000899	0.0004427777777778043	0.9769199999999999	0.9769199999999999
subckt_0241	initial	cached_stride	18	18	18	18	0	0	__buf_split_157::observe	0.00027999999999994696	__buf_split_157::control0	0.00013999999999991797	0.00017888888888881492	0.9830500000000001	0.9830500000000001
subckt_0241	initial	cached_hard_cone	18	18	18	17	0	1	__buf_split_157::observe	0.00027999999999994696	new_n194971_::control1	-0.0040600000000000636	-6.222222222229679e-05	0.9830500000000001	0.9830500000000001
subckt_0241	initial	cached_random	18	18	18	16	0	2	new_n195046_::control1	0.0043399999999998995	__buf_split_72751::control1	-0.0040600000000000636	-4.666666666673801e-05	0.9830500000000001	0.9830500000000001
subckt_0261	initial	cached_stride	18	18	18	7	0	11	__buf_split_76::control0	0.020000000000000018	__buf_split_55::control1	-0.05236999999999992	-0.017194444444444408	0.98	0.98
subckt_0261	initial	cached_hard_cone	18	18	18	7	0	11	__buf_split_55::observe	0.000520000000000076	__buf_split_55::control1	-0.05236999999999992	-0.023408333333333285	0.98	0.98
subckt_0261	initial	cached_random	18	18	18	8	0	10	__buf_split_370::control0	0.013419999999999987	__buf_split_86::control1	-0.07211000000000001	-0.017570555555555548	0.98	0.98
subckt_0281	initial	cached_stride	18	18	18	18	0	0	__aig_not_9105::observe	0.03120999999999996	__aig_not_475::observe	0.0010599999999999499	0.007721111111111129	0.85	0.85
subckt_0281	initial	cached_hard_cone	18	18	18	18	0	0	__aig_not_475::control0	0.00943000000000005	__aig_not_475::observe	0.0010599999999999499	0.0066400000000000165	0.85	0.85
subckt_0281	initial	cached_random	18	18	18	18	0	0	new_n4800::observe	0.02588999999999997	__aig_not_664::observe	0.0010599999999999499	0.007425555555555574	0.85	0.85
subckt_0292	initial	cached_stride	18	18	18	17	0	1	__buf_split_1::control1	0.0024100000000000232	__buf_split_1::control0	-0.0011199999999998989	0.00014499999999998157	0.97288	0.97288
subckt_0292	initial	cached_hard_cone	18	18	18	16	0	2	__aig_and_5::control0	0.004770000000000052	__buf_split_1::control0	-0.0011199999999998989	0.000863888888888911	0.97288	0.97288
subckt_0292	initial	cached_random	18	18	18	18	0	0	__aig_not_21522::observe	0.0013000000000000789	new_n9343::control0	5.999999999994898e-05	0.000273333333333323	0.97288	0.97288
subckt_0313	initial	cached_stride	18	18	18	8	0	10	__buf_split_9::observe	0.018750000000000044	ADD_65_U31::control0	-0.0368099999999999	-0.006959444444444389	0.98125	0.98125
subckt_0313	initial	cached_hard_cone	18	18	18	9	0	9	__buf_split_9::observe	0.018750000000000044	__aig_and_7::control1	-0.018289999999999917	-0.005887777777777702	0.98125	0.98125
subckt_0313	initial	cached_random	18	18	18	7	0	11	__aig_and_391::observe	0.018750000000000044	__aig_and_391::control1	-0.0368099999999999	-0.009702777777777708	0.98125	0.98125
subckt_0327	initial	cached_stride	18	18	18	17	0	1	__buf_split_14::control1	0.03881000000000001	__buf_split_14::control0	-0.009259999999999935	0.020037222222222255	0.94516	0.94516
subckt_0327	initial	cached_hard_cone	18	18	18	16	0	2	__buf_split_14::control1	0.03881000000000001	__buf_split_14::control0	-0.009259999999999935	0.019876666666666695	0.94516	0.94516
subckt_0327	initial	cached_random	18	18	18	16	0	2	new_n3104_::observe	0.038920000000000066	new_n3032_::control1	-0.012469999999999981	0.018067222222222228	0.94516	0.94516
subckt_0347	initial	cached_stride	18	18	18	18	0	0	__buf_split_23::control0	0.004850000000000021	__buf_split_23::control1	6.999999999990347e-05	0.00035555555555544856	0.9724200000000001	0.9724200000000001
subckt_0347	initial	cached_hard_cone	18	18	18	18	0	0	__buf_split_23::control0	0.004850000000000021	__buf_split_23::control1	6.999999999990347e-05	0.00035555555555544856	0.9724200000000001	0.9724200000000001
subckt_0347	initial	cached_random	18	18	18	18	0	0	__buf_split_43::observe	0.00012999999999985246	__buf_split_43::control0	6.999999999990347e-05	8.999999999988646e-05	0.9724200000000001	0.9724200000000001
subckt_0371	initial	cached_stride	18	18	18	18	0	0	new_n35909_::observe	0.03867000000000009	new_n36181_::control0	0.00021000000000004349	0.015813333333333415	0.9613299999999999	0.9613299999999999
subckt_0371	initial	cached_hard_cone	18	18	18	18	0	0	new_n14677_::control1	0.030430000000000068	__buf_split_3::observe	0.00042000000000008697	0.017526111111111194	0.9613299999999999	0.9613299999999999
subckt_0371	initial	cached_random	18	18	18	18	0	0	new_n35851_::observe	0.03867000000000009	new_n35851_::control0	0.00021000000000004349	0.015513333333333415	0.9613299999999999	0.9613299999999999
subckt_0384	initial	cached_stride	18	18	18	7	0	11	__buf_split_26::control0	0.06846999999999992	__buf_split_26::control1	-0.058190000000000075	-0.008384444444444528	0.8648600000000001	0.8648600000000001
subckt_0384	initial	cached_hard_cone	18	18	18	9	0	9	__buf_split_31::control0	0.13513999999999993	__buf_split_26::control1	-0.058190000000000075	-0.0031644444444445313	0.8648600000000001	0.8648600000000001
subckt_0384	initial	cached_random	18	18	18	10	0	8	__aig_not_177::control0	0.0484699999999999	__aig_and_64::control0	-0.058190000000000075	-0.010255000000000077	0.8648600000000001	0.8648600000000001
subckt_0391	initial	cached_stride	18	18	18	9	0	9	II538::observe	0.007079999999999975	II538::control0	-0.006709999999999994	-0.000384444444444465	0.97931	0.97931
subckt_0391	initial	cached_hard_cone	18	18	18	7	0	11	I643::control1	0.003569999999999962	I643::control0	-0.0032800000000000606	-0.0017127777777777976	0.97931	0.97931
subckt_0391	initial	cached_random	18	18	18	7	0	11	I222::observe	0.007079999999999975	I324::control0	-0.0032800000000000606	-0.0007672222222222524	0.97931	0.97931
