[2026-07-06T10:42:06+08:00] start name=reward_rank_v4_ndcg_safe gpu=5 config=configs/planner_aligned_reward_rank_v4_ndcg_safe.json
[train] excluded_eval_benchmarks=b15_C,b17_C,b20_C,b21_C,b22_C,epfl__arithmetic__max__max,epfl__random_control__i2c__i2c,epfl__random_control__router__router,i2c,iscas89__s838,iscas99__b15_1,iscas99__b17,iscas99__b20,iscas99__b21,iscas99__b22,max,mem_ctrl,openabcd__mem_ctrl_orig removed_rows=0 remaining_rows=100000
[train] disabling pattern loss
[train] note: delta_test_coverage is retained as a weak objective; the main hard-fault target is hard_reduction
[train] q_oracle enabled groups=180 score_field=reward_pred lambda_q_value=0.03 lambda_q_rank=0.4 lambda_candidate=0.18 lambda_ndcg_rank=0.25 pairwise_mode=best_vs_hard_topk forbidden_benchmarks=21
[train] rows=100000 train_rows=85655 val_rows=14345 train_samples=17131 val_samples=2869 rollout_training=True feature_dim=38 relation_dim=12 cache_samples=False sample_cache_max_entries=unlimited
[train-progress] epoch=1 [------------------------] 1/900   0.1% loss=0.39727 jepa=1.02998 hard=2.47599 hard_red=0.00097 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [------------------------] 25/900   2.8% loss=0.46355 jepa=0.83868 hard=1.21378 hard_red=0.04098 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [#-----------------------] 50/900   5.6% loss=0.41486 jepa=0.61407 hard=1.14243 hard_red=0.03965 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [##----------------------] 75/900   8.3% loss=0.48904 jepa=0.49678 hard=1.06312 hard_red=0.03496 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [##----------------------] 100/900  11.1% loss=0.50636 jepa=0.42542 hard=1.00176 hard_red=0.03644 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [###---------------------] 125/900  13.9% loss=0.44739 jepa=0.37833 hard=0.99386 hard_red=0.03703 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [####--------------------] 150/900  16.7% loss=0.40227 jepa=0.34483 hard=0.98913 hard_red=0.03364 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
[train-progress] epoch=1 [####--------------------] 175/900  19.4% loss=0.36947 jepa=0.31870 hard=0.97424 hard_red=0.03095 oracle=0.00000 rank=0.00000 value=0.00000 cand=0.00000 ndcg=0.00000 pairs=0.0
