checkpoint	score_field	expanded_spearman	expanded_negative_top1	expanded_regret	transfer_spearman	transfer_negative_top1	transfer_regret	hard_macro_f1_tuned	hard_reduction_score	hard_count_spearman	predictive_score
incumbent	hybrid_pred	0.031476491394793325	0.375	0.035482708333333335	0.32739827342251004	0.16666666666666666	0.012551666666666702	0.7948049980095285	0.7986198983708164	0.45332004921510816	0.8201470045866093
incumbent	hard_reduction_total_pred	0.04403395544828171	0.375	0.035482708333333335	0.3244427102285325	0.16666666666666666	0.012551666666666702	0.7948049980095285	0.7986198983708164	0.45332004921510816	0.8201470045866093
incumbent	bounded_residual_hybrid_pred	0.042002126329435306	0.375	0.035482708333333335	0.32483519949881423	0.16666666666666666	0.012551666666666702	0.7948049980095285	0.7986198983708164	0.45332004921510816	0.8201470045866093
control	hybrid_pred	0.014643309245418408	0.4166666666666667	0.03152458333333332	0.27647507313565206	0.5	0.02018000000000005	0.7821913489319254	0.833744015195407	0.20345347473630682	0.8221544596586065
control	hard_reduction_total_pred	0.02331272027414392	0.3958333333333333	0.030671874999999987	0.264740633131154	0.5	0.02018000000000005	0.7821913489319254	0.833744015195407	0.20345347473630682	0.8221544596586065
control	bounded_residual_hybrid_pred	0.021730652624370784	0.3958333333333333	0.030671874999999987	0.27108609347927387	0.5	0.02018000000000005	0.7821913489319254	0.833744015195407	0.20345347473630682	0.8221544596586065
version_A	hybrid_pred	-0.040484733291541265	0.5625	0.030143333333333328	-0.08482161822520429	0.5	0.02139000000000002	0.8108174259873249	0.8306063152122078	-0.4251664021285251	0.7780593342992088
version_A	hard_reduction_total_pred	-0.03640402882406006	0.5625	0.030308749999999995	-0.07704843791757045	0.5	0.02139000000000002	0.8108174259873249	0.8306063152122078	-0.4251664021285251	0.7780593342992088
version_A	bounded_residual_hybrid_pred	-0.03956844657904949	0.5625	0.030143333333333328	-0.07773019395753271	0.5	0.02139000000000002	0.8108174259873249	0.8306063152122078	-0.4251664021285251	0.7780593342992088
