checkpoint	epoch	class	bin	low	high	count	mean_confidence	positive_rate	abs_gap	brier	ece
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	0	0.0	0.1	0	0.0	0.0	0.0	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	1	0.1	0.2	837	0.17211599578566875	0.0	0.17211599578566875	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	2	0.2	0.30000000000000004	1597	0.2408041655830689	0.0	0.2408041655830689	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	3	0.30000000000000004	0.4	3826	0.36650348440303393	0.0	0.36650348440303393	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	4	0.4	0.5	4448	0.43651344686773397	0.0017985611510791368	0.43471488571665484	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	5	0.5	0.6000000000000001	3181	0.5574015300253659	0.0006287331027978623	0.556772796922568	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	6	0.6000000000000001	0.7000000000000001	7780	0.6514310091810546	0.0	0.6514310091810546	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	7	0.7000000000000001	0.8	7696	0.7451550574225844	0.014553014553014554	0.7306020428695699	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	8	0.8	0.9	2094	0.83722898116426	0.06351480420248329	0.7737141769617768	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt	1	sa1	9	0.9	1.0	1053	0.9413989374214201	0.10731244064577398	0.8340864967756462	0.3756807437595659	0.5790130072566644
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	0	0.0	0.1	3675	0.07602155387908423	0.0	0.07602155387908423	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	1	0.1	0.2	15530	0.1472451986633457	0.0	0.1472451986633457	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	2	0.2	0.30000000000000004	11944	0.24637651218916057	0.0	0.24637651218916057	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	3	0.30000000000000004	0.4	1036	0.31278216502266043	0.0	0.31278216502266043	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	4	0.4	0.5	63	0.46906512502640013	0.0	0.46906512502640013	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	5	0.5	0.6000000000000001	98	0.5355828148978097	0.0	0.5355828148978097	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	6	0.6000000000000001	0.7000000000000001	62	0.6483640382366795	0.0	0.6483640382366795	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	7	0.7000000000000001	0.8	80	0.7517678163945675	0.05	0.7017678163945674	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	8	0.8	0.9	21	0.839688797791799	0.0	0.839688797791799	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa0	9	0.9	1.0	3	0.9079991976420084	0.0	0.9079991976420084	0.041020350049091645	0.1855190762507273
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	0	0.0	0.1	619	0.08951488489914017	0.0	0.08951488489914017	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	1	0.1	0.2	1790	0.15413647522972948	0.0	0.15413647522972948	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	2	0.2	0.30000000000000004	3349	0.2502802294220416	0.0	0.2502802294220416	0.32906484917840306	0.5249712786581788
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt	2	sa1	3	0.30000000000000004	0.4	4941	0.35244990609913457	0.00020238818053025704	0.3522475179186043	0.32906484917840306	0.5249712786581788
