checkpoint	score_field	groups	top1_accuracy	type_accuracy	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	selected_control0	selected_control1	selected_observe
round4	typed_marginal_pred	192	0.057291666666666664	0.3177083333333333	0.04077083333333282	0.7970156249999999	0.2916666666666667	0.033393472691951614	0.519931589904777	62	61	69
round4	typed_return_pred	192	0.11979166666666667	0.4479166666666667	0.21515104166666607	0.6226354166666667	0.21354166666666666	0.16298209728982385	0.5884741348269326	42	49	101
round4	typed_sa_reduction_total_pred	192	0.09375	0.40625	0.18314062499999942	0.6546458333333333	0.08333333333333333	0.2240182089731476	0.6161459923123399	40	37	115
prefix_rank_best	typed_marginal_pred	192	0.15104166666666666	0.578125	0.27674479166666593	0.5610416666666668	0.08333333333333333	0.3852258415140994	0.6883935558946164	11	21	160
prefix_rank_best	typed_return_pred	192	0.125	0.4427083333333333	0.2301927083333328	0.6075937499999999	0.19791666666666666	0.22621478150666563	0.6162970282956015	35	45	112
prefix_rank_best	typed_sa_reduction_total_pred	192	0.046875	0.25	0.040671874999999885	0.7971145833333328	0.28125	-0.1076684550376448	0.4529498913017264	119	38	35
prefix_rank_e12	typed_marginal_pred	192	0.15104166666666666	0.5885416666666666	0.2781927083333327	0.55959375	0.078125	0.39676379082100294	0.6939949899139799	10	19	163
prefix_rank_e12	typed_return_pred	192	0.13020833333333334	0.4635416666666667	0.22904166666666606	0.6087447916666667	0.1875	0.22926945117311012	0.6168768948194872	32	42	118
prefix_rank_e12	typed_sa_reduction_total_pred	192	0.046875	0.24479166666666666	0.03990104166666659	0.7978854166666661	0.2916666666666667	-0.11936100611981489	0.4471560544815624	120	40	32
prefix_rank_sa_best	typed_marginal_pred	192	0.140625	0.578125	0.27502083333333255	0.5627656250000002	0.08854166666666667	0.3853298362758894	0.6883375933386539	12	21	159
prefix_rank_sa_best	typed_return_pred	192	0.125	0.4479166666666667	0.2314479166666661	0.6063385416666666	0.19270833333333334	0.2267571474136566	0.6161815270859358	35	44	113
prefix_rank_sa_best	typed_sa_reduction_total_pred	192	0.057291666666666664	0.19791666666666666	-0.043890624999999926	0.8816770833333326	0.3489583333333333	-0.14223215122941169	0.43792011936876923	154	22	16
prefix_rank_sa_e12	typed_marginal_pred	192	0.14583333333333334	0.5885416666666666	0.2781927083333327	0.55959375	0.078125	0.3963707824781382	0.6936215154621643	11	19	162
prefix_rank_sa_e12	typed_return_pred	192	0.13020833333333334	0.4635416666666667	0.22904166666666606	0.6087447916666667	0.1875	0.23017792562818876	0.6174467854918027	32	42	118
prefix_rank_sa_e12	typed_sa_reduction_total_pred	192	0.052083333333333336	0.18229166666666666	-0.08090624999999996	0.9186927083333326	0.359375	-0.16568783835325201	0.42765983009738384	163	16	13
prefix_cql_sa_best	typed_marginal_pred	192	0.16145833333333334	0.59375	0.2806770833333326	0.5571093750000001	0.078125	0.4396572453197417	0.718385384154567	9	19	164
prefix_cql_sa_best	typed_return_pred	192	0.13020833333333334	0.4739583333333333	0.2278124999999993	0.6099739583333333	0.17708333333333334	0.24751410620106237	0.6261877248459493	28	42	122
prefix_cql_sa_best	typed_sa_reduction_total_pred	192	0.046875	0.18229166666666666	-0.06705208333333325	0.904838541666666	0.390625	-0.18204303572030509	0.4159168858238168	167	11	14
prefix_cql_sa_e12	typed_marginal_pred	192	0.171875	0.6145833333333334	0.3527447916666661	0.4850416666666666	0.06770833333333333	0.4529083266771769	0.7220767902698364	5	18	169
prefix_cql_sa_e12	typed_return_pred	192	0.13020833333333334	0.46875	0.24653124999999934	0.5912552083333333	0.171875	0.2540556241014968	0.6292073780355842	25	41	126
prefix_cql_sa_e12	typed_sa_reduction_total_pred	192	0.046875	0.16666666666666666	-0.07405729166666657	0.9118437499999993	0.3854166666666667	-0.19240080329297599	0.4134875295293056	163	14	15
prefix_toplist_sa_best	typed_marginal_pred	192	0.18229166666666666	0.6197916666666666	0.3607343749999994	0.4770520833333333	0.06770833333333333	0.4684044146437687	0.7308089764264631	4	18	170
prefix_toplist_sa_best	typed_return_pred	192	0.13020833333333334	0.4739583333333333	0.25198958333333266	0.5857968750000001	0.16145833333333334	0.27391881596502593	0.6390654391177758	24	39	129
prefix_toplist_sa_best	typed_sa_reduction_total_pred	192	0.0625	0.203125	-0.05833333333333333	0.896119791666666	0.3697916666666667	-0.1555267504314848	0.4323077374602352	156	10	26
prefix_toplist_sa_e12	typed_marginal_pred	192	0.171875	0.625	0.3600729166666661	0.4777135416666667	0.06770833333333333	0.4780251575772433	0.7359354078237048	4	17	171
prefix_toplist_sa_e12	typed_return_pred	192	0.11458333333333333	0.4791666666666667	0.24655729166666604	0.5912291666666667	0.16666666666666666	0.282118738079685	0.641444664488312	24	38	130
prefix_toplist_sa_e12	typed_sa_reduction_total_pred	192	0.0625	0.19791666666666666	-0.08267708333333322	0.9204635416666659	0.3802083333333333	-0.16799691400167702	0.42637161400033985	153	12	27
