split	rows	groups	positive	zero	negative	negative_rate	groups_with_negative	all_positive_groups	all_negative_groups	min_delta_tc	p05_delta_tc	median_delta_tc	mean_delta_tc	p95_delta_tc	max_delta_tc	mean_group_best_delta_tc	mean_group_worst_delta_tc
train	5184	288	4468	0	716	0.1381172839506173	120	168	0	-0.07211000000000001	-0.009560000000000013	0.0002300000000001745	0.0029838059413580306	0.02469999999999951	0.24738000000000004	0.016520659722222227	-0.004598402777777776
expanded_val	864	48	505	0	359	0.41550925925925924	37	11	0	-0.25784999999999997	-0.04293899999999987	0.00012999999999996348	-0.0048849884259259254	0.03208	0.16049000000000013	0.026467500000000005	-0.025336666666666664
transfer	288	6	190	0	98	0.3402777777777778	3	3	0	-0.043749999999999956	-0.02842	5.999999999994898e-05	0.0023624305555555616	0.030590000000000006	0.06855000000000011	0.023190000000000027	-0.019499999999999962
