split	bucket	value	rows	groups	positive	zero	negative	negative_rate	mean_delta_tc	min_delta_tc	max_delta_tc
train	candidate_strategy	cached_hard_cone	1728	96	1506	0	222	0.1284722222222222	0.002550457175925935	-0.058190000000000075	0.13513999999999993
train	candidate_strategy	cached_random	1728	96	1482	0	246	0.1423611111111111	0.00341680555555556	-0.07211000000000001	0.24738000000000004
train	candidate_strategy	cached_stride	1728	96	1480	0	248	0.14351851851851852	0.002984155092592597	-0.058190000000000075	0.24143000000000003
expanded_val	candidate_strategy	cached_hard_cone	288	16	176	0	112	0.3888888888888889	-0.004077673611111106	-0.08117999999999992	0.08111000000000002
expanded_val	candidate_strategy	cached_random	288	16	163	0	125	0.4340277777777778	-0.00539291666666667	-0.25784999999999997	0.16049000000000013
expanded_val	candidate_strategy	cached_stride	288	16	166	0	122	0.4236111111111111	-0.0051843750000000015	-0.25784999999999997	0.11147000000000007
transfer	candidate_strategy	cached_hard_cone	96	2	64	0	32	0.3333333333333333	0.0008688541666666711	-0.043749999999999956	0.030590000000000006
transfer	candidate_strategy	cached_stride	96	2	64	0	32	0.3333333333333333	0.0012535416666666702	-0.043749999999999956	0.03266000000000013
transfer	candidate_strategy	hard_fault_recall_union	96	2	62	0	34	0.3541666666666667	0.004964895833333344	-0.02968000000000004	0.06855000000000011
