split	variant	checkpoint_name	benchmark_id	state_id	candidate_strategy	baseline_top1_action	baseline_top1_delta_tc	ranker_top1_action	ranker_top1_delta_tc	delta_vs_baseline	ranker_top1_regret
train	linear_l2	incumbent	subckt_0133	initial	cached_hard_cone	__aig_and_5::observe	0.0032999999999999696	__aig_not_3::observe	0.00045999999999990493	-0.0028400000000000647	0.0028400000000000647
train	linear_l2	incumbent	subckt_0239	initial	cached_stride	__aig_and_15183::observe	0.00010999999999994348	__buf_split_11587::control1	-0.0022600000000000398	-0.0023699999999999832	0.0023699999999999832
train	linear_l2	incumbent	subckt_0288	initial	cached_random	__buf_split_478::control1	0.0046000000000000485	__buf_split_681::observe	0.0024800000000000377	-0.0021200000000000108	0.027290000000000036
expanded_val	linear_l2	incumbent	subckt_0399	initial	cached_hard_cone	__aig_and_48::observe	0.00032999999999994145	__aig_not_43::control1	-0.0014699999999999713	-0.0017999999999999128	0.027780000000000027
train	linear_l2	incumbent	subckt_0148	initial	cached_stride	__aig_and_56401::control1	0.0018900000000000583	__aig_and_58375::observe	0.00010000000000010001	-0.0017899999999999583	0.003630000000000022
expanded_val	linear_l2	incumbent	subckt_0050	initial	cached_hard_cone	U1319::observe	3.999999999992898e-05	__buf_split_27::control1	-0.0017500000000000293	-0.0017899999999999583	0.005369999999999986
expanded_val	linear_l2	incumbent	subckt_0251	initial	cached_random	new_n512884_::observe	0.002610000000000001	__buf_split_1173::control1	0.0013200000000000989	-0.0012899999999999023	0.06914999999999982
expanded_val	linear_l2	incumbent	subckt_0251	initial	cached_stride	new_n512894_::observe	0.002610000000000001	__buf_split_1171::control1	0.0013200000000000989	-0.0012899999999999023	0.07978999999999992
train	linear_l2	incumbent	subckt_0292	initial	cached_hard_cone	__aig_and_5::observe	0.0024699999999999722	__aig_and_11::control1	0.0012400000000001299	-0.0012299999999998423	0.003529999999999922
train	linear_l2	incumbent	subckt_0103	initial	cached_stride	new_n2405_::observe	0.007889999999999953	__buf_split_708::control1	0.007099999999999995	-0.0007899999999999574	0.03750000000000009
train	linear_l2	incumbent	subckt_0018	initial	cached_stride	__aig_and_482791::observe	0.0015099999999999003	__aig_not_480072::control1	0.0007699999999999374	-0.0007399999999999629	0.006839999999999957
train	linear_l2	incumbent	subckt_0246	initial	cached_hard_cone	__buf_split_55::observe	0.0008599999999999719	__buf_split_52::control1	0.00043999999999999595	-0.00041999999999997595	0.01695000000000002
train	linear_l2	incumbent	subckt_0146	initial	cached_random	__aig_and_244::observe	0.0006399999999999739	__aig_and_244::control1	0.00031999999999998696	-0.00031999999999998696	0.004209999999999936
transfer	linear_l2	incumbent	i2c_aig	initial	hard_fault_recall_union	N634::control0	-0.02811000000000008	N489::control1	-0.02842	-0.00030999999999992145	0.03316999999999992
train	linear_l2	incumbent	subckt_0192	initial	cached_hard_cone	new_n546_::observe	0.0005699999999999594	__buf_split_84::control1	0.00028999999999990145	-0.000280000000000058	0.0024500000000000632
train	linear_l2	incumbent	subckt_0192	initial	cached_stride	new_n60982_::observe	0.0005699999999999594	__buf_split_52732::control1	0.00028999999999990145	-0.000280000000000058	0.049020000000000064
train	linear_l2	incumbent	subckt_0126	initial	cached_hard_cone	I660::observe	0.0005100000000000104	__buf_split_26::control1	0.0002500000000000835	-0.00025999999999992696	0.00025999999999992696
train	linear_l2	incumbent	subckt_0126	initial	cached_random	__aig_and_122::observe	0.0005100000000000104	__aig_and_122::control1	0.0002500000000000835	-0.00025999999999992696	0.002829999999999999
train	linear_l2	incumbent	subckt_0226	initial	cached_hard_cone	I193::observe	0.00043999999999999595	I633::control1	0.000220000000000109	-0.00021999999999988695	0.00021999999999988695
train	linear_l2	incumbent	subckt_0247	initial	cached_hard_cone	__buf_split_1::observe	0.0003500000000000725	__buf_split_6::control1	0.000180000000000069	-0.00017000000000000348	0.00017000000000000348
train	linear_l2	incumbent	subckt_0141	initial	cached_hard_cone	__aig_not_16361::observe	0.0002900000000001235	__aig_and_16334::control1	0.00014999999999998348	-0.00014000000000014	0.004270000000000107
train	linear_l2	incumbent	subckt_0241	initial	cached_random	new_n195046_::observe	0.00027999999999994696	__buf_split_72711::control0	0.00013999999999991797	-0.000140000000000029	0.0041999999999999815
train	linear_l2	incumbent	subckt_0241	initial	cached_stride	new_n195012_::observe	0.00027999999999994696	new_n195099_::control1	0.00013999999999991797	-0.000140000000000029	0.000140000000000029
train	linear_l2	incumbent	subckt_0046	initial	cached_stride	new_n119782_::observe	0.0002300000000001745	__buf_split_36::control1	0.00011000000000016552	-0.00012000000000000899	0.002529999999999921
train	linear_l2	incumbent	subckt_0322	initial	cached_random	__aig_not_29991::observe	0.000220000000000109	new_n14773::control1	0.00010999999999994348	-0.00011000000000016552	0.00011000000000016552
train	linear_l2	incumbent	subckt_0170	initial	cached_hard_cone	425::observe	0.000220000000000109	__aig_and_27::control1	0.0001100000000000545	-0.0001100000000000545	0.0001100000000000545
train	linear_l2	incumbent	subckt_0170	initial	cached_stride	425::observe	0.000220000000000109	__buf_split_1244::control1	0.0001100000000000545	-0.0001100000000000545	0.0001100000000000545
train	linear_l2	incumbent	subckt_0255	initial	cached_random	__aig_and_325579::observe	0.000220000000000109	__buf_split_231004::control1	0.0001100000000000545	-0.0001100000000000545	0.0018599999999999728
expanded_val	linear_l2	incumbent	subckt_0164	initial	cached_random	__aig_and_291::observe	0.00380999999999998	__buf_split_13::control1	0.0037000000000000366	-0.00010999999999994348	0.0035800000000000276
expanded_val	linear_l2	incumbent	subckt_0164	initial	cached_stride	__aig_and_291::observe	0.00380999999999998	__buf_split_1::control1	0.0037000000000000366	-0.00010999999999994348	0.00714999999999999
train	linear_l2	incumbent	subckt_0289	initial	cached_stride	__aig_and_4537::observe	0.0001900000000001345	new_n24686::control1	9.00000000000345e-05	-0.00010000000000010001	0.0012199999999999989
train	linear_l2	incumbent	subckt_0068	initial	cached_hard_cone	__buf_split_5::observe	0.000180000000000069	__buf_split_7::control1	9.00000000000345e-05	-9.00000000000345e-05	9.00000000000345e-05
