split	bucket	value	rows	groups	positive	zero	negative	negative_rate	mean_delta_tc	min_delta_tc	max_delta_tc
train	type	control0	1728	288	1367	0	361	0.20891203703703703	0.002446082175925932	-0.058190000000000075	0.13513999999999993
train	type	control1	1728	288	1392	0	336	0.19444444444444445	0.002478315972222229	-0.07211000000000001	0.17017000000000015
train	type	observe	1728	288	1709	0	19	0.01099537037037037	0.00402701967592593	-0.04107000000000005	0.24738000000000004
expanded_val	type	control0	288	48	104	0	184	0.6388888888888888	-0.011869444444444438	-0.25451999999999997	0.08111000000000002
expanded_val	type	control1	288	48	121	0	167	0.5798611111111112	-0.007731215277777768	-0.25784999999999997	0.08065
expanded_val	type	observe	288	48	280	0	8	0.027777777777777776	0.004945694444444429	-0.0131	0.16049000000000013
transfer	type	control0	96	6	48	0	48	0.5	0.0008205208333333334	-0.043749999999999956	0.030810000000000115
transfer	type	control1	96	6	48	0	48	0.5	0.0017970833333333335	-0.02968000000000004	0.03266000000000013
transfer	type	observe	96	6	94	0	2	0.020833333333333332	0.004469687500000018	-0.000560000000000116	0.06855000000000011
