split	checkpoint_name	benchmark_id	state_id	candidate_strategy	rows	positive	zero	negative	negative_rate	control_negative	observe_negative	best_action	best_delta_tc	worst_action	worst_delta_tc	mean_delta_tc
train		subckt_0001	initial	cached_hard_cone	18	18	0	0	0.0	0	0	__buf_split_551::control0	0.0040999999999999925	__buf_split_551::observe	0.0007500000000000284	0.002983333333333338
train		subckt_0001	initial	cached_random	18	14	0	4	0.2222222222222222	4	0	__aig_and_11376::observe	0.03222999999999998	new_n5967::control0	-0.0014800000000000368	0.003489999999999993
train		subckt_0001	initial	cached_stride	18	16	0	2	0.1111111111111111	2	0	__aig_and_11368::observe	0.028530000000000055	__aig_and_11424::control0	-0.0014800000000000368	0.0034933333333333296
train		subckt_0010	initial	cached_hard_cone	18	18	0	0	0.0	0	0	__buf_split_53::control0	0.0041400000000000325	__buf_split_53::observe	0.0012800000000000589	0.003186666666666708
train		subckt_0010	initial	cached_random	18	18	0	0	0.0	0	0	__buf_split_10657::control0	0.05134000000000005	__buf_split_5060::observe	0.0012800000000000589	0.01017499999999997
train		subckt_0010	initial	cached_stride	18	18	0	0	0.0	0	0	new_n16222_::control1	0.04783999999999988	new_n14153_::observe	0.0006399999999999739	0.00674166666666664
train		subckt_0011	initial	cached_hard_cone	18	18	0	0	0.0	0	0	__buf_split_458::control0	0.0170300000000001	__buf_split_458::observe	0.0021900000000001363	0.012083333333333446
train		subckt_0011	initial	cached_random	18	18	0	0	0.0	0	0	__aig_and_19920::observe	0.04966000000000015	__aig_not_745::observe	0.0021900000000001363	0.014005555555555672
train		subckt_0011	initial	cached_stride	18	18	0	0	0.0	0	0	__aig_and_19892::observe	0.06549000000000016	__buf_split_458::observe	0.0021900000000001363	0.014885000000000117
train		subckt_0012	initial	cached_hard_cone	18	18	0	0	0.0	0	0	__buf_split_1::observe	0.0006099999999999994	__buf_split_1::control0	0.00031000000000003247	0.00041000000000002146
train		subckt_0012	initial	cached_random	18	17	0	1	0.05555555555555555	1	0	__buf_split_141::observe	0.0006099999999999994	__buf_split_90::control1	-0.0017500000000000293	0.00027888888888890874
train		subckt_0012	initial	cached_stride	18	17	0	1	0.05555555555555555	1	0	__buf_split_1::observe	0.0006099999999999994	__buf_split_90::control1	-0.0017500000000000293	0.0002955555555555736
train		subckt_0016	initial	cached_hard_cone	18	18	0	0	0.0	0	0	__buf_split_14::control0	0.021670000000000078	new_n1109_::observe	0.000160000000000049	0.013946666666666725
train		subckt_0016	initial	cached_random	18	18	0	0	0.0	0	0	__buf_split_621::control0	0.021670000000000078	__buf_split_2037::observe	0.00031999999999998696	0.013501666666666709
train		subckt_0016	initial	cached_stride	18	18	0	0	0.0	0	0	new_n3097_::observe	0.021710000000000007	__buf_split_14::observe	0.00031999999999998696	0.014395555555555594
train		subckt_0018	initial	cached_hard_cone	18	18	0	0	0.0	0	0	__aig_not_313672::observe	0.0015099999999999003	__aig_not_313672::control0	0.0007699999999999374	0.0010166666666665918
train		subckt_0018	initial	cached_random	18	17	0	1	0.05555555555555555	1	0	__buf_split_304933::control1	0.007609999999999895	__buf_split_304933::control0	-0.006080000000000085	0.0009749999999999234
train		subckt_0018	initial	cached_stride	18	18	0	0	0.0	0	0	__buf_split_303503::control0	0.007609999999999895	__aig_not_313672::control0	0.0007699999999999374	0.0013966666666665893
train		subckt_0020	initial	cached_hard_cone	18	16	0	2	0.1111111111111111	2	0	__aig_and_5::control0	0.005579999999999918	__buf_split_1::control0	-0.0013100000000000334	0.0010105555555554838
train		subckt_0020	initial	cached_random	18	18	0	0	0.0	0	0	new_n5606::control1	0.0014499999999999513	__aig_and_22960::control0	6.999999999990347e-05	0.00016999999999991097
train		subckt_0020	initial	cached_stride	18	17	0	1	0.05555555555555555	1	0	__buf_split_1::control1	0.0028199999999999337	__buf_split_1::control0	-0.0013100000000000334	0.00024611111111102726
