variant	status	benchmark_id	budget	planner	score_field	candidate_strategy	delta_test_coverage	delta_fault_coverage	plan_elapsed_sec	eval_elapsed_sec	elapsed_sec	plan_csv	eval_dir	error	results
v4_reduction_sign	ok	iscas99__b21	628	greedy	reward_pred	heuristic_recall_pool	0.008589999999999876	0.008589999999999876	2186.622	16.642	2203.28	autoresearch/improve-260704-1035/b21_world_rerank_model_swap/v4_reduction_sign/plans/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/improve-260704-1035/b21_world_rerank_model_swap/v4_reduction_sign/evals/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0		
v3_hard_precision	ok	iscas99__b21	628	greedy	reward_pred	heuristic_recall_pool	0.011499999999999844	0.011499999999999844	2194.476	16.158	2210.659	autoresearch/improve-260704-1035/b21_world_rerank_model_swap/v3_hard_precision/plans/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0.csv	autoresearch/improve-260704-1035/b21_world_rerank_model_swap/v3_hard_precision/evals/iscas99__b21__greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0		
