step,node,type,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,step_value,sequence_score,lookahead_score,objective_score,objective,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N922,control0,0.338367223739624,0.338367223739624,0.00338367223739624,0.6007286906242371,0.3834574222564697,0.338367223739624,0.338367223739624,0.338367223739624,0.6781848669052124,0.6781848669052124,cumulative,beam,0.338367223739624,0.0,cached_stride
2,N1178,control1,0.3398176431655884,0.3398176431655884,0.003398176431655884,0.596121609210968,0.35399001836776733,0.3398176431655884,0.3398176431655884,0.6781848669052124,0.6591618061065674,0.6591618061065674,cumulative,beam,0.3398176431655884,0.0,cached_stride
3,N721,control1,0.3227229714393616,0.3227229714393616,0.0032272297143936157,0.5477100610733032,0.319344162940979,0.319344162940979,0.319344162940979,0.9975290298461914,0.5474440306425095,0.5474440306425095,cumulative,beam,0.319344162940979,0.0,cached_stride
4,N721,control0,0.22809986770153046,0.22809986770153046,0.0022809986770153047,0.3052974343299866,0.2479725182056427,0.22809986770153046,0.22809986770153046,1.2256288975477219,0.3214600682258606,0.3214600682258606,cumulative,beam,0.22809986770153046,0.0,cached_stride
5,N3386,observe,0.09326989948749542,0.09326989948749542,0.0009326989948749543,0.21223293244838715,0.15602290630340576,0.09326989948749542,0.09326989948749542,1.3188987970352173,0.18220636248588562,0.18220636248588562,cumulative,beam,0.09326989948749542,0.0,cached_stride
