step,node,type,q_pred,q_pred_context,score_pred,reward_pred,reward_pred_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N5319,control0,1.3257778882980347,1.1018358334898948,1.3257778882980347,0.7306811809539795,1.1913285970687868,0.007306811809539795,0.37080714106559753,0.01947658695280552,0.01947658695280552,-0.4079164239764214,0.05739959329366684,0.16596011817455292,0.04722299054265022,108301.46875,45847.5859375,62453.8828125,108165.5859375,45653.23828125,62512.34765625,0.0012546719517558813,0.00423899432644248,-0.0009361282573081553,0.12546719517558813,6.490117097273469,0.9127742666006088,5.92749877134338,0.867682256102562,1.1018358334898948,6.192568682879209,6.192568682879209,greedy,1.1018358334898948,0.0,hard_fault_cluster
2,N6992,control0,1.4768798351287842,1.5435280323028566,1.4768798351287842,0.7580862045288086,1.5331720411777496,0.007580862045288086,0.3904581367969513,0.019161248579621315,0.019161248579621315,-0.36483682036399845,0.05770823359489441,0.17055535316467285,0.049622632563114166,108165.78125,45653.23828125,62512.5390625,107755.2109375,45331.171875,62424.0390625,0.0037957504391670227,0.007054623682051897,0.0014157160185277462,0.37957504391670227,6.548070812597871,1.2735529732704163,5.965135222766548,1.280516309738159,1.5435280323028566,7.736096715182065,7.736096715182065,greedy,1.5435280323028566,0.0,hard_fault_cluster
3,N6780,control0,1.5591857433319092,1.3710596814751626,1.5591857433319092,0.818781316280365,1.4643504783511163,0.00818781316280365,0.3809875547885895,0.02061726339161396,0.02061726339161396,-0.14762235343456276,0.05635611712932587,0.15762977302074432,0.04340200126171112,109020.6484375,46323.9765625,62696.671875,108469.09375,45920.015625,62549.078125,0.005059176590293646,0.008720342069864273,0.0023540921974927187,0.5059176590293646,6.475010292604566,1.186260493993759,5.845461357850581,1.1465701305866243,1.3710596814751626,10.597236236557366,10.597236236557366,greedy,1.3710596814751626,0.0,hard_fault_cluster
4,N7781,observe,1.8905903100967407,1.7638863131403923,1.8905903100967407,0.7845354080200195,1.5592387452721594,0.007845354080200196,0.3480381369590759,0.02071983553469181,0.02071983553469181,0.1162989836931228,0.07365038245916367,0.1704055666923523,0.05141793563961983,108560.9921875,46018.859375,62542.1328125,109739.5,46886.6953125,62852.8046875,-0.0108557203784585,-0.01885826699435711,-0.004967401269823313,-1.08557203784585,8.170293489471078,2.567250573039055,7.566352056805044,2.7051137560606007,1.7638863131403923,7.185300144553184,7.185300144553184,greedy,1.7638863131403923,0.0,hard_fault_cluster
5,N8089,observe,1.667296051979065,1.1545543055981398,1.667296051979065,0.7520381808280945,1.0891022499650715,0.007520381808280945,0.3600665032863617,0.022168414667248726,0.022168414667248726,0.35249734297394747,0.06698524206876755,0.16248819231987,0.0481257401406765,109739.796875,46886.87890625,62852.921875,110167.546875,47149.7578125,63017.78515625,-0.0038978566881269217,-0.005606662482023239,-0.0026230011135339737,-0.38978566881269217,7.472730802372098,1.5799423284083605,6.892075855750591,1.655700571015477,1.1545543055981398,8.339854450151325,8.339854450151325,greedy,1.1545543055981398,0.0,hard_fault_cluster
6,N12071,control0,1.5547816753387451,1.198872935771942,1.5547816753387451,0.8624773025512695,1.2857109874486923,0.008624773025512695,0.4062090218067169,0.026613110676407814,0.026613110676407814,0.42875957190990444,0.056208446621894836,0.16382227838039398,0.04383651167154312,107819.6484375,45464.984375,62354.6640625,107738.34375,45401.390625,62336.953125,0.000754080421756953,0.0013987412676215172,0.00028403548640199006,0.0754080421756953,6.509935075417161,1.0605187684297561,5.843117265496403,1.0543330579996109,1.198872935771942,13.207479530200363,13.207479530200363,greedy,1.198872935771942,0.0,hard_fault_cluster
7,N11983,control0,1.4948756694793701,1.1370007289573552,1.4948756694793701,0.8732739686965942,1.1097494481131434,0.008732739686965942,0.4141693413257599,0.027936505153775215,0.027936505153775215,0.36902899146080015,0.05490677058696747,0.16606637835502625,0.04421597346663475,107738.203125,45401.33203125,62336.875,107466.28125,45201.84375,62264.4375,0.0025239132810384035,0.004393886309117079,0.0011620329460129142,0.25239132810384035,6.391887532547116,1.053771990984678,5.715979677159339,1.0771438483893871,1.1370007289573552,14.344480259157718,14.344480259157718,greedy,1.1370007289573552,0.0,hard_fault_cluster
8,N11975,control0,1.5616302490234375,2.0011879461817443,1.5616302490234375,0.9215342998504639,2.203625192027539,0.009215342998504638,0.42861899733543396,0.02559424377977848,0.02559424377977848,0.4944043655693531,0.05816471949219704,0.17746172845363617,0.04821952432394028,106377.78125,44428.09375,61949.68359375,106350.453125,44398.5625,61951.88671875,0.00025689692120067775,0.0006646976689808071,-3.556313458830118e-05,0.025689692120067775,6.763600492849946,2.519964773878455,6.053254085127264,2.3276523187011477,2.0011879461817443,17.642339227404445,17.642339227404445,greedy,2.0011879461817443,0.0,hard_fault_cluster
9,N12015,control0,1.4288902282714844,1.1329916153103112,1.4288902282714844,0.876494824886322,1.2147328812628984,0.00876494824886322,0.4204789102077484,0.02879289723932743,0.02879289723932743,0.438736312687397,0.05349886044859886,0.16853246092796326,0.044876519590616226,107466.3203125,45201.890625,62264.4296875,107232.0234375,45039.5,62192.5234375,0.0021801888942718506,0.0035925626289099455,0.0011548527982085943,0.21801888942718506,6.255173766985536,1.2136305603384971,5.5762079753912985,1.203052679002285,1.1329916153103112,15.47747187446803,15.47747187446803,greedy,1.1329916153103112,0.0,hard_fault_cluster
10,N12055,control0,1.350588083267212,1.2097397539764643,1.350588083267212,0.8725944757461548,1.141022751107812,0.008725944757461548,0.42422646284103394,0.02986026741564274,0.02986026741564274,0.4943890541791916,0.052122391760349274,0.17065441608428955,0.04532398283481598,107232.015625,45039.51171875,62192.5078125,107048.328125,44917.39453125,62130.9296875,0.0017129911575466394,0.0027113347314298153,0.0009901212761178613,0.17129911575466394,6.114693919196725,1.2710649779438972,5.437852861825377,1.2327812722325324,1.2097397539764643,16.687211628444494,16.687211628444494,greedy,1.2097397539764643,0.0,hard_fault_cluster
11,N11941,control0,1.3781918287277222,1.564972297847271,1.3781918287277222,0.8932462930679321,1.4187851876020432,0.00893246293067932,0.42638230323791504,0.030894586816430092,0.030894586816430092,0.9754775461554527,0.05386481434106827,0.1739882379770279,0.045204903930425644,107048.3125,44917.359375,62130.953125,106793.296875,44770.82421875,62022.4765625,0.002382247941568494,0.0032623279839754105,0.0017459342489019036,0.23822479415684938,6.310622313991189,1.411523386836052,5.617516654077917,1.398629042506218,1.564972297847271,18.252183926291764,18.252183926291764,greedy,1.564972297847271,0.0,hard_fault_cluster
12,N4256,control0,0.6932958364486694,1.8627331644296645,0.6932958364486694,0.6019332408905029,1.4769831430912017,0.006019332408905029,0.06131577491760254,0.0012745168060064316,0.0012745168060064316,1.411391687989235,0.050474829971790314,0.14866553246974945,0.024021673947572708,104172.671875,43519.4921875,60653.1796875,103985.046875,43406.1171875,60578.93359375,0.001801096135750413,0.002605154411867261,0.001224108855240047,0.1801096135750413,5.650690754875541,1.2688768142461777,5.198284936603159,1.2437365883588791,1.8627331644296645,32.37112220022827,32.37112220022827,greedy,1.8627331644296645,0.0,hard_fault_cluster
13,N7680,control0,0.6711190342903137,3.4381389781832694,0.6711190342903137,0.6409263610839844,2.2926318624615667,0.006409263610839844,0.07108861207962036,0.0017026718705892563,0.0017026718705892563,5.974585576057434,0.054230671375989914,0.14945779740810394,0.026936721056699753,105258.15625,44057.7421875,61200.4140625,104593.765625,43749.953125,60843.81640625,0.006312010809779167,0.006986037828028202,0.00582671957090497,0.6312010809779167,6.065696170553565,2.391864328086376,5.583724395837635,2.4177120015025135,3.4381389781832694,28.06501419339329,28.06501419339329,greedy,3.4381389781832694,0.0,hard_fault_cluster
14,N7682,control0,0.7394551038742065,2.443374842405319,0.7394551038742065,0.6214026212692261,1.7370517559349536,0.006214026212692261,0.0668703019618988,0.0026400424540042877,0.0026400424540042877,2.24494491353631,0.052445974200963974,0.15042608976364136,0.02587118372321129,104593.75,43749.921875,60843.82421875,104172.0078125,43519.2578125,60652.75,0.0040321932174265385,0.005272330716252327,0.003140404587611556,0.40321932174265385,5.868640083819628,1.5671517191827298,5.400608086027205,1.547605031579733,2.443374842405319,30.508389035798608,30.508389035798608,greedy,2.443374842405319,0.0,hard_fault_cluster
15,N11952,control0,0.795748233795166,2.089171997085214,0.795748233795166,0.6291964054107666,2.060201605036855,0.006291964054107666,0.06694689393043518,-0.005550159141421318,-0.005550159141421318,0.6556316432356835,0.05278657376766205,0.1537860482931137,0.026346512138843536,103984.46875,43405.8671875,60578.59765625,104084.8125,43482.5234375,60602.2890625,-0.0009649878484196961,-0.0017660342855378985,-0.0003910854284185916,-0.09649878484196961,5.90230362303555,1.8612159711122511,5.434568938333541,1.8215741020441054,2.089171997085214,34.46029419731349,34.46029419731349,greedy,2.089171997085214,0.0,hard_fault_cluster
