metric_type	task	n	accuracy	balanced_accuracy	precision	recall	f1	positive_rate	pred_positive_rate
sign	hard_reduction_sa0_sign	4096	0.126953125					0.055908203125	0.150146484375
sign	hard_reduction_sa1_sign	4096	0.260498046875					0.2607421875	0.861083984375
sign	hard_reduction_total_sign	4096	0.22216796875					0.249267578125	0.715576171875
sign	return_pred_sign	4096	0.78125					0.78125	1.0
sign	reward_pred_sign	4096	0.5458984375					0.78125	0.6044921875
binary	hard_node_any	1991413	0.876107567842532	0.675889337670297	0.7881741715113556	0.3723076650797303	0.5057266321953526	0.17023992511849625	
binary	hard_node_sa0	1991413	0.9894250966524775	0.5659651112918362	0.7750629722921915	0.13238394355289765	0.22614191746591703	0.011671612066407119	
binary	hard_node_sa1	1991413	0.8799545850107436	0.6774225828201282	0.7716245323659449	0.37660920458876906	0.5061702892413456	0.16335938351311355	
topk_recall	hard_node_top10_recall	4096	0.3269230809792501						
topk_recall	hard_node_top20_recall	4096	0.48304962345113095						
topk_recall	hard_node_top50_recall	4096	0.6914815779080765						
topk_recall	hard_node_top100_recall	4096	0.7909941007711753						
