checkpoint_name	benchmark_id	state_id	candidate_strategy	score_field	candidate_count	spearman	kendall_tau	pearson	topk	topk_real_gain_by_pred	topk_hit_rate	top1_real_delta_tc	top1_regret	sign_accuracy	negative_top1	calibration_slope	calibration_intercept
incumbent	b15_C	initial	cached_hard_cone	hard_reduction_total_pred	48	0.6944997282346111	0.640960809102402	0.6272001274356065	5	0.030590000000000006	0.0	0.030590000000000006	0.0	0.0	0	2.0008991596575028	0.1514537352675357
incumbent	b15_C	initial	cached_hard_cone	hybrid_pred	48	0.6898542888818149	0.6264009962640099	0.6337012589528881	5	0.030590000000000006	0.0	0.030590000000000006	0.0	0.0	0	0.01920983858147964	0.13716340184343576
incumbent	b15_C	initial	cached_hard_cone	derived_hard_reduction_total_pred	48	0.35742409858569585	0.3275217932752179	0.4744421269385477	5	0.030590000000000006	1.0	0.030590000000000006	0.0	1.0	0	0.5763340771615121	-0.019627784292417173
incumbent	b15_C	initial	cached_hard_cone	derived_hard_reduction_hybrid_pred	48	0.35742409858569585	0.3275217932752179	0.47444212693854765	5	0.030590000000000006	1.0	0.030590000000000006	0.0	1.0	0	0.00576334077161512	-0.019627784292417166
incumbent	b15_C	initial	cached_stride	hard_reduction_total_pred	48	0.3242423435825788	0.30514285714285716	0.23984018011164124	5	0.01836600000000004	0.0	0.030590000000000006	0.0020700000000001273	0.0	0	0.1686569819194634	0.02943647235352622
incumbent	b15_C	initial	cached_stride	hybrid_pred	48	0.3391069969541686	0.32342857142857145	0.2418461614162574	5	0.01836600000000004	0.0	0.030590000000000006	0.0020700000000001273	0.020833333333333332	0	0.0016406639137226955	0.02838397251659455
incumbent	b15_C	initial	cached_stride	derived_hard_reduction_total_pred	48	0.08907444959311439	0.08342857142857144	0.09447368198794655	5	0.02447800000000002	0.0	0.030590000000000006	0.0020700000000001273	0.9375	0	0.04358688275175207	0.019001967376235277
incumbent	b15_C	initial	cached_stride	derived_hard_reduction_hybrid_pred	48	0.08907444959311439	0.08342857142857144	0.09447368198794655	5	0.02447800000000002	0.0	0.030590000000000006	0.0020700000000001273	0.9375	0	0.00043586882751752077	0.019001967376235277
incumbent	b15_C	initial	hard_fault_recall_union	hard_reduction_total_pred	48	0.3433461650755688	0.27309236947791166	0.2234096168980293	5	0.03057800000000006	0.0	0.03064000000000011	0.03791	0.020833333333333332	0	0.16145324183310253	0.035634282078265495
incumbent	b15_C	initial	hard_fault_recall_union	hybrid_pred	48	0.3436781678137563	0.2710843373493976	0.22466098502287404	5	0.03057800000000006	0.0	0.03064000000000011	0.03791	0.041666666666666664	0	0.0015679783472633303	0.03459043892520819
