variant	candidate_strategy	diversity	final_tc_pct	gap_vs_deeptpi_pp	plan_types	plan_sec	decision
incumbent	heuristic_recall_pool	0.0	89.987	-3.213	277 observe; 1 control0	1140.912	baseline
matched_hfc_d002	hard_fault_cone	0.02	92.154	-1.046	267 observe; 7 control1; 4 control0	257.989	keep-tie
hfc_d000	hard_fault_cone	0.0	92.154	-1.046	267 observe; 7 control1; 4 control0	294.375	keep
union_d002	hard_fault_recall_union	0.02	89.035	-4.165	278 observe	878.699	discard
recall_d002	heuristic_recall_pool	0.02	90.510	-2.690	277 observe; 1 control0	977.592	discard
