benchmark_id,sequence_id,step,seed,random_patterns,candidate_count,inserted_count,candidate_id,net,type,insertion_sequence,source_bench_sha256,inserted_bench_sha256,total_faults,detected_faults,test_coverage,fault_coverage,pattern_count,effective_pattern_count,baseline_test_coverage,baseline_fault_coverage,baseline_pattern_count,baseline_effective_pattern_count,delta_test_coverage,delta_fault_coverage,delta_pattern_count,delta_effective_pattern_count,fault_list_path,fault_csv_path,hard_fault_summary_path,hard_fault_count,undetected_fault_count,fault_status_counts,work_dir,status,error,source_plan_csv,pred_score,pred_fc,pred_pattern,elapsed_sec
b17_C,-1,0,2026,50000,135685,0,,,,[],ceefd1823d9b1b57b50721c97d6b78f5e32325212494a0a1a251143429889791,b5124a9a16004486642308e8d61959274dd889740204caa74f734287a685be8d,81132,69468,0.85623,0.85623,50000,1930,0.85623,0.85623,50000,1930,0.0,0.0,0,0,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/baseline/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/baseline/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/baseline/hard_fault_summary.json,11664,11664,"{""undetected"": 11664}",autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/baseline,ok,,autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv,,,,64.2896990776062
b17_C,0,1,2026,50000,135685,1,114728,N26514,CP1,"[{""candidate_id"": 114728, ""net"": ""N26514"", ""type"": ""CP1"", ""score"": 0.4674209952354431}]",ceefd1823d9b1b57b50721c97d6b78f5e32325212494a0a1a251143429889791,acb12d4e14808436c4325efdd6fb49bfd2be37b2e758340c0a58a25d0ac03e62,81134,68572,0.84517,0.84517,50000,1817,0.85623,0.85623,50000,1930,-0.01106000000000007,-0.01106000000000007,0,-113,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0001/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0001/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0001/hard_fault_summary.json,12562,12562,"{""undetected"": 12562}",autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0001,ok,,autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv,0.4674209952354431,0.004674209952354431,0.6027137637138367,53.276100873947144
b17_C,0,2,2026,50000,135685,2,85332,N29390,CP0,"[{""candidate_id"": 114728, ""net"": ""N26514"", ""type"": ""CP1"", ""score"": 0.4674209952354431}, {""candidate_id"": 85332, ""net"": ""N29390"", ""type"": ""CP0"", ""score"": 0.46686094999313354}]",ceefd1823d9b1b57b50721c97d6b78f5e32325212494a0a1a251143429889791,8c3583acbfbcd1e2c8c5bdac75b8c935c0e3ce737b544cbd59bd043023f46b50,81138,68580,0.8452299999999999,0.8452299999999999,50000,1817,0.85623,0.85623,50000,1930,-0.01100000000000012,-0.01100000000000012,0,-113,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0002/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0002/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0002/hard_fault_summary.json,12558,12558,"{""undetected"": 12558}",autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0002,ok,,autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv,0.46686094999313354,0.004668609499931336,0.5698836445808411,59.30937623977661
b17_C,0,3,2026,50000,135685,3,113411,N26513,CP1,"[{""candidate_id"": 114728, ""net"": ""N26514"", ""type"": ""CP1"", ""score"": 0.4674209952354431}, {""candidate_id"": 85332, ""net"": ""N29390"", ""type"": ""CP0"", ""score"": 0.46686094999313354}, {""candidate_id"": 113411, ""net"": ""N26513"", ""type"": ""CP1"", ""score"": 0.4592793583869934}]",ceefd1823d9b1b57b50721c97d6b78f5e32325212494a0a1a251143429889791,8e76566b2a3fb4ec521ff29943ee74532dc92ec9e8765803c4db2c6c6286c52b,81140,68612,0.8456,0.8456,50000,1817,0.85623,0.85623,50000,1930,-0.010630000000000028,-0.010630000000000028,0,-113,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0003/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0003/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0003/hard_fault_summary.json,12528,12528,"{""undetected"": 12528}",autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0003,ok,,autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv,0.4592793583869934,0.004592793583869934,0.4988521933555603,55.17017126083374
b17_C,0,4,2026,50000,135685,4,110308,N26504,CP1,"[{""candidate_id"": 114728, ""net"": ""N26514"", ""type"": ""CP1"", ""score"": 0.4674209952354431}, {""candidate_id"": 85332, ""net"": ""N29390"", ""type"": ""CP0"", ""score"": 0.46686094999313354}, {""candidate_id"": 113411, ""net"": ""N26513"", ""type"": ""CP1"", ""score"": 0.4592793583869934}, {""candidate_id"": 110308, ""net"": ""N26504"", ""type"": ""CP1"", ""score"": 0.44903892278671265}]",ceefd1823d9b1b57b50721c97d6b78f5e32325212494a0a1a251143429889791,c61c6898f62be76fbaf998185fe2bdbf89b971bccbecedc174f843c3f27de1e7,81142,68636,0.84588,0.84588,50000,1817,0.85623,0.85623,50000,1930,-0.010350000000000081,-0.010350000000000081,0,-113,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0004/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0004/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0004/hard_fault_summary.json,12506,12506,"{""undetected"": 12506}",autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0004,ok,,autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv,0.44903892278671265,0.004490389227867126,0.4689248204231262,55.77810049057007
b17_C,0,5,2026,50000,135685,5,111873,N26512,CP1,"[{""candidate_id"": 114728, ""net"": ""N26514"", ""type"": ""CP1"", ""score"": 0.4674209952354431}, {""candidate_id"": 85332, ""net"": ""N29390"", ""type"": ""CP0"", ""score"": 0.46686094999313354}, {""candidate_id"": 113411, ""net"": ""N26513"", ""type"": ""CP1"", ""score"": 0.4592793583869934}, {""candidate_id"": 110308, ""net"": ""N26504"", ""type"": ""CP1"", ""score"": 0.44903892278671265}, {""candidate_id"": 111873, ""net"": ""N26512"", ""type"": ""CP1"", ""score"": 0.3824231028556824}]",ceefd1823d9b1b57b50721c97d6b78f5e32325212494a0a1a251143429889791,14b57b5a08d3fd944eb72e5c9c6594e5c9ee9b1b3014ddbe99e33aa9c12140d1,81144,68648,0.846,0.846,50000,1817,0.85623,0.85623,50000,1930,-0.010230000000000072,-0.010230000000000072,0,-113,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0005/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0005/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0005/hard_fault_summary.json,12496,12496,"{""undetected"": 12496}",autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/evals/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0/b17_C/seq_0000/step_0005,ok,,autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv,0.3824231028556824,0.0038242310285568236,0.3619375228881836,56.61806893348694
