checkpoint	score_field	groups	top1_accuracy	type_accuracy	within_best_type_top1_accuracy	mean_within_best_type_regret_pp	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	mean_same_type_pairwise_accuracy	selected_control0	selected_control1	selected_observe
round8_incumbent	typed_return_pred	90	0.26666666666666666	0.8777777777777778	0.2777777777777778	0.2034888888888885	0.15222222222222268	0.19192222222222202	0.14444444444444443	0.561655990622505	0.7708421445729171	0.5244155378496254	8	5	77
round10_b15_selected	typed_return_pred	90	0.2222222222222222	0.8666666666666667	0.25555555555555554	0.19508888888888873	0.1183333333333343	0.2258111111111104	0.16666666666666666	0.5651771025251798	0.7598939670036597	0.5351687947771365	2	10	78
return_pairwise_expanded_e006	typed_return_pred	90	0.26666666666666666	0.8666666666666667	0.2777777777777778	0.2034888888888885	0.15222222222222268	0.19192222222222202	0.14444444444444443	0.5622082896610058	0.7710261916703804	0.5220747032561026	7	6	77
return_pairwise_expanded_e008	typed_return_pred	90	0.2777777777777778	0.8666666666666667	0.28888888888888886	0.2031111111111107	0.1516111111111116	0.19253333333333308	0.14444444444444443	0.5642832377131741	0.7718166704752002	0.5207340009301061	7	6	77
return_pairwise_expanded_e010	typed_return_pred	90	0.28888888888888886	0.8666666666666667	0.3111111111111111	0.19976666666666631	0.1516111111111116	0.19253333333333308	0.14444444444444443	0.5648179250551623	0.7712377853441335	0.5219690804838131	7	6	77
return_hybrid_listwise_e006	typed_return_pred	90	0.2777777777777778	0.8666666666666667	0.28888888888888886	0.2031111111111107	0.15260000000000046	0.19154444444444427	0.14444444444444443	0.5658563450587647	0.7730875787568618	0.5220898116045443	7	6	77
return_hybrid_listwise_e008	typed_return_pred	90	0.2777777777777778	0.8666666666666667	0.3	0.19976666666666631	0.1516111111111116	0.19253333333333308	0.14444444444444443	0.5638990259486487	0.7710985260798774	0.521416455730208	7	6	77
return_hybrid_listwise_e010	typed_return_pred	90	0.28888888888888886	0.8666666666666667	0.3111111111111111	0.19976666666666631	0.1516111111111116	0.19253333333333308	0.14444444444444443	0.5642460612519394	0.7707035430520865	0.5224667746350161	7	6	77
return_top_listwise_e006	typed_return_pred	90	0.2777777777777778	0.8666666666666667	0.28888888888888886	0.2031111111111107	0.15260000000000046	0.19154444444444427	0.14444444444444443	0.5656088187803233	0.7724715413421245	0.5249079934227261	7	6	77
return_top_listwise_e008	typed_return_pred	90	0.2777777777777778	0.8666666666666667	0.3	0.19976666666666631	0.15260000000000046	0.19154444444444427	0.14444444444444443	0.5633842830541138	0.7706679868153542	0.5242754720196938	7	6	77
return_top_listwise_e010	typed_return_pred	90	0.28888888888888886	0.8666666666666667	0.3111111111111111	0.19976666666666631	0.1516111111111116	0.19253333333333308	0.14444444444444443	0.5615084278648774	0.7691324353366368	0.5226016409153932	7	6	77
