step,node,type,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,hybrid_pred,step_value,sequence_score,lookahead_score,objective_score,objective,planner,score_adjusted,diversity_penalty,candidate_strategy
1,__buf_split_6258,control1,-0.017639517784118652,-0.017639517784118652,-0.00017639517784118653,-0.4260547161102295,0.3264070749282837,-0.017639517784118652,0.04236597567796707,-0.08811156451702118,0.037209756672382355,4.545365124940872,4.545365124940872,4.545365124940872,11.42598021030426,11.42598021030426,cumulative,beam,4.545365124940872,0.0,hard_fault_recall_union
2,__aig_not_11343,observe,-0.05211386829614639,-0.05211386829614639,-0.000521138682961464,-0.43968236446380615,0.28487730026245117,-0.05211386829614639,0.040824901312589645,-0.09007720649242401,0.03231443464756012,4.315253563225269,4.315253563225269,8.860618688166142,11.54390262067318,11.54390262067318,cumulative,beam,4.315253563225269,0.0,hard_fault_recall_union
3,__buf_split_6258,observe,-0.03678952902555466,-0.03678952902555466,-0.00036789529025554657,-0.41126328706741333,0.08382014185190201,-0.03678952902555466,0.026395250111818314,-0.10258112847805023,0.05178854614496231,2.6865556240081787,2.6865556240081787,11.54717431217432,13.293223038315773,13.293223038315773,cumulative,beam,2.6865556240081787,0.0,hard_fault_recall_union
4,__aig_not_11343,control0,-0.044279225170612335,-0.044279225170612335,-0.00044279225170612335,-0.38449299335479736,0.14985179901123047,-0.044279225170612335,0.044365208595991135,-0.11306226253509521,0.054901123046875,4.542093433439732,4.542093433439732,16.089267745614052,20.41427793353796,20.41427793353796,cumulative,beam,4.542093433439732,0.0,hard_fault_recall_union
5,__aig_not_11395,observe,-0.09858285635709763,-0.09858285635709763,-0.0009858285635709764,-0.2700408697128296,0.19301745295524597,-0.09858285635709763,0.0573074035346508,-0.142507866024971,0.05680999159812927,5.825174950063229,5.825174950063229,21.91444269567728,26.67193429917097,26.67193429917097,cumulative,beam,5.825174950063229,0.0,hard_fault_recall_union
