checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0002	2	9	__aig_and_12749::observe	observe	__aig_and_12751::observe	observe	0	1	0.14899999999999913	0.2849999999999908	0.13599999999999168	0	0.7074749701108396	0.9333333333333333
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0020	prefix_0004	4	9	__aig_and_22962::observe	observe	__aig_and_12749::observe	observe	0	1	0.012000000000000899	0.14600000000000168	0.13400000000000079	0	0.2738612787525831	0.75
cone_rank_best_final_horizon	typed_return_pred	subckt_0020	prefix_0004	4	9	__aig_not_12684::control0	control0	__aig_and_12749::observe	observe	0	0	0.012000000000000899	0.14600000000000168	0.13400000000000079	0	0.13693063937629155	0.625
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0004	4	9	__aig_and_22962::observe	observe	__aig_and_12749::observe	observe	0	1	0.012000000000000899	0.14600000000000168	0.13400000000000079	0	0.4107919181288746	0.875
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0020	prefix_0008	8	9	__aig_and_22962::observe	observe	__buf_split_7028::control1	control1	0	0	0.010999999999994348	0.270999999999999	0.26000000000000467	0	0.41894116043477125	0.6451612903225806
cone_rank_best_final_horizon	typed_return_pred	subckt_0020	prefix_0008	8	9	__aig_not_12684::control0	control0	__buf_split_7028::control1	control1	0	0	-0.12199999999999989	0.270999999999999	0.3929999999999989	1	-0.41894116043477125	0.3225806451612903
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0008	8	9	__aig_and_22962::observe	observe	__buf_split_7028::control1	control1	0	0	0.010999999999994348	0.270999999999999	0.26000000000000467	0	0.03419927840283847	0.5161290322580645
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0020	prefix_0012	12	9	__aig_and_11907::control1	control1	__aig_and_11874::observe	observe	0	0	0.004999999999999449	0.010999999999994348	0.005999999999994898	0	0.6948792289723034	0.8461538461538461
cone_rank_best_final_horizon	typed_return_pred	subckt_0020	prefix_0012	12	9	new_n5238::control0	control0	__aig_and_11874::observe	observe	0	0	0.004999999999999449	0.010999999999994348	0.005999999999994898	0	-0.008908708063747479	0.5
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0012	12	9	__aig_and_12691::observe	observe	__aig_and_11874::observe	observe	0	1	0.010999999999994348	0.010999999999994348	0.0	0	0.6147008563985761	0.7692307692307693
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0020	prefix_0016	16	9	__aig_and_22968::observe	observe	__aig_and_11874::observe	observe	0	1	0.012000000000000899	0.012000000000000899	0.0	0	0.5631981819858727	0.7241379310344828
cone_rank_best_final_horizon	typed_return_pred	subckt_0020	prefix_0016	16	9	__aig_not_12679::control0	control0	__aig_and_11874::observe	observe	0	0	-0.12300000000000644	0.012000000000000899	0.13500000000000734	1	-0.3725772588521927	0.3793103448275862
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0016	16	9	__aig_and_21813::observe	observe	__aig_and_11874::observe	observe	0	1	0.012000000000000899	0.012000000000000899	0.0	0	0.7884774547802218	0.8620689655172413
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0020	prefix_0024	24	9	__aig_and_12672::observe	observe	__aig_and_12672::observe	observe	1	1	0.01100000000000545	0.01100000000000545	0.0	0	0.7538191051195527	0.8275862068965517
cone_rank_best_final_horizon	typed_return_pred	subckt_0020	prefix_0024	24	9	__buf_split_7504::observe	observe	__aig_and_12672::observe	observe	0	1	0.01100000000000545	0.01100000000000545	0.0	0	0.24260844762468364	0.6206896551724138
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0024	24	9	__aig_and_12672::observe	observe	__aig_and_12672::observe	observe	1	1	0.01100000000000545	0.01100000000000545	0.0	0	0.7971420421953891	0.8620689655172413
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0020	prefix_0031	31	9	__aig_not_12671::observe	observe	__aig_and_12672::observe	observe	0	1	0.011999999999989797	0.011999999999989797	0.0	0	0.66717323096788	0.7931034482758621
cone_rank_best_final_horizon	typed_return_pred	subckt_0020	prefix_0031	31	9	__aig_and_12691::observe	observe	__aig_and_12672::observe	observe	0	1	0.011999999999989797	0.011999999999989797	0.0	0	0.4765523078342	0.7241379310344828
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0020	prefix_0031	31	9	__aig_not_12671::observe	observe	__aig_and_12672::observe	observe	0	1	0.011999999999989797	0.011999999999989797	0.0	0	0.66717323096788	0.7931034482758621
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0001	1	9	new_n50721_::control1	control1	new_n47867_::control1	control1	0	1	1.2740000000000085	2.9810000000000003	1.7069999999999919	0	0.8946135105917713	0.9615384615384616
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0001	1	9	new_n50721_::control1	control1	new_n47867_::control1	control1	0	1	1.2740000000000085	2.9810000000000003	1.7069999999999919	0	0.8946135105917713	0.9615384615384616
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0001	1	9	__buf_split_22218::observe	observe	new_n47867_::control1	control1	0	0	-0.06799999999999029	2.9810000000000003	3.0489999999999906	1	-0.27386127875258304	0.38461538461538464
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0002	2	9	new_n48575_::observe	observe	new_n47867_::control1	control1	0	0	0.048000000000003595	2.882999999999991	2.8349999999999875	0	0.47699162299076214	0.6857142857142857
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0002	2	9	new_n48575_::observe	observe	new_n47867_::control1	control1	0	0	0.048000000000003595	2.882999999999991	2.8349999999999875	0	0.25941649671427414	0.6
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0002	2	9	__buf_split_14093::observe	observe	new_n47867_::control1	control1	0	0	0.16899999999999693	2.882999999999991	2.713999999999994	0	-0.46025507481564765	0.37142857142857144
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0004	4	9	new_n48632_::observe	observe	new_n48587_::observe	observe	0	1	0.40999999999998815	0.40999999999998815	0.0	0	0.5703418756083616	0.71875
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0004	4	9	__buf_split_13999::control1	control1	new_n48587_::observe	observe	0	0	0.08499999999999064	0.40999999999998815	0.3249999999999975	0	0.297939785765562	0.5625
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0004	4	9	new_n48632_::observe	observe	new_n48587_::observe	observe	0	1	0.40999999999998815	0.40999999999998815	0.0	0	0.8086937042208112	0.8125
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0008	8	9	new_n48663_::observe	observe	new_n48587_::observe	observe	0	1	0.41400000000000325	0.41400000000000325	0.0	0	0.6668859288553501	0.7419354838709677
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0008	8	9	new_n22321_::control1	control1	new_n48587_::observe	observe	0	0	-0.030999999999992145	0.41400000000000325	0.4449999999999954	1	0.30779350562554625	0.5806451612903226
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0038	prefix_0008	8	9	new_n48590_::observe	observe	new_n48587_::observe	observe	0	1	0.41400000000000325	0.41400000000000325	0.0	0	0.7181848464596079	0.8387096774193549
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0038	prefix_0012	12	9	new_n48671_::observe	observe	new_n48587_::observe	observe	0	1	0.4190000000000027	0.4190000000000027	0.0	0	0.8944271909999159	1.0
cone_rank_best_final_horizon	typed_return_pred	subckt_0038	prefix_0012	12	9	__buf_split_22224::control1	control1	new_n48587_::observe	observe	0	0	0.09200000000000319	0.4190000000000027	0.3269999999999995	0	0.5590169943749475	0.782608695652174
