checkpoint	score_field	groups	top1_accuracy	type_accuracy	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	selected_control0	selected_control1	selected_observe
cone_rank_best_final_horizon	typed_marginal_pred	192	0.203125	0.6614583333333334	0.617885416666666	0.21990104166666677	0.041666666666666664	0.5165282828353408	0.7612247479018892	0	40	152
cone_rank_best_final_horizon	typed_return_pred	192	0.13020833333333334	0.453125	0.16782291666666604	0.6699635416666666	0.140625	0.19142666455722823	0.5976142313549576	45	36	111
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	192	0.22395833333333334	0.6197916666666666	0.31456770833333286	0.5232187499999998	0.046875	0.4440770554545681	0.7181121911666829	1	0	191
cone_rank_epoch_012	typed_marginal_pred	192	0.20833333333333334	0.65625	0.6103645833333325	0.2274218750000001	0.052083333333333336	0.5549316018602583	0.7801343389043613	2	35	155
cone_rank_epoch_012	typed_return_pred	192	0.125	0.5104166666666666	0.16470312499999937	0.6730833333333334	0.125	0.26828546227970235	0.6377020548909274	35	30	127
cone_rank_epoch_012	typed_sa_reduction_total_pred	192	0.19791666666666666	0.5989583333333334	0.25307812499999965	0.584708333333333	0.052083333333333336	0.4350664660856354	0.7128487432177038	2	3	187
cone_toplist_best_final_horizon	typed_marginal_pred	192	0.16666666666666666	0.65625	0.6044635416666659	0.23332291666666674	0.041666666666666664	0.5123203088109857	0.7553822563231145	1	33	158
cone_toplist_best_final_horizon	typed_return_pred	192	0.14583333333333334	0.4791666666666667	0.17677083333333266	0.661015625	0.11979166666666667	0.23656196577877317	0.6185368414000126	33	37	122
cone_toplist_best_final_horizon	typed_sa_reduction_total_pred	192	0.19791666666666666	0.6197916666666666	0.31478645833333285	0.5229999999999998	0.052083333333333336	0.45031684044955733	0.7195630351463588	2	0	190
cone_toplist_epoch_012	typed_marginal_pred	192	0.19791666666666666	0.6666666666666666	0.6095781249999993	0.22820833333333337	0.041666666666666664	0.544276599670087	0.7723767523898885	1	35	156
cone_toplist_epoch_012	typed_return_pred	192	0.13020833333333334	0.5208333333333334	0.2014739583333325	0.6363125000000002	0.09895833333333333	0.2948414699235728	0.649619353538128	28	31	133
cone_toplist_epoch_012	typed_sa_reduction_total_pred	192	0.171875	0.6041666666666666	0.2452604166666662	0.5925260416666666	0.0625	0.43122934473492436	0.7115632193007095	1	3	188
cone_toplist_sa_best_final_horizon	typed_marginal_pred	192	0.17708333333333334	0.65625	0.6044635416666659	0.23332291666666674	0.041666666666666664	0.5112294395830783	0.754891240314857	1	33	158
cone_toplist_sa_best_final_horizon	typed_return_pred	192	0.14583333333333334	0.4791666666666667	0.174979166666666	0.6628072916666667	0.11979166666666667	0.22826612785922418	0.6142236500307733	37	36	119
cone_toplist_sa_best_final_horizon	typed_sa_reduction_total_pred	192	0.22916666666666666	0.6197916666666666	0.37858333333333305	0.4592031249999997	0.041666666666666664	0.4698215340580522	0.7295072537425731	1	1	190
cone_toplist_sa_epoch_012	typed_marginal_pred	192	0.19270833333333334	0.6666666666666666	0.6059583333333326	0.23182812500000013	0.041666666666666664	0.5423118582203912	0.7712171945042978	1	33	158
cone_toplist_sa_epoch_012	typed_return_pred	192	0.13020833333333334	0.5208333333333334	0.2014739583333325	0.6363125000000002	0.09895833333333333	0.29231042458548323	0.6481287656365047	28	31	133
cone_toplist_sa_epoch_012	typed_sa_reduction_total_pred	192	0.23958333333333334	0.6145833333333334	0.3972656249999997	0.44052083333333303	0.041666666666666664	0.4587521488808302	0.723046283234507	1	2	189
