epoch	train_loss	train_value_loss	train_rank_loss	train_groups	train_pairs	val_rank_loss	val_spearman	val_negative_top1_rate	val_top1_regret	val_groups	val_pairs	is_best
1	0.7200575416209176	0.428408928506542	0.7200575416209176	288	18466	0.6682608835399151	0.01791600955785484	0.375	0.035528125	48	4706	1
2	0.6425860108704202	0.552366969951739	0.6425860108704202	288	18466	0.6662545800209045	0.0009537642820638682	0.5	0.03786979166666666	48	4706	0
3	0.6196996994937459	0.7841097046491794	0.6196996994937459	288	18466	0.6648691557347775	-0.03841437219483785	0.4791666666666667	0.03766104166666666	48	4706	0
4	0.5770012879123291	0.9751050358172506	0.5770012879123291	288	18466	0.6682898737490177	-0.06482141626862503	0.5	0.03357562499999999	48	4706	0
5	0.558704748749733	0.9939758095942024	0.558704748749733	288	18466	0.6714763393004736	-0.09289481133883785	0.5208333333333334	0.03362541666666666	48	4706	0
6	0.5597121255058382	1.0107350351754576	0.5597121255058382	288	18466	0.6742064841091633	-0.12248499212640422	0.5416666666666666	0.034191249999999986	48	4706	0
7	0.5541470309512483	0.9766916617388941	0.5541470309512483	288	18466	0.6761121712625027	-0.11067449797145447	0.5208333333333334	0.032796874999999996	48	4706	0
8	0.5521980257083973	0.937309832965386	0.5521980257083973	288	18466	0.6752979891995589	-0.11714024344472425	0.5208333333333334	0.03314937499999999	48	4706	0
