step,node,type,q_pred,q_pred_context,q_pred_type_context,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N1762,control0,2.1264634132385254,6.313197910785675,5.980922412872314,2.1264634132385254,0.7614134550094604,6.085519504547118,5.999999999999999,0.007614134550094604,0.3882475197315216,0.0564865916967392,0.0564865916967392,3.577664563655853,0.08845238387584686,0.21118532121181488,0.07659325003623962,66282.9140625,26567.21875,39715.6953125,69084.1328125,29101.765625,39982.3671875,-0.042261552065610886,-0.09540128707885742,-0.00671452097594738,-4.226155206561089,9.663138434290886,3.1549634706974032,9.049713399261236,3.0484493744373324,5.761607968807221,5.389334912952036,5.389334912952036,5.389334912952036,5.389334912952036,greedy,5.389334912952036,0.0,hard_fault_cluster
2,N4805,control1,1.504497766494751,1.4920070830732584,2.1784003376960754,1.504497766494751,0.697379469871521,1.6979101244360206,1.9340178251266478,0.00697379469871521,0.38853690028190613,0.03842607140541077,0.03842607140541077,0.2326852387189865,0.07244901359081268,0.17896656692028046,0.0622100904583931,69092.03125,29113.69140625,39978.34375,69181.5234375,29139.177734375,40042.34765625,-0.0012952606193721294,-0.0008754069567658007,-0.0016009644605219364,-0.12952606193721294,7.9807069003582,1.1952254810929297,7.428852744400501,1.1392948248982429,1.623208487033844,2.2008632166683673,2.2008632166683673,7.590198129620402,7.590198129620402,greedy,2.2008632166683673,0.0,hard_fault_cluster
3,N1911,control0,1.271843433380127,1.9873000115156176,1.8991924881935118,1.271843433380127,0.6668685674667358,1.8320455431938172,1.9724067211151122,0.006668685674667358,0.3633538484573364,0.03384806215763092,0.03384806215763092,0.08232714951038356,0.0734441876411438,0.15799254179000854,0.04545660316944122,69181.859375,29137.46875,40044.390625,68914.046875,28784.6484375,40129.40234375,0.0038711377419531345,0.012108818627893925,-0.0021229370031505823,0.38711377419531345,8.045135393738747,2.609686677455902,7.519597921520472,2.599754135608673,2.1801968276500703,2.356492938026786,2.356492938026786,9.946691067647189,9.946691067647189,greedy,2.356492938026786,0.0,hard_fault_cluster
4,N4581,observe,1.1128807067871094,1.1079316288232803,1.3384815812110902,1.1128807067871094,0.64296555519104,1.087676067650318,1.6912005662918088,0.0064296555519104005,0.37833812832832336,0.032230012118816376,0.032230012118816376,-0.13880614191293716,0.07082031667232513,0.15962477028369904,0.047565676271915436,68913.921875,28786.6953125,40127.2265625,69769.09375,29356.05859375,40413.03125,-0.012409276328980923,-0.019778694957494736,-0.007122463081032038,-1.2409276328980923,7.75722723454237,1.3017171972990036,7.2508305590599775,1.24288026034832,1.1047439292073251,1.531600379422307,1.531600379422307,11.478291447069495,11.478291447069495,greedy,1.531600379422307,0.0,hard_fault_cluster
5,N3951,control0,1.0620129108428955,1.1591150941327213,0.8674856185913086,1.0620129108428955,0.681604266166687,1.3618669094517826,1.0616735756397246,0.00681604266166687,0.37435612082481384,0.03256126493215561,0.03256126493215561,0.3965403577685356,0.06412972509860992,0.15194500982761383,0.04340897500514984,69769.234375,29356.2578125,40412.98046875,69129.515625,28861.28125,40268.234375,0.009169066324830055,0.016861023381352425,0.0035816733725368977,0.9169066324830055,7.127138040959835,0.9094941641390323,6.591513892635703,0.8464461435005068,1.2341102004051208,1.0492862162739038,1.0492862162739038,12.527577663343399,12.527577663343399,greedy,1.0492862162739038,0.0,hard_fault_cluster
6,N3410,control0,1.0648226737976074,1.2236830240488052,1.3566155493259429,1.0648226737976074,0.7233812808990479,1.5428753599524496,1.7472588062286376,0.007233812808990479,0.3737923800945282,0.02881387062370777,0.02881387062370777,0.04236314922571177,0.06041794270277023,0.14813929796218872,0.0412311851978302,69129.5703125,28861.27734375,40268.29296875,68655.734375,28478.56640625,40177.16796875,0.006854316219687462,0.013260360807180405,0.0022629466839134693,0.6854316219687462,6.793989421799779,0.757381092607975,6.229843058157712,0.6458189895749092,1.5924348443746568,2.027381855994463,2.027381855994463,14.554959519337862,14.554959519337862,greedy,2.027381855994463,0.0,hard_fault_cluster
7,N5778,control0,1.0443391799926758,1.5406751435250043,2.439806056022644,1.0443391799926758,0.7339527606964111,1.803140377625823,2.861562180519104,0.007339527606964111,0.38564249873161316,0.031023958697915077,0.031023958697915077,0.6168721529841423,0.0618990883231163,0.15321387350559235,0.041659701615571976,68656.1015625,28478.646484375,40177.453125,68912.6484375,28608.765625,40303.8828125,-0.0037366945762187243,-0.004569007083773613,-0.003146782051771879,-0.3736694576218724,6.9548855517059565,1.2790746497362853,6.381153012160212,1.2219382929056883,1.6916036859154702,2.887826600372791,2.887826600372791,17.442786119710654,17.442786119710654,greedy,2.887826600372791,0.0,hard_fault_cluster
8,N2900,control0,0.8555446863174438,1.2417003475129602,2.158204478025436,0.8555446863174438,0.6882984638214111,0.9611997096985578,1.8722892582416535,0.006882984638214112,0.4054908752441406,0.036342933773994446,0.036342933773994446,1.1541536942124366,0.06041589379310608,0.15338580310344696,0.04255559295415878,68912.6171875,28608.65625,40303.9609375,68819.359375,28451.3984375,40367.9609375,0.0013532763114199042,0.0054968614131212234,-0.0015879332786425948,0.13532763114199042,6.7662307769060135,0.9931842578947544,6.222749728709459,0.8832019461691379,1.2508140698075296,2.256331153437495,2.256331153437495,19.699117273148147,19.699117273148147,greedy,2.256331153437495,0.0,hard_fault_cluster
9,N4144,control0,0.45565980672836304,1.5116786884516478,0.5933119893074035,0.45565980672836304,0.8791707754135132,4.309747801348567,3.6119780063629148,0.008791707754135132,-0.057284802198410034,0.08648495376110077,0.08648495376110077,2.5211615783721206,0.03890916332602501,0.020953543484210968,0.018574178218841553,68818.9296875,28451.171875,40367.7578125,68769.328125,28353.181640625,40416.1484375,0.0007207546150311828,0.0034441545139998198,-0.0011987444013357162,0.07207546150311828,4.856572061777115,0.393174550049007,4.132330264896154,0.37792633522301916,2.432380786538124,1.962049476131797,1.962049476131797,21.661166749279943,21.661166749279943,greedy,1.962049476131797,0.0,hard_fault_cluster
10,N2682,control0,0.5124398469924927,1.057281318306923,2.4088794231414794,0.5124398469924927,0.8455801010131836,1.6287816897034646,1.4502704858779905,0.008455801010131835,-0.06395426392555237,0.09161493927240372,0.09161493927240372,-0.46717596083879476,0.037921033799648285,0.01788601279258728,0.018344443291425705,68769.4375,28353.44921875,40415.98828125,68863.1484375,28391.072265625,40472.078125,-0.0013626829022541642,-0.001326930127106607,-0.001387813244946301,-0.13626829022541642,4.729298420250416,0.7567947441339493,4.026402140036225,0.7272390538454055,1.4840366065502166,2.0631608948111535,2.0631608948111535,23.724327644091098,23.724327644091098,greedy,2.0631608948111535,0.0,hard_fault_cluster
