metric	label	better	incumbent	control	version_A	version_B
scoap_mae	SCOAP MAE	lower	0.0681312479719054	0.0561344289308181	0.059089114860398695	0.04937133060593624
scoap_acc_at_005	SCOAP acc <= 0.05	higher	0.499831511056982	0.5497349980287254	0.5550889323931187	0.6038712938316166
delta_scoap_mae	delta SCOAP MAE	lower	0.005660594677465269	0.0031981745023585972	0.005066101210104534	0.005996671025059186
delta_scoap_acc_at_001	delta SCOAP acc <= 0.01	higher	0.8699455708265305	0.9776856864336878	0.8731175793800503	0.9272580365650356
