epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_steps
1,1,0.7506391524672508,0.11084139716625213,0.016609491501934828,0.02095800717873499,1.2274618249982596,0.23231791600584983,0.2560590637773275,0.8881048383712769,0.11153617241978646,0.3253391079008579,1.5211537550515604,1.5211537550515604,0.0,1.52636043263176,1.0,500.0,0.0,0.23823201330378652,0.0728470289031975,0.004956397528076195,0.01480097763123922,0.29393010688363574,0.1488114174862858,0.05405236927617807,0.797086585778743,0.19495307508623227,0.4166828394518234,1.5408900270896595,1.5408900270896595,0.0,1.5229912996601929,1.0,256.0
2,1,0.593782486051321,0.09639984053373336,0.007311376386322081,0.014186621570959687,0.9541247098762542,0.19001767326367552,0.09164006499946117,0.8332301268577575,0.12224667540192605,0.38583127784729004,1.6095903075521678,1.6095903075521678,0.0,1.6351908962667576,1.0,500.0,0.0,0.19784451465238817,0.06918601447250694,0.0035640855194287724,0.012818838644307107,0.22666072566062212,0.14466750393330585,0.0209960680695076,0.6773047705646604,0.2341722597484477,0.516370712663047,1.5005425198032754,1.5005425198032754,0.0,1.5100725646501587,1.0,256.0
3,1,0.5137250874638557,0.09072010184824467,0.0061392147717997435,0.01539612292125821,0.8078292403891683,0.1566728444772598,0.05489120200648904,0.8010379158258438,0.12903920835256577,0.35764515897631644,1.428901328096801,1.428901328096801,0.0,1.4528879461347026,1.0,500.0,0.0,0.17830122986924835,0.05252928911068011,0.0032611297228868352,0.013409703515208093,0.22185835334676085,0.14076203711374546,0.013553855347709032,0.6606099791824818,0.252492657804396,0.5712492613820359,1.444009401951007,1.444009401951007,0.0,1.4995625123927034,1.0,256.0
4,1,0.4026459731310606,0.08511973378062249,0.0051100515439175065,0.015519830488599836,0.6007131399670615,0.15501070771760714,0.04136954182805493,0.7307321788072586,0.12845220164209603,0.36368645319342613,1.5207777368837596,1.5207777368837596,0.0,1.5390492539936427,1.0,500.0,0.0,0.16381012098281644,0.048539442650508136,0.0033170979522765265,0.014558265149389626,0.20305820802605012,0.13630981302048895,0.012336993402641383,0.6041512726806104,0.23048898589331657,0.47830108244670555,1.4829101469206165,1.4829101469206165,0.0,1.5146441973279252,1.0,256.0
