variant	min_gap_pp	macro_gap_pp	all_beat	b22_final_tc_pct	b22_gap_pp	b17_final_tc_pct	b17_gap_pp
a015_b010	-0.32800000000000296	-0.29350000000000165	False	95.262	-0.32800000000000296	91.411	-0.25900000000000034
a025_b010_clip4	-0.4549999999999983	-0.29700000000000415	False	95.451	-0.13900000000001	91.215	-0.4549999999999983
a025_b000	-0.4690000000000083	-0.33550000000000324	False	95.121	-0.4690000000000083	91.468	-0.20199999999999818
a045_b000	-0.5409999999999968	-0.5349999999999966	False	95.049	-0.5409999999999968	91.141	-0.5289999999999964
a015_b000	-0.7399999999999949	-0.6364999999999981	False	95.057	-0.5330000000000013	90.93	-0.7399999999999949
a055_b000	-0.7439999999999998	-0.6859999999999999	False	94.962	-0.6280000000000001	90.926	-0.7439999999999998
a055_b010	-0.7680000000000007	-0.5140000000000029	False	95.33	-0.2600000000000051	90.902	-0.7680000000000007
a025_b025	-0.9030000000000058	-0.7575000000000074	False	94.978	-0.612000000000009	90.767	-0.9030000000000058
a045_b010_clip4	-0.9500000000000028	-0.43650000000000233	False	95.667	0.07699999999999818	90.72	-0.9500000000000028
a045_b010	-1.0829999999999984	-0.6715000000000018	False	95.33	-0.2600000000000051	90.587	-1.0829999999999984
a025_b010	-1.132000000000005	-0.7785000000000011	False	95.165	-0.42499999999999716	90.538	-1.132000000000005
a045_b025	-1.1680000000000064	-0.8630000000000067	False	95.032	-0.5580000000000069	90.502	-1.1680000000000064
