checkpoint	score_field	groups	top1_accuracy	type_accuracy	within_best_type_top1_accuracy	mean_within_best_type_regret_pp	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	mean_same_type_pairwise_accuracy	selected_control0	selected_control1	selected_observe
round8_incumbent	typed_marginal_pred	30	0.13333333333333333	0.8333333333333334	0.23333333333333334	0.06743333333333434	0.048033333333333074	0.1508000000000002	0.0	0.6835610074417814	0.8116306078678281	0.5530555555555555	0	0	30
horizon_only	typed_marginal_pred	30	0.13333333333333333	0.8333333333333334	0.23333333333333334	0.06743333333333434	0.048033333333333074	0.1508000000000002	0.0	0.685639705989989	0.8129126591498793	0.5530555555555555	0	0	30
horizon_joint	typed_marginal_pred	30	0.23333333333333334	0.8666666666666667	0.3	0.06453333333333422	0.07029999999999981	0.12853333333333347	0.0	0.70766854584291	0.824844157270283	0.5505555555555556	0	1	29
