variant	min_gap_pp	macro_gap_pp	all_beat	b22_final_tc_pct	b22_gap_pp	b17_final_tc_pct	b17_gap_pp
reencode8	-2.875	-2.485500000000002	False	93.494	-2.0960000000000036	88.795	-2.875
reencode16	-3.8880000000000052	-2.9605000000000032	False	93.557	-2.0330000000000013	87.782	-3.8880000000000052
reencode32	-5.147999999999996	-3.737499999999997	False	93.263	-2.326999999999998	86.522	-5.147999999999996
reencode64	-5.152000000000001	-3.619500000000002	False	93.503	-2.0870000000000033	86.518	-5.152000000000001
