timestamp	variant_id	status	planner	beam_objective	score_field	beam_width	lookahead_depth	max_candidates	discount_gamma	candidate_strategy	candidate_diversity_penalty	candidate_diversity_depth	candidate_sample_seed	patterns	seed	benchmark_count	macro_mean_delta_tc	min_delta_tc	router_delta_tc	positive_count	negative_count	safe	elapsed_sec
2026-06-27T10:02:22	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	ok	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	10000	2026	1	0.01772000000000007	0.01772000000000007	NA	1	0	False	14.363
2026-06-27T10:02:34	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p02__s0	ok	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_recall_union	0.02	4	0	10000	2026	1	0.01772000000000007	0.01772000000000007	NA	1	0	False	12.401
2026-06-27T10:02:46	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p0__s0	ok	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_ranked	0.0	4	0	10000	2026	1	0.024939999999999962	0.024939999999999962	NA	1	0	False	11.624
2026-06-27T10:02:57	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p02__s0	ok	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_ranked	0.02	4	0	10000	2026	1	0.024939999999999962	0.024939999999999962	NA	1	0	False	11.584
2026-06-27T10:03:10	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p0__s0	ok	beam	cumulative	hybrid_pred	4	3	256	1.0	recall_pool	0.0	4	0	10000	2026	1	0.019519999999999982	0.019519999999999982	NA	1	0	False	12.455
2026-06-27T10:03:23	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p02__s0	ok	beam	cumulative	hybrid_pred	4	3	256	1.0	recall_pool	0.02	4	0	10000	2026	1	0.019519999999999982	0.019519999999999982	NA	1	0	False	12.652
2026-06-27T10:03:35	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	ok	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	10000	2026	1	0.05020999999999998	0.05020999999999998	NA	1	0	False	12.903
2026-06-27T10:03:48	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p02__s0	ok	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.02	4	0	10000	2026	1	0.05020999999999998	0.05020999999999998	NA	1	0	False	12.833
2026-06-27T10:04:01	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p0__s0	ok	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_ranked	0.0	4	0	10000	2026	1	0.05020999999999998	0.05020999999999998	NA	1	0	False	12.374
2026-06-27T10:04:14	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p02__s0	ok	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_ranked	0.02	4	0	10000	2026	1	0.05020999999999998	0.05020999999999998	NA	1	0	False	13.205
2026-06-27T10:04:27	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p0__s0	ok	beam	cumulative	reward_pred	4	3	256	1.0	recall_pool	0.0	4	0	10000	2026	1	0.05020999999999998	0.05020999999999998	NA	1	0	False	13.264
2026-06-27T10:04:40	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p02__s0	ok	beam	cumulative	reward_pred	4	3	256	1.0	recall_pool	0.02	4	0	10000	2026	1	0.05020999999999998	0.05020999999999998	NA	1	0	False	12.35
