timestamp	variant_id	status	planner	beam_objective	score_field	beam_width	lookahead_depth	max_candidates	k_recall	k_model	k_plan	discount_gamma	candidate_strategy	candidate_diversity_penalty	candidate_diversity_depth	candidate_sample_seed	patterns	seed	benchmark_count	macro_mean_delta_tc	min_delta_tc	router_delta_tc	positive_count	negative_count	safe	prior_setup_elapsed_sec	plan_elapsed_sec	eval_elapsed_sec	elapsed_sec
2026-07-20T14:34:22	greedy__cumulative__typed_marginal_pred__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0	ok	greedy	cumulative	typed_marginal_pred	1	1	48				1.0	hard_fault_cluster	0.0	4	0	300000	2026	1	0.10433999999999999	0.10433999999999999	NA	1	0	False	0.0	161.122	7.197	168.331
2026-07-20T14:37:23	greedy__cumulative__typed_return_pred__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0	ok	greedy	cumulative	typed_return_pred	1	1	48				1.0	hard_fault_cluster	0.0	4	0	300000	2026	1	0.10596000000000005	0.10596000000000005	NA	1	0	False	0.0	173.211	7.667	180.898
2026-07-20T14:40:27	greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0	ok	greedy	cumulative	q_pred_context	1	1	48				1.0	hard_fault_cluster	0.0	4	0	300000	2026	1	0.13414000000000004	0.13414000000000004	NA	1	0	False	0.0	176.568	7.031	183.616
