epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_typed_marginal_loss,train_typed_return_loss,train_typed_sa_reduction_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_same_type_rank_loss,train_oracle_aux_rank_loss,train_oracle_aux_same_type_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_ndcg_loss,train_oracle_conservative_loss,train_oracle_context_loss,train_oracle_sa_value_loss,train_oracle_pairs,train_oracle_same_type_pairs,train_oracle_aux_pairs,train_oracle_aux_same_type_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_typed_marginal_loss,val_typed_return_loss,val_typed_sa_reduction_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.0,0.37062976156410415,0.12262272677923504,0.009324776670454364,0.09479624660391557,0.0,0.2775133793291293,1.0,0.04388603783751789,0.010281479657446892,1.1717661556813441,1.1717661556813441,0.0,1.960523331481418,0.8935792713769173,1.4687500578553514,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.2796230107545853,0.13560949862003327,0.009922243002802134,0.10560296177864074,0.0,0.2994108468294144,1.0,0.05471344776451588,0.009900313483922219,0.10726581676863134,0.10726581676863134,0.0,1.4711267171376676,0.3718410104585928,1.1662315130233765,0.0,1.0,1.0,5.0
2,2,0.0,0.4165715026228051,0.12352664160885309,0.009096572972147873,0.09738234861900932,0.0,0.2825079270099339,1.0,0.04494073575264529,0.04208700604670555,1.4127241239035164,1.4127241239035164,0.0,3.747503029590007,1.0342981482304152,2.247638863548146,0.0,1.0,2.0,0.23486045473500303,0.0,0.0,0.4974064779909034,0.5802297341196161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.57894736842104,124.89473684210526,7.473684210526316,0.3333333333333332,19.0,19.0,0.0,0.3255484655499458,0.13622335195541382,0.009976768726482987,0.10629241615533828,0.0,0.30156837552785876,1.0,0.047694788128137586,0.00820753604575657,0.06185698956651322,0.06185698956651322,0.0,3.086656746827066,0.5308316238260886,1.8780387401580811,0.0,1.0,2.0,5.0
3,4,0.0,0.4668374836052719,0.12357435453879206,0.008940829154054978,0.10172083238629918,0.0,0.2879543953428143,1.0,0.04585999983215803,0.05233470038037443,1.5322224867473109,1.5322224867473109,0.0,6.923253081814114,1.157966909137222,4.974245797763759,0.0,1.0,4.0,0.44034509596071747,0.0,0.0,0.48617391680416305,0.5389741455253801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.5263157894737,125.0,7.368421052631579,0.6666666666666664,19.0,19.0,0.0,0.41645047441124916,0.13623646199703215,0.010176345123909414,0.1054959673434496,0.0,0.30061923936009405,1.0,0.04397028665989637,0.011411093401375184,0.28826087820034446,0.28826087820034446,0.0,6.55502105280757,0.7174780562720116,4.685069912532344,0.0,1.0,4.0,5.0
4,8,0.0,0.5269626496653808,0.1252473854508839,0.00882953864914414,0.10819464899893654,0.0,0.2961568030479707,1.0,0.04516103659070244,0.040170983211166196,1.4093141980189927,1.4093141980189927,0.0,11.280087255407794,1.1064147890120293,9.260220471830651,0.0,1.0,8.0,0.6945608305303674,0.0,0.0,0.5055090628172222,0.5681835679631484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.05263157894734,108.21052631578948,7.473684210526316,1.0,19.0,19.0,0.0,0.5149277802556753,0.1371234158053994,0.010204558970872312,0.10752151254564524,0.0,0.2988680135458708,1.0,0.04019032472278923,0.03493442050532849,0.7857884791214019,0.7857884791214019,0.0,13.03731828883756,1.1556999364644072,11.359595612950216,0.0,1.0,8.0,5.0
5,16,0.0,0.5907168593747836,0.12902048114981307,0.009034157664772417,0.11783746810090777,0.0,0.30254223320241036,1.0,0.04475028794503918,0.035963006557435465,1.4390752426039086,1.4390752426039086,0.0,15.298520934157798,1.097793813273944,13.689648638424208,0.0,1.0,16.0,0.6903132764916671,0.0,0.0,0.5102577946688,0.562748825863788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.5263157894737,126.0,7.631578947368421,1.0,19.0,19.0,0.0,0.604012012667954,0.14066230710595845,0.010179813782451674,0.11167235961183905,0.0,0.3019386861473322,1.0,0.03812384491320699,0.021362760733370578,1.0043671066683146,1.0043671066683146,0.0,24.383163466729457,1.6374425694840853,23.591799003159394,0.0,1.0,16.0,5.0
6,32,0.0,0.6734910579888445,0.13545480163424814,0.009078012273867467,0.14572291412562327,0.0,0.3141175516096777,1.0,0.04555809778455449,0.024039676009868016,1.841783748717573,1.841783748717573,0.0,28.39141177754824,1.590969613814876,27.744093871223892,0.0,1.0,32.0,0.7130603021696994,0.0,0.0,0.504943944121662,0.5868243190803026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.05263157894734,130.47368421052633,7.7368421052631575,1.0,19.0,19.0,0.0,0.6853028376586735,0.147376168332994,0.010465108236530796,0.12440136536024511,0.0,0.3036450228653848,1.0,0.03838261009659618,0.01930219526873316,1.6189790321876671,1.6189790321876671,0.0,43.67773521519266,2.360412243781295,43.61498996481532,0.0,1.0,32.0,5.0
7,32,0.0,0.67611644311661,0.1350150305018025,0.009365538096110532,0.1426951924988412,0.0,0.31315100075382934,1.0,0.04492066011727346,0.024100542149619816,1.9495628306189527,1.9495628306189527,0.0,28.393194136212394,1.607561095561296,27.729760561278333,0.0,1.0,32.0,0.7204611677872507,0.0,0.0,0.5342841038578435,0.5868901437834689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.10526315789474,130.1578947368421,7.473684210526316,1.0,19.0,19.0,0.0,0.6853028391487896,0.14737616861239075,0.010465108323842287,0.12440136163495481,0.0,0.3036450196057558,1.0,0.03838260915363208,0.01930219509350195,1.618979060202605,1.618979060202605,0.0,43.67773521668278,2.3604122607442948,43.613901221414565,0.0,1.0,32.0,5.0
8,32,0.0,0.6783506552394676,0.13593234131602863,0.009312591722271847,0.1446093939134459,0.0,0.3150653574419649,1.0,0.04462508231058324,0.02378347332383961,1.8158297127469878,1.8158297127469878,0.0,28.397290110208868,1.6010098436535243,27.69677650039251,0.0,1.0,32.0,0.7110396153048465,0.0,0.0,0.49915717463744314,0.5862503239983007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.2631578947368,123.57894736842105,7.2105263157894735,1.0,19.0,19.0,0.0,0.6853028452955187,0.14737616861239075,0.010465108341304586,0.12440136363729834,0.0,0.3036450224928558,1.0,0.03838260907214135,0.019302195159610847,1.618979030969649,1.618979030969649,0.0,43.67773521817289,2.360412245923982,43.612440198473635,0.0,1.0,32.0,5.0
