rank,combo,label,best_hard_f1,best_epoch,n_runs,best_source,best_checkpoint
1,lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.796281,4,7,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2030__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
2,lh0p5__lhc0p12__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.794939,2,7,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2030__lh0p5__lhc0p12__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2030__lh0p5__lhc0p12__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
3,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.789472,4,8,autoresearch/predictive-260626-102849/runs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-102849/runs/seed2027__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
4,lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.578821,3,2,autoresearch/predictive-260625-154634/runs/lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260625-154634/runs/lh0p5__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
5,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlfocal__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=focal, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.558063,-1,1,autoresearch/core-component-ablation-260626-run-loss-focal/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlfocal__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-loss-focal/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlfocal__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt
6,lh0p5__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.482242,2,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
7,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.473414,3,2,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
8,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.02, asl_gn=3.0, asl_clip=0.02, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.455433,4,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p0__encmean__sumglobal__hlasl__agn3p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
9,lh0p55__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.12, lh=0.55, lhr=0.5",0.449580,-1,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt
10,lh0p55__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.15, lh=0.55, lhr=0.5",0.449507,3,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p55__lhc0p15__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
