step,node,type,q_pred,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,bounded_residual_hybrid_pred,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N21039,observe,-0.47641587257385254,-0.47641587257385254,0.26671266555786133,0.0026671266555786132,-0.4566951394081116,-0.3821834623813629,-0.3821834623813629,0.03630950301885605,-0.01962585374712944,0.000655103474855423,101738.71875,32927.125,68811.59375,105690.8125,37593.40234375,68097.40625,-0.038845524191856384,-0.14171530306339264,0.010378883220255375,-3.8845524191856384,3.5154795050621033,3.6020826026797295,0.26671266555786133,0.26671266555786133,0.26671266555786133,greedy,0.26671266555786133,0.0,heuristic_recall_pool
2,N21048,observe,-0.4970007538795471,-0.4970007538795471,0.2227960228919983,0.002227960228919983,-0.3924107551574707,-0.3878976106643677,-0.3878976106643677,0.033418506383895874,-0.02361128106713295,-0.0023010633885860443,105690.546875,37593.2734375,68097.2734375,104992.9296875,36984.7265625,68008.203125,0.006600563880056143,0.016187652945518494,0.001307986443862319,0.6600563880056143,3.176749050617218,3.300575241446495,0.2227960228919983,0.4895086884498596,0.4895086884498596,greedy,0.2227960228919983,0.0,heuristic_recall_pool
3,N21937,observe,-0.5465099811553955,-0.5465099811553955,0.22506321966648102,0.00225063219666481,-0.4040173292160034,-0.47189608216285706,-0.47189608216285706,0.036459267139434814,-0.011615660041570663,0.0006351582705974579,104992.421875,36984.296875,68008.125,103968.6640625,35949.203125,68019.4609375,0.00975077785551548,0.027987385168671608,-0.00016668504395056516,0.975077785551548,3.3990938514471054,3.5842184983193874,0.22506321966648102,0.7145719081163406,0.7145719081163406,greedy,0.22506321966648102,0.0,heuristic_recall_pool
4,__buf_split_184,control1,-0.45063698291778564,-0.45063698291778564,0.3165745139122009,0.0031657451391220092,-0.4202706217765808,-0.32817843556404114,-0.32817843556404114,0.030366800725460052,-0.029255952686071396,-0.00529320165514946,103967.453125,35946.86328125,68020.59375,104855.5234375,37175.1953125,67680.328125,-0.00854181032627821,-0.03417076915502548,0.005002391058951616,-0.854181032627821,3.025076150894165,3.033779092133045,0.3165745139122009,1.0311464220285416,1.0311464220285416,greedy,0.3165745139122009,0.0,heuristic_recall_pool
5,N8840,observe,-0.44400155544281006,-0.44400155544281006,0.34541523456573486,0.0034541523456573485,-0.43124306201934814,-0.3384822905063629,-0.3384822905063629,0.033343225717544556,-0.026789560914039612,-0.005139287561178207,104856.21875,37175.7734375,67680.4453125,104314.859375,36648.15234375,67666.7109375,0.005162873305380344,0.014192605391144753,0.00020292973204050213,0.5162873305380344,3.3412555158138275,3.3360558077692986,0.34541523456573486,1.3765616565942764,1.3765616565942764,greedy,0.34541523456573486,0.0,heuristic_recall_pool
6,__buf_split_217,control1,-0.4305657744407654,-0.4305657744407654,0.35018208622932434,0.0035018208622932434,-0.3995469808578491,-0.30631569027900696,-0.30631569027900696,0.028608329594135284,-0.03439788520336151,-0.010204069316387177,104314.09375,36647.53125,67666.5625,104539.9296875,36981.0546875,67558.875,-0.002164960838854313,-0.009100843220949173,0.0015914433170109987,-0.2164960838854313,2.904699355363846,2.871799558401108,0.35018208622932434,1.7267437428236008,1.7267437428236008,greedy,0.35018208622932434,0.0,heuristic_recall_pool
7,N22605,observe,-0.43020832538604736,-0.43020832538604736,0.3590414524078369,0.0035904145240783693,-0.4229547381401062,-0.3319970369338989,-0.3319970369338989,0.03331533074378967,-0.028729047626256943,-0.007904306054115295,104539.8984375,36981.0859375,67558.8125,103771.6484375,36197.890625,67573.7578125,0.0073488689959049225,0.021178267896175385,-0.00022121929214335978,0.7348868995904922,3.3585774898529053,3.338294178247452,0.3590414524078369,2.0857851952314377,2.0857851952314377,greedy,0.3590414524078369,0.0,heuristic_recall_pool
8,N8667,observe,-0.4346250891685486,-0.4346250891685486,0.38679254055023193,0.003867925405502319,-0.3670215606689453,-0.34580498933792114,-0.34580498933792114,0.03430504351854324,-0.02852490544319153,-0.010528549551963806,103772.140625,36198.4296875,67573.7109375,103225.109375,35635.8671875,67589.2421875,0.005271465517580509,0.0155410747975111,-0.00022984160750638694,0.5271465517580509,3.471491903066635,3.440751239657402,0.38679254055023193,2.4725777357816696,2.4725777357816696,greedy,0.38679254055023193,0.0,heuristic_recall_pool
9,N8687,observe,-0.4340076446533203,-0.4340076446533203,0.4188390076160431,0.0041883900761604306,-0.3764805197715759,-0.35249295830726624,-0.35249295830726624,0.03652594983577728,-0.025623127818107605,-0.009321462363004684,103224.625,35635.453125,67589.171875,103021.453125,35465.8671875,67555.5859375,0.0019682501442730427,0.004758910741657019,0.0004969129804521799,0.19682501442730427,3.718941032886505,3.6691814959049225,0.4188390076160431,2.8914167433977127,2.8914167433977127,greedy,0.4188390076160431,0.0,heuristic_recall_pool
10,N8677,observe,-0.43746769428253174,-0.43746769428253174,0.4061640501022339,0.004061640501022339,-0.38553404808044434,-0.3583241105079651,-0.3583241105079651,0.03826064616441727,-0.023510869592428207,-0.008516617119312286,103021.59375,35465.92578125,67555.671875,102727.421875,35169.0859375,67558.3359375,0.0028554389718919992,0.008369719609618187,-3.9435068174498156e-05,0.2855438971891999,3.8739045560359955,3.838024601340294,0.4061640501022339,3.2975807934999466,3.2975807934999466,greedy,0.4061640501022339,0.0,heuristic_recall_pool
