checkpoint	score_field	groups	top1_accuracy	type_accuracy	within_best_type_top1_accuracy	mean_within_best_type_regret_pp	mean_selected_delta_tc_pp	mean_top1_regret_pp	negative_top1_rate	mean_spearman	mean_pairwise_accuracy	mean_same_type_pairwise_accuracy	selected_control0	selected_control1	selected_observe
r21	typed_return_pred	15	0.13333333333333333	0.5333333333333333	0.13333333333333333	0.03593333333333263	-0.005733333333333146	0.027333333333332543	0.4666666666666667	0.31901566457670893	0.6618013999445344	0.5211311650166139	4	3	8
r23	typed_return_pred	15	0.2	0.6	0.2	0.03593333333333263	-0.0035999999999998997	0.025199999999999296	0.4666666666666667	0.30736248982466713	0.662779840170808	0.5359663298517787	3	4	8
