step,node,type,q_pred,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,reward_pred,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy,adaptive_confidence_gap,adaptive_expanded
1,N677,control1,1.1168162822723389,4.858064773529769,3.3065748214721675,0.639273903220892,3.1577421027943497,1.1168162822723389,0.34677982330322266,4.655100124329328,3.5404456019401547,0.0034677982330322266,0.2820698022842407,0.03364104777574539,0.03364104777574539,1.259550520926714,0.06386370956897736,0.15087546408176422,0.038793694227933884,29566.794921875,11983.158203125,17583.63671875,30258.921875,12858.3427734375,17400.578125,-0.023408927023410797,-0.07303454726934433,0.010410735383629799,-2.3408927023410797,6.766791827976704,3.7994945481419564,6.481476174667478,3.6933181241154673,4.387020833045244,3.1473844872787597,4.858064773529769,4.858064773529769,4.858064773529769,greedy,4.858064773529769,0.0,hard_fault_cluster,0.029465095194923116,False
2,N2155,observe,1.457592248916626,3.2530965894460677,2.0179089665412904,0.6932365149259567,2.114512783139944,1.457592248916626,0.4267202615737915,3.311336115002632,2.4864104151725765,0.004267202615737915,0.32851269841194153,0.025838786736130714,0.025838786736130714,1.6042756289243698,0.06906921416521072,0.15618106722831726,0.04652923345565796,30261.64453125,12861.6591796875,17399.984375,30654.4296875,13195.8447265625,17458.5859375,-0.012979636900126934,-0.025983082130551338,-0.0033679089974611998,-1.2979636900126934,7.359480464830995,3.146026192903519,7.020061178598553,3.2567780363559726,2.7994702607393265,2.269561876952648,3.2530965894460677,8.111161362975837,8.111161362975837,greedy,3.2530965894460677,0.0,hard_fault_cluster,0.4548417132216014,False
3,N502,control1,1.1366417407989502,2.1921067869663236,2.1148003101348873,0.1411621344089508,1.4248694115281104,1.1366417407989502,0.37319517135620117,1.754641768336296,2.0494791030883786,0.003731951713562012,0.3409149944782257,0.01918899454176426,0.01918899454176426,-1.7808255773782733,0.05883442610502243,0.14034509658813477,0.036193232983350754,30649.359375,13188.9736328125,17460.38671875,30661.03125,13167.8369140625,17493.1953125,-0.00038081954699009657,0.001602605334483087,-0.0018790301401168108,-0.03808195469900966,6.2758267764002085,2.8671430099010466,5.981538651976734,2.8663930642604827,2.405900165438652,2.300244202259928,2.1921067869663236,10.303268149942161,10.303268149942161,greedy,2.1921067869663236,0.0,hard_fault_cluster,0.09076923076923085,False
4,N762,control1,0.911552369594574,1.4460939180850982,1.5994494915008544,0.06185806632041933,0.9399610467553139,0.911552369594574,0.3220241069793701,0.8939645677804946,1.1617317676544188,0.003220241069793701,0.3624856173992157,0.019666315987706184,0.019666315987706184,-0.8204972726106643,0.05198005586862564,0.13194745779037476,0.02993898093700409,30665.79296875,13173.8125,17491.98046875,30588.853515625,13107.171875,17481.681640625,0.0025089667178690434,0.005058567970991135,0.0005887742736376822,0.25089667178690434,5.53969600982964,1.1226565885543822,5.283428192604333,1.0556051182746886,1.3425390362739564,1.5400503179430962,1.4460939180850982,11.74936206802726,11.74936206802726,greedy,1.4460939180850982,0.0,hard_fault_cluster,0.06645722571290477,False
5,N4520,control0,0.8169311285018921,1.3370158073306087,2.6604500174522396,0.14682368129491807,0.8690602747648957,0.8169311285018921,0.3389355540275574,1.3081551164388656,1.8848846197128295,0.0033893555402755736,0.3799976408481598,0.020276503637433052,0.020276503637433052,-0.831001250743866,0.04973244294524193,0.13200323283672333,0.028174586594104767,30589.919921875,13108.400390625,17481.51953125,30520.22265625,13039.673828125,17480.548828125,0.002278439002111554,0.005242940504103899,5.55273873033002e-05,0.22784390021115541,5.332456352189183,1.4828131115436554,5.06304730894044,1.5780346429347993,1.4573346495628356,2.7069211226701735,1.3370158073306087,13.086377875357869,13.086377875357869,greedy,1.3370158073306087,0.0,hard_fault_cluster,0.007327924627060986,True
6,N3644,control0,0.8001174330711365,1.3010602554678916,2.807088220119476,0.003966164290905003,0.8456891660541296,0.8001174330711365,0.3240145444869995,0.8039540901780128,2.3537046790122984,0.0032401454448699953,0.39519965648651123,0.02010694332420826,0.02010694332420826,-1.2525167551636696,0.046616606414318085,0.13047462701797485,0.02562522515654564,30520.146484375,13039.630859375,17480.515625,30285.859375,12877.0966796875,17408.76171875,0.007676473818719387,0.012464630417525768,0.0041047935374081135,0.7676473818719387,5.005782129243016,0.641467668414116,4.74769101338461,0.6119422870874405,1.269426590204239,2.634208536669612,1.3010602554678916,14.38743813082576,14.38743813082576,greedy,1.3010602554678916,0.0,hard_fault_cluster,0.1747337850919651,False
7,N557,control1,0.7367907762527466,0.9169601403921842,0.9298039197921752,0.02791689239442349,0.5960240912549197,0.7367907762527466,0.25748974084854126,0.4586122497916222,0.41432017982006075,0.0025748974084854126,0.4026477634906769,0.021791206672787666,0.021791206672787666,-0.398333870023489,0.04442676901817322,0.12796176970005035,0.023818299174308777,30290.2265625,12877.759765625,17412.466796875,30233.875,12820.6650390625,17413.2109375,0.0018603876233100891,0.0044335913844406605,-4.2736082832561806e-05,0.1860387623310089,4.721957849338651,0.5354734343290329,4.512497138697654,0.5728927445411682,0.7752475395798683,0.7541549903154372,0.9169601403921842,15.304398271217945,15.304398271217945,greedy,0.9169601403921842,0.0,hard_fault_cluster,0.01077752117013088,False
8,N3742,control0,0.5423122048377991,1.0685061596147716,2.405829578638077,0.18427971905097365,0.6945290037496016,0.5423122048377991,0.26001107692718506,1.016426251269877,2.429737877845764,0.0026001107692718507,0.41300609707832336,0.023109080269932747,0.023109080269932747,0.15319372653961177,0.04272231459617615,0.1301390826702118,0.022486671805381775,30229.05078125,12819.943359375,17409.107421875,30208.65234375,12794.7880859375,17413.86328125,0.00067479582503438,0.0019621984101831913,-0.00027318226057104766,0.067479582503438,4.5553516168147326,0.947530682682991,4.343011498916894,0.9486542063951492,0.9881086573004723,2.5366448272019624,1.0685061596147716,16.372904430832715,16.372904430832715,greedy,1.0685061596147716,0.0,hard_fault_cluster,0.021184139054861443,False
9,N564,control1,0.5048845410346985,1.2799932161718608,1.077061754465103,0.0988656134158373,0.8319955905117096,0.5048845410346985,0.22915087640285492,0.8238757029175758,0.6502402544021606,0.002291508764028549,0.41802337765693665,0.02314513362944126,0.02314513362944126,-0.22621163204312328,0.04068237915635109,0.12773723900318146,0.021078232675790787,30204.75,12790.2822265625,17414.46875,30094.90625,12736.75390625,17358.15234375,0.003636638168245554,0.004185077268630266,0.0032338860910385847,0.3636638168245554,4.320533925667405,0.6608499222248793,4.131311918143183,0.6415845089405775,1.0365661472082137,0.8969145838171243,1.2799932161718608,17.652897647004576,17.652897647004576,greedy,1.2799932161718608,0.0,hard_fault_cluster,0.021667451719265207,False
10,N508,control1,0.4532124698162079,1.2855562612414362,1.0504767179489134,0.12415714114904403,0.8356115698069335,0.4532124698162079,0.2186543494462967,1.009347841143608,0.8495184779167175,0.002186543494462967,0.42121192812919617,0.02280987985432148,0.02280987985432148,-0.22039900660514833,0.039470843970775604,0.12485413253307343,0.020040001720190048,30101.6328125,12737.2802734375,17364.3515625,30070.5625,12730.7685546875,17339.79296875,0.0010321802692487836,0.0005112330545671284,0.001414311002008617,0.10321802692487836,4.188548626378179,0.7812923401594163,4.007450454402715,0.7698245018720627,1.1453202471137045,0.969866034761071,1.2855562612414362,18.93845390824601,18.93845390824601,greedy,1.2855562612414362,0.0,hard_fault_cluster,0.07016574585635359,False
