epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_steps
1,1,0.6417575368881225,0.11110406079888344,0.015110457859002054,0.00012901379361574073,0.977967410184443,0.22127392165362836,0.25519976810738443,0.8906933113336563,0.026982497709803283,0.02712744613796531,1.3482854543041904,1.3482854543041904,0.0,0.02350628855990976,1.0,500.0,0.2926189208519645,0.0775780281110201,0.005944629619989428,5.3780081458398854e-05,0.34392444643890485,0.1890369005704997,0.06885450864501763,0.7832050998695195,0.018914507065346697,0.04506934133326013,4.270879248705853,4.270879248705853,0.0,0.10464011752628721,1.0,256.0
2,1,0.48984558576345444,0.09156776517629624,0.006874673881568014,6.633962889463873e-05,0.7308405181467533,0.1954045806278009,0.09068083761446177,0.8312512811422348,0.016584105339832605,0.02223377315288235,1.4479474799778964,1.4479474799778964,0.0,0.047151164150564,1.0,500.0,0.22447097476106137,0.05551117949653417,0.0027973495207334054,3.136991223584573e-05,0.2630825414962601,0.1513766202988336,0.028846224297012668,0.6887062375899404,0.015328685873100767,0.041406893449448035,4.127591858166852,4.127591858166852,0.0,0.0919048286305042,1.0,256.0
3,1,0.4211211739033461,0.0912467459961772,0.005883512260392308,4.614578534528846e-05,0.5944445095546543,0.16084051743673627,0.052595443160273134,0.7917323340177536,0.013242641722783447,0.025075325753528888,1.3574181852629832,1.3574181852629832,0.0,0.03845364628090465,1.0,500.0,0.25277985824504867,0.055895864352351055,0.002958411539111694,2.3168010443441744e-05,0.3227835004508961,0.18261112642721855,0.02061586020863615,0.6251051682047546,0.016326120183293824,0.03974274211577722,4.334903647384635,4.334903647384635,0.0,0.07619661693752278,1.0,256.0
4,1,0.36556890124082564,0.08992933107167482,0.005386883639730513,2.644501555732859e-05,0.486807398323901,0.14563024601570215,0.04183443827927113,0.7419160250425338,0.011620984532870353,0.02706815615297819,1.432754752964429,1.432754752964429,0.0,0.03876339611151161,1.0,500.0,0.3753563016653061,0.05034530609555077,0.0017109841919591418,8.373559071017667e-06,0.5824943443876691,0.3011776636267314,0.02023750614716846,0.5722489226609468,0.020032724114571465,0.038915137467483873,4.245728990088537,4.245728990088537,0.0,0.018699699181979668,1.0,256.0
