variant	lambda_scoap	lambda_delta_scoap	hard_macro_f1_tuned	scoap_mae	scoap_acc_at_005	delta_scoap_mae	delta_scoap_acc_at_001	hard_reduction_score	expanded_hybrid_spearman	expanded_hybrid_negative_top1	expanded_hybrid_top1_real_delta_tc	expanded_hybrid_top1_regret	transfer_hybrid_spearman	transfer_hybrid_negative_top1	transfer_hybrid_top1_real_delta_tc	transfer_hybrid_top1_regret	decision
A_base	0.5	0.3	0.810817	0.059089	0.555089	0.005066	0.873118	0.830606	-0.040485	0.562500	-0.003676	0.030143	-0.084822	0.500000	0.001800	0.021390	keep_as_reference
A_only_scoap	0.5	0.0	0.811870	0.056825	0.543368	0.171434	0.029255	0.817459	0.078398	0.270833	0.004881	0.021587	-0.012033	0.500000	-0.004248	0.027438	mixed_do_not_promote
A_only_delta_scoap	0.0	0.3	0.820835	0.428721	0.051389	0.003647	0.988229	0.827909	-0.104651	0.541667	-0.002532	0.028999	-0.002604	0.500000	0.001368	0.021822	mixed_do_not_promote
