checkpoint_name	score_field	groups	mean_spearman	mean_kendall_tau	mean_pearson	mean_top1_real_delta_tc	mean_top1_regret	negative_top1_rate	mean_sign_accuracy	mean_calibration_slope	mean_calibration_intercept	verdict_vs_baseline
bounded_best	bounded_residual_hybrid_pred	6	0.3243305182097412	0.2899306494886421	0.2475971983357854	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.004192034598519828	0.025694660978219333	INCONCLUSIVE
bounded_best	hard_reduction_total_pred	6	0.3244427102285325	0.2911661969881704	0.2477195136191581	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.41737731703434994	0.025359422962108535	INCONCLUSIVE
bounded_best	hybrid_pred	6	0.32739827342251004	0.2946054748463409	0.24872425030946518	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.0040165360029473735	0.022486758295929454	INCONCLUSIVE
bounded_final	bounded_residual_hybrid_pred	6	0.3237696980372834	0.2895166918387763	0.24745737816462146	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.004212692483169399	0.026074313459538864	INCONCLUSIVE
bounded_final	hard_reduction_total_pred	6	0.3244427102285325	0.2911661969881704	0.2477195136191581	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.41737731703434994	0.025359422962108535	INCONCLUSIVE
bounded_final	hybrid_pred	6	0.32739827342251004	0.2946054748463409	0.24872425030946518	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.0040165360029473735	0.022486758295929454	INCONCLUSIVE
expanded_best	bounded_residual_hybrid_pred	6	0.3281894746363166	0.2936338584835106	0.24811827144213164	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.20138888888888887	0.004384814122091547	0.024883830273966994	INCONCLUSIVE
expanded_best	hard_reduction_total_pred	6	0.3244427102285325	0.2911661969881704	0.2477195136191581	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.41737731703434994	0.025359422962108535	INCONCLUSIVE
expanded_best	hybrid_pred	6	0.3314465538681998	0.2971510965297277	0.24952099630508026	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.005167086080949713	0.02310986141307406	INCONCLUSIVE
incumbent	bounded_residual_hybrid_pred	6	0.32483519949881423	0.2921239250181256	0.24798503275462389	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.004133503341018442	0.02462137386088044	INCONCLUSIVE
incumbent	hard_reduction_total_pred	6	0.3244427102285325	0.2911661969881704	0.2477195136191581	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.41737731703434994	0.025359422962108535	INCONCLUSIVE
incumbent	hybrid_pred	6	0.32739827342251004	0.2946054748463409	0.24872425030946518	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666	0.0040165360029473735	0.022486758295929454	INCONCLUSIVE
