dataset	score_field	groups	mean_spearman	mean_kendall	mean_top1_delta	mean_top1_regret	negative_top1_rate	mean_sign_accuracy
small_subckt	hard_reduction_total_pred	12	0.07482913893741368	0.08349829075037359	0.03694249999999999	0.08152916666666664	0.08333333333333333	0.9305555555555555
small_subckt	reward_pred	12	0.058118526997422704	0.03702908305753964	0.049431666666666645	0.06903999999999999	0.08333333333333333	0.9305555555555555
small_subckt	hybrid_pred	12	0.04852427255973198	0.05718532925627332	0.03694249999999999	0.08152916666666664	0.08333333333333333	0.9305555555555555
small_subckt	guarded_reward	12	-0.1096078307827618	-0.08859235022839995	0.025164999999999983	0.09330666666666665	0.0	0.9305555555555555
eval_big	hybrid_pred	6	0.32739827342251004	0.2946054748463409	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666
eval_big	hard_reduction_total_pred	6	0.3244427102285325	0.2911661969881704	0.010638333333333324	0.012551666666666702	0.16666666666666666	0.19791666666666666
eval_big	guarded_reward	6	0.3105349382671611	0.29795358320277426	0.0029666666666666544	0.02022333333333337	0.5	0.6597222222222222
eval_big	reward_pred	6	0.2947420051224239	0.28384760501635947	0.0029666666666666544	0.02022333333333337	0.5	0.6597222222222222
