line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
32,__tpi_not_test_en->__tpi_cp_40___aig_and_25987 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_40___aig_and_25987,__tpi_cp_40___aig_and_25987,1,undetected,__tpi_cp_40___aig_and_25987,__tpi_cp_40___aig_and_25987,__tpi_cp_40___aig_and_25987,sa1,1
33,__tpi_not_test_en->__tpi_cp_3___aig_and_33371 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_3___aig_and_33371,__tpi_cp_3___aig_and_33371,1,undetected,__tpi_cp_3___aig_and_33371,__tpi_cp_3___aig_and_33371,__tpi_cp_3___aig_and_33371,sa1,1
34,__tpi_not_test_en->__tpi_cp_0___aig_not_26533 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_0___aig_not_26533,__tpi_cp_0___aig_not_26533,1,undetected,__tpi_cp_0___aig_not_26533,__tpi_cp_0___aig_not_26533,__tpi_cp_0___aig_not_26533,sa1,1
35,__tpi_not_test_en->__tpi_cp_59___aig_and_43655 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_59___aig_and_43655,__tpi_cp_59___aig_and_43655,1,undetected,__tpi_cp_59___aig_and_43655,__tpi_cp_59___aig_and_43655,__tpi_cp_59___aig_and_43655,sa1,1
36,test_en->__tpi_cp_99___aig_and_43652 /0 undetected,input_edge,test_en,__tpi_cp_99___aig_and_43652,__tpi_cp_99___aig_and_43652,0,undetected,__tpi_cp_99___aig_and_43652,__tpi_cp_99___aig_and_43652,__tpi_cp_99___aig_and_43652,sa0,1
37,test_en->__tpi_cp_97___aig_and_43650 /0 undetected,input_edge,test_en,__tpi_cp_97___aig_and_43650,__tpi_cp_97___aig_and_43650,0,undetected,__tpi_cp_97___aig_and_43650,__tpi_cp_97___aig_and_43650,__tpi_cp_97___aig_and_43650,sa0,1
38,__tpi_not_test_en->__tpi_cp_12___aig_not_26588 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_12___aig_not_26588,__tpi_cp_12___aig_not_26588,1,undetected,__tpi_cp_12___aig_not_26588,__tpi_cp_12___aig_not_26588,__tpi_cp_12___aig_not_26588,sa1,1
39,test_en->__tpi_cp_26___aig_and_26586 /0 undetected,input_edge,test_en,__tpi_cp_26___aig_and_26586,__tpi_cp_26___aig_and_26586,0,undetected,__tpi_cp_26___aig_and_26586,__tpi_cp_26___aig_and_26586,__tpi_cp_26___aig_and_26586,sa0,1
40,__tpi_not_test_en->__tpi_cp_15___aig_and_26584 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_15___aig_and_26584,__tpi_cp_15___aig_and_26584,1,undetected,__tpi_cp_15___aig_and_26584,__tpi_cp_15___aig_and_26584,__tpi_cp_15___aig_and_26584,sa1,1
41,__tpi_not_test_en->__tpi_cp_60___aig_and_43648 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_60___aig_and_43648,__tpi_cp_60___aig_and_43648,1,undetected,__tpi_cp_60___aig_and_43648,__tpi_cp_60___aig_and_43648,__tpi_cp_60___aig_and_43648,sa1,1
