timestamp	variant_id	status	planner	beam_objective	score_field	beam_width	lookahead_depth	max_candidates	discount_gamma	candidate_strategy	candidate_diversity_penalty	candidate_diversity_depth	candidate_sample_seed	patterns	seed	benchmark_count	macro_mean_delta_tc	min_delta_tc	router_delta_tc	positive_count	negative_count	safe	elapsed_sec
2026-06-27T03:36:07	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	error	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	10000	2026	0	NA	NA	NA	0	0	False	13.568
2026-06-27T03:36:20	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p02__s0	error	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_recall_union	0.02	4	0	10000	2026	0	NA	NA	NA	0	0	False	12.631
2026-06-27T03:36:32	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p0__s0	error	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_ranked	0.0	4	0	10000	2026	0	NA	NA	NA	0	0	False	12.039
2026-06-27T03:36:44	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p02__s0	error	beam	cumulative	hybrid_pred	4	3	256	1.0	hard_fault_ranked	0.02	4	0	10000	2026	0	NA	NA	NA	0	0	False	11.791
2026-06-27T03:36:56	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p0__s0	error	beam	cumulative	hybrid_pred	4	3	256	1.0	recall_pool	0.0	4	0	10000	2026	0	NA	NA	NA	0	0	False	12.839
2026-06-27T03:37:09	beam__cumulative__hybrid_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p02__s0	error	beam	cumulative	hybrid_pred	4	3	256	1.0	recall_pool	0.02	4	0	10000	2026	0	NA	NA	NA	0	0	False	12.49
2026-06-27T03:37:23	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p0__s0	error	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.0	4	0	10000	2026	0	NA	NA	NA	0	0	False	13.684
2026-06-27T03:37:35	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_recall_union__div0p02__s0	error	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_recall_union	0.02	4	0	10000	2026	0	NA	NA	NA	0	0	False	12.642
2026-06-27T03:37:49	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p0__s0	error	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_ranked	0.0	4	0	10000	2026	0	NA	NA	NA	0	0	False	13.494
2026-06-27T03:38:01	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candhard_fault_ranked__div0p02__s0	error	beam	cumulative	reward_pred	4	3	256	1.0	hard_fault_ranked	0.02	4	0	10000	2026	0	NA	NA	NA	0	0	False	12.256
2026-06-27T03:38:14	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p0__s0	error	beam	cumulative	reward_pred	4	3	256	1.0	recall_pool	0.0	4	0	10000	2026	0	NA	NA	NA	0	0	False	13.017
2026-06-27T03:38:26	beam__cumulative__reward_pred__bw4__d3__c256__g1p0__candrecall_pool__div0p02__s0	error	beam	cumulative	reward_pred	4	3	256	1.0	recall_pool	0.02	4	0	10000	2026	0	NA	NA	NA	0	0	False	11.877
