variant	scheme	score_field	expanded_spearman	expanded_negative_top1	expanded_top1_real_delta	expanded_top1_regret	transfer_spearman	transfer_negative_top1	transfer_top1_real_delta	transfer_top1_regret	hard_macro_f1_tuned	hard_reduction_score	derived_hard_reduction_score	verdict	reasons
incumbent	baseline	hybrid_pred	0.07857912070069822	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.32650823843380644	0.16666666666666666	0.010638333333333324	0.012551666666666702	nan	nan	nan	BASELINE	
A_no_oracle	baseline	hard_reduction_total_pred	0.12915905980842163	0.35135135135135137	0.00375432432432433	0.02333675675675676	-0.011151972804783953	0.5	-0.0042549999999999715	0.027444999999999997	nan	nan	nan	BASELINE	
B_no_oracle	baseline	derived_hard_reduction_hybrid_pred	-0.005740796404223439	0.5945945945945946	-0.009809729729729719	0.03690081081081081	0.1347081173790344	0.3333333333333333	0.005811666666666678	0.017378333333333346	nan	nan	nan	BASELINE	
A_oracle_0p03	A	hard_reduction_total_pred	-0.0020354698236733464	0.4594594594594595	-0.010337567567567547	0.03742864864864864	0.09856928318410933	0.0	0.015928333333333322	0.007261666666666704	0.7614385425823704	0.8047360464697704	0.6011759324755985	REJECT	hard_f1_drop
B_oracle_0p03	B	derived_hard_reduction_hybrid_pred	0.33610045766731406	0.2972972972972973	0.006944864864864867	0.020146216216216224	0.07385207039150282	0.3333333333333333	0.0006983333333333194	0.022491666666666705	0.8052291951985822	0.11722331936471164	0.5074824537150562	REJECT	transfer_negative_top1_worse,transfer_regret_worse_than_slack
