metric_type	task	n	accuracy	balanced_accuracy	precision	recall	f1	positive_rate	pred_positive_rate
sign	hard_reduction_sa0_sign	4096	0.12939453125					0.055908203125	0.27880859375
sign	hard_reduction_sa1_sign	4096	0.2314453125					0.2607421875	0.57763671875
sign	hard_reduction_total_sign	4096	0.232177734375					0.249267578125	0.679931640625
sign	return_pred_sign	4096	0.78125					0.78125	1.0
sign	reward_pred_sign	4096	0.76513671875					0.78125	0.9765625
binary	hard_node_any	1991413	0.3598369599877072	0.5763842100973232	0.1979787600040536	0.9047248228707621	0.32486753713064637	0.17023992511849625	
binary	hard_node_sa0	1991413	0.9876494730123786	0.5019948928272492	0.06997455470737914	0.00473260766682442	0.008865605480556114	0.011671612066407119	
binary	hard_node_sa1	1991413	0.3643176980365198	0.594119246430537	0.19642993156529698	0.9354350846561497	0.3246808533339023	0.16335938351311355	
topk_recall	hard_node_top10_recall	4096	0.06696244181055745						
topk_recall	hard_node_top20_recall	4096	0.20550722001170305						
topk_recall	hard_node_top50_recall	4096	0.48069571409042067						
topk_recall	hard_node_top100_recall	4096	0.6951572996433715						
