checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	q_pred	score_pred	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	bounded_residual_hybrid_pred	derived_hard_reduction_total_pred	derived_hard_reduction_hybrid_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred	derived_hard_reduction_sa0_pred	derived_hard_reduction_sa1_pred	derived_hard_count_pre_total_pred	derived_hard_count_post_total_pred
incumbent	b15_C	initial	cached_hard_cone	1	__buf_split_1	control0	__buf_split_1::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control0	-0.056064095348119736	-0.056064095348119736	0.2648738622665405	0.0026487386226654052	0.2239551842212677	0.2239551842212677	-0.06434641778469086	-5.9458127319812775	-6.312434516847134	0.08932951092720032	8.932951092720032	0.3065981864929199	-0.12485502660274506	-0.016846856102347374	0.28189805150032043	0.0431177131831646	16170.095703125	14725.62890625
incumbent	b15_C	initial	cached_hard_cone	2	__buf_split_1	control1	__buf_split_1::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control1	-0.03567272424697876	-0.03567272424697876	0.2781575322151184	0.002781575322151184	0.2337772250175476	0.2337772250175476	-0.057385507971048355	-5.2266160398721695	-5.610567107796669	0.060677509754896164	6.067750975489616	0.3089321255683899	-0.12495674192905426	-0.015015671029686928	0.2396368533372879	0.01773158274590969	16170.095703125	15188.9345703125
incumbent	b15_C	initial	cached_hard_cone	3	__buf_split_1	observe	__buf_split_1::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__observe	-0.08383052051067352	-0.08383052051067352	0.24225474894046783	0.0024225474894046784	0.20539206266403198	0.20539206266403198	-0.06980307400226593	-6.532660588622093	-6.868395697325468	0.06364649534225464	6.364649534225464	0.30715036392211914	-0.12431548535823822	-0.019221028313040733	0.27637213468551636	0.012597473338246346	16170.095703125	15140.92578125
incumbent	b15_C	initial	cached_hard_cone	4	N16715	control0	N16715::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control0	-0.08097156882286072	-0.08097156882286072	0.24328024685382843	0.002432802468538284	0.21200108528137207	0.21200108528137207	-0.06944181025028229	-6.488899692893028	-6.830360691994429	0.08266454935073853	8.266454935073853	0.30527371168136597	-0.12313224375247955	-0.019473789259791374	0.2995040714740753	0.030606620013713837	16168.650390625	14832.076171875
incumbent	b15_C	initial	cached_hard_cone	5	N16715	control1	N16715::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__control1	-0.06085508316755295	-0.06085508316755295	0.25845175981521606	0.0025845175981521608	0.22194857895374298	0.22194857895374298	-0.0628051608800888	-5.800115749239922	-6.160416003316641	0.0617862343788147	6.17862343788147	0.3056510090827942	-0.12354980409145355	-0.017735609784722328	0.2633322775363922	0.013399908319115639	16168.650390625	15169.650390625
incumbent	b15_C	initial	cached_hard_cone	6	N16715	observe	N16715::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16715__observe	-0.0835672989487648	-0.0835672989487648	0.23834870755672455	0.0023834870755672453	0.20624828338623047	0.20624828338623047	-0.06915713846683502	-6.471116855740547	-6.804564598947763	0.059448327869176865	5.9448327869176865	0.3070262670516968	-0.12397338449954987	-0.019482286646962166	0.2958042323589325	0.0027049679774791002	16168.650390625	15207.451171875
incumbent	b15_C	initial	cached_hard_cone	7	__buf_split_3	control0	__buf_split_3::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control0	-0.056064143776893616	-0.056064143776893616	0.2648738622665405	0.0026487386226654052	0.22395513951778412	0.22395513951778412	-0.06434641778469086	-5.945812776684761	-6.3124345280230045	0.08932968974113464	8.932968974113464	0.3065982460975647	-0.12485501170158386	-0.01684683747589588	0.28189921379089355	0.0431177094578743	16170.0966796875	14725.626953125
incumbent	b15_C	initial	cached_hard_cone	8	__buf_split_3	control1	__buf_split_3::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__control1	-0.03567271679639816	-0.03567271679639816	0.2781575322151184	0.002781575322151184	0.23377716541290283	0.23377716541290283	-0.05738551542162895	-5.226616844534874	-5.61056786775589	0.06067768856883049	6.067768856883049	0.30893218517303467	-0.12495672702789307	-0.015015656128525734	0.23963817954063416	0.017731506377458572	16170.0966796875	15188.9326171875
incumbent	b15_C	initial	cached_hard_cone	9	__buf_split_3	observe	__buf_split_3::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_3__observe	-0.08383052051067352	-0.08383052051067352	0.24225465953350067	0.002422546595335007	0.2053920328617096	0.2053920328617096	-0.06980307400226593	-6.532660707831383	-6.8683957271277905	0.06364685297012329	6.364685297012329	0.30715036392211914	-0.12431548535823822	-0.019221032038331032	0.27637356519699097	0.01259762141853571	16170.0966796875	15140.9208984375
incumbent	b15_C	initial	cached_hard_cone	10	N16717	control0	N16717::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16717__control0	-0.0813671201467514	-0.0813671201467514	0.24339191615581512	0.002433919161558151	0.21170416474342346	0.21170416474342346	-0.06945711374282837	-6.490615293383598	-6.831937354058027	0.08232004940509796	8.232004940509796	0.3052206039428711	-0.12317453324794769	-0.01951342262327671	0.2983400523662567	0.030459418892860413	16168.671875	14837.666015625
