autoresearch/loop-260720-0945/model_training_round20/late_source_manifest.json
subckt_0240 nodes=584 candidates=339 baseline_tc=0.48693
subckt_0279 nodes=641 candidates=487 baseline_tc=0.54571
subckt_0173 nodes=658 candidates=512 baseline_tc=0.60396
subckt_0038 nodes=661 candidates=514 baseline_tc=0.60688
subckt_0288 nodes=781 candidates=708 baseline_tc=0.62795
subckt_0315 nodes=358 candidates=333 baseline_tc=0.65517
subckt_0150 nodes=434 candidates=334 baseline_tc=0.67785
subckt_0360 nodes=986 candidates=901 baseline_tc=0.68317
subckt_0010 nodes=652 candidates=476 baseline_tc=0.81754
subckt_0011 nodes=404 candidates=303 baseline_tc=0.82692
subckt_0281 nodes=679 candidates=509 baseline_tc=0.85000
subckt_0083 nodes=525 candidates=391 baseline_tc=0.87269
subckt_0128 nodes=527 candidates=394 baseline_tc=0.87385
subckt_0376 nodes=644 candidates=586 baseline_tc=0.91589
subckt_0012 nodes=679 candidates=628 baseline_tc=0.92562
subckt_0266 nodes=1070 candidates=867 baseline_tc=0.93499
subckt_0309 nodes=1526 candidates=1333 baseline_tc=0.97836
subckt_0230 nodes=3117 candidates=2891 baseline_tc=0.97849
