epoch,horizon,train_loss,train_jepa_loss,train_scoap_loss,train_delta_scoap_loss,train_hard_bce_loss,train_hard_rank_loss,train_hard_brier_loss,train_hard_soft_f1_loss,train_hard_count_loss,train_hard_reduction_loss,train_fc_loss,train_reward_loss,train_pattern_loss,train_return_loss,train_hard_weight,train_rollout_steps,train_oracle_loss,train_oracle_rank_loss,train_oracle_value_loss,train_oracle_candidate_loss,train_oracle_pairs,train_oracle_groups,train_oracle_weight,train_steps,train_oracle_steps,val_loss,val_jepa_loss,val_scoap_loss,val_delta_scoap_loss,val_hard_bce_loss,val_hard_rank_loss,val_hard_brier_loss,val_hard_soft_f1_loss,val_hard_count_loss,val_hard_reduction_loss,val_fc_loss,val_reward_loss,val_pattern_loss,val_return_loss,val_hard_weight,val_rollout_steps,val_steps
1,1,0.3707949814490146,0.15433779248760807,0.15173434745106432,0.0168310148962256,0.9213872059848573,0.22015787155263955,0.4403443679379092,0.914123683836725,0.06076953056371874,0.028650565042370443,0.6107069040860218,0.6107069040860218,0.0,0.61327380309443,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0,0.3541532301751431,0.08021259348606691,0.12443780602188781,0.024722195252252277,1.1814385252073407,0.22735985834151506,0.38998744322452694,0.9757516637910157,0.044446141546359286,0.06327385108909311,0.5412949936233857,0.5412949936233857,0.0,0.5265083091780953,1.0,1.0,256.0
2,2,0.5088544245540267,0.18668452446659406,0.13321931956749825,0.02194707461943229,0.8521701725779308,0.22032505901323424,0.3538325266291698,0.9061983880400658,0.09619948987642096,0.030596940382909502,0.6912560289513731,0.6912560289513731,0.0,1.1653115927734607,1.0,2.0,0.26830904468894007,0.31074934427936873,1.0054842899243037,2.8218905303213333,309.62333333333333,10.0,0.1500000000000025,900.0,900.0,0.4955691018840298,0.1255478135717567,0.12099436271819286,0.025907444029144244,1.1809156427625567,0.22463043764582835,0.335767780081369,0.9765106017002836,0.04697001361637376,0.043793910832079064,0.6488554423014578,0.6488554423014578,0.0,1.1304274371160732,1.0,2.0,256.0
3,2,0.5205249874086844,0.21081262970550194,0.13788014974238144,0.019822135525755583,0.8347660739554299,0.22195436653163697,0.3176623344173034,0.9080508448017968,0.08113425662068444,0.02975192376927244,0.691189996110156,0.691189996110156,0.0,1.1914341103541402,1.0,2.0,0.44161168730921213,0.14451008215546607,0.6277379778358672,2.5713592411412134,308.69,10.0,0.300000000000005,900.0,900.0,0.386904679282452,0.14478714528377168,0.12577967275865376,0.022964598960243165,1.1247127985116094,0.21312516584293917,0.32901997823501006,0.974961141590029,0.04545659341238206,0.04493563281579327,0.4680412479939816,0.4680412479939816,0.0,0.7586036626108301,1.0,2.0,256.0
4,3,0.6421449545632918,0.24830937603557554,0.13933286396027694,0.017125876212009675,0.7710591471747121,0.2153665758307197,0.305908662803747,0.8982025130148288,0.0779100860313822,0.023865515165752065,0.722894559069156,0.722894559069156,0.0,1.7412998942966211,1.0,3.0,0.4224836480617523,0.11450617624032829,0.5542278329282999,2.5136481489075555,310.1455555555556,10.0,0.300000000000005,900.0,900.0,0.46977436837429815,0.15114941318946268,0.12262618821114302,0.022842789726079598,1.1090146476247658,0.1979721136158334,0.3056825761450457,0.9756673198814196,0.041067729592517324,0.042112131196857305,0.5357898290867628,0.5357898290867628,0.0,1.103267132097293,1.0,3.0,256.0
5,3,0.7158419966090608,0.2601327512385668,0.13972659119853262,0.017264877722633097,0.7460564217854427,0.20521029749018566,0.304641908440325,0.8991752125598765,0.07229919518861509,0.025460290927288135,0.8311108952144064,0.8311108952144064,0.0,1.968345305112916,1.0,3.0,0.4158807940946685,0.10402870088401768,0.49896629239122076,2.4979522818989226,311.78777777777776,10.0,0.300000000000005,900.0,900.0,0.5922965691424903,0.1759515757633685,0.13052922299054137,0.01997408381672963,1.2568568855058402,0.21663545632812495,0.3089881275082005,0.9759108029926815,0.037110972565036114,0.04210663089324386,0.693041113983447,0.693041113983447,0.0,1.4810520763431845,1.0,3.0,256.0
6,4,0.8591127965164681,0.29878210136046013,0.14389415250987642,0.016667575289741055,0.7313587249277367,0.19981260842527263,0.31863989795661635,0.9095819313161903,0.06537047021349685,0.027873516911013085,0.8641826027367306,0.8641826027367306,0.0,2.577202198205822,1.0,4.0,0.4125937695304553,0.09631399214681652,0.470279521048069,2.495293104781045,308.43111111111114,10.0,0.300000000000005,900.0,900.0,0.6029943064277177,0.18540309873060323,0.1298321973736165,0.02065418735401181,1.0513844027300365,0.17154003335599555,0.3382526889326982,0.9756868923432194,0.03767045222775778,0.03921813949312991,0.5327763118775657,0.5327763118775657,0.0,1.739542112243048,1.0,4.0,256.0
7,4,0.8357966876257625,0.30327068831771614,0.1413804115448147,0.016689722471055574,0.7094598564671145,0.19649724297296617,0.3186130896748768,0.9034952470494642,0.06380317809913928,0.025518104552404944,0.8351999751614215,0.8351999751614215,0.0,2.4995701780345483,1.0,4.0,0.40742728236648773,0.09182436384260655,0.425147093385458,2.4758467696772684,311.88666666666666,10.0,0.300000000000005,900.0,900.0,0.6727528489063843,0.20716815661580767,0.11807396671792958,0.02172493921716523,1.0744222269277088,0.1838881235671579,0.33073348956531845,0.9762579234666191,0.03676026488756179,0.0391849267914921,0.6426701929025409,0.6426701929025409,0.0,1.9292869892930649,1.0,4.0,256.0
8,5,1.0723535310261783,0.3470255323847138,0.1445797793012526,0.016191845987043853,0.6907699141071896,0.193735007011849,0.3239984923005107,0.9016563400692407,0.06213605192965931,0.027087748047425,0.9197064664952754,0.9197064664952754,0.0,3.5152399180290113,1.0,5.0,0.4025881074037817,0.08726848794768254,0.41372352394792766,2.4542204928398133,311.61,10.0,0.300000000000005,900.0,900.0,0.7769451995787673,0.25592778659192855,0.11635134781245134,0.017430542405782033,1.1452080522663877,0.17970057082711735,0.32735008716117586,0.9764746667351579,0.034081110921397345,0.036995298694330395,0.6798133176791452,0.6798133176791452,0.0,2.330598343242531,1.0,5.0,256.0
9,5,1.1083960207055006,0.3626856536666548,0.14555735157181832,0.016381698723830683,0.695118935305212,0.18773146129897844,0.34259170687198626,0.9045956205129633,0.058440761967251696,0.024765149815358618,0.9377327037848956,0.9377327037848956,0.0,3.6601902865044083,1.0,5.0,0.40158087657557595,0.08465960541533099,0.39867280850807824,2.4547301512294344,307.71444444444444,10.0,0.300000000000005,900.0,900.0,0.7184370481758382,0.22491557914763682,0.11193453687010332,0.021075659387861365,0.9791489555966111,0.1651736411557067,0.34897069623693816,0.9765816712751986,0.03055999231219175,0.03716048545409482,0.6918697234562404,0.6918697234562404,0.0,2.098574182296172,1.0,5.0,256.0
10,5,1.0339681198845316,0.37094232962528856,0.14737952761434853,0.01647124039593877,0.7029996019899848,0.18593213798219094,0.3382810903191568,0.9078957458204702,0.05694383815241353,0.025985846436015578,0.8411552621170812,0.8411552621170812,0.0,3.3742020555209606,1.0,5.0,0.3993983488281568,0.08286378176468942,0.38065580123000675,2.4461738852659862,310.16555555555556,10.0,0.300000000000005,900.0,900.0,0.5716905443812714,0.25810681924922385,0.12428249039803638,0.019025668327230943,1.0237640571314839,0.16025398536585272,0.3362564224284142,0.9765133497305214,0.03498886200541166,0.037315282060546906,0.43945600649145505,0.43945600649145505,0.0,1.582006021555235,1.0,5.0,256.0
