variant_id	candidate_strategy	delta_test_coverage	safe	elapsed_sec	plan_csv	source_results
beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candnetlist__div0p0	netlist	2.999999999997449e-05		448.308	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/netlist__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candnetlist__div0p0.csv	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/netlist__guarded_reward__cumulative__div0p00__d4/results.tsv
beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0	testability	-0.010230000000000072		432.492	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candtestability__div0p0.csv	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/testability__guarded_reward__cumulative__div0p00__d4/results.tsv
beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candreconvergence__div0p0	reconvergence	-0.010600000000000054		425.463	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/reconvergence__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candreconvergence__div0p0.csv	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/reconvergence__guarded_reward__cumulative__div0p00__d4/results.tsv
beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candffr_hier__div0p0	ffr_hier	-0.010830000000000006		437.269	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/ffr_hier__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candffr_hier__div0p0.csv	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/ffr_hier__guarded_reward__cumulative__div0p00__d4/results.tsv
beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candmixed__div0p0	mixed	-0.011129999999999973		436.254	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/mixed__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candmixed__div0p0.csv	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/mixed__guarded_reward__cumulative__div0p00__d4/results.tsv
beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candffr__div0p0	ffr	-0.011580000000000035		430.546	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/ffr__guarded_reward__cumulative__div0p00__d4/plans/b17_C__beam__cumulative__guarded_reward__bw2__d2__c32__g1p0__candffr__div0p0.csv	autoresearch/safe-rollout-b17-candidates-260626-2002-par/runs/ffr__guarded_reward__cumulative__div0p00__d4/results.tsv
