benchmark_id,sequence_id,step,seed,random_patterns,candidate_count,inserted_count,candidate_id,net,type,insertion_sequence,source_bench_sha256,inserted_bench_sha256,total_faults,detected_faults,test_coverage,fault_coverage,pattern_count,effective_pattern_count,baseline_test_coverage,baseline_fault_coverage,baseline_pattern_count,baseline_effective_pattern_count,delta_test_coverage,delta_fault_coverage,delta_pattern_count,delta_effective_pattern_count,fault_list_path,fault_csv_path,hard_fault_summary_path,hard_fault_count,undetected_fault_count,fault_status_counts,work_dir,status,error,source_plan_csv,pred_score,pred_fc,pred_pattern,elapsed_sec
subckt_0372,-1,0,2026,300000,145,0,,,,[],0720fced075cde518b75c930f5a02a1e2ee4e188167efbb6f5b99eed29369c41,684fd2b22f93197b4a85797ac1a74d2b4603f67691b2a390f43eec24d7135054,166,166,1.0,1.0,300000,71,1.0,1.0,300000,71,0.0,0.0,0,0,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/baseline/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/baseline/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/baseline/hard_fault_summary.json,0,0,{},autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/baseline,ok,,autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/plan.csv,,,,0.019041776657104492
subckt_0372,0,1,2026,300000,145,1,1,__buf_split_557,CP1,"[{""candidate_id"": 1, ""net"": ""__buf_split_557"", ""type"": ""CP1"", ""score"": 0.31521761417388916}]",0720fced075cde518b75c930f5a02a1e2ee4e188167efbb6f5b99eed29369c41,c493a9c98ac3555d5ea50639ee91db3708b8ce21dd98150fc91e888e9e1b2896,168,168,1.0,1.0,300000,72,1.0,1.0,300000,71,0.0,0.0,0,1,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/seq_0000/step_0001/faults.rpt,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/seq_0000/step_0001/faults_undetected.csv,/data4/pengqingsong/DFT/TPI-my.3/autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/seq_0000/step_0001/hard_fault_summary.json,0,0,{},autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/subckt_0372/seq_0000/step_0001,ok,,autoresearch/oracle-negative-rich-260629/topup/evals/subckt_0372/initial/__buf_split_557__control1/plan.csv,0.31521761417388916,0.0031521761417388915,0.48214781284332275,0.018912315368652344
