variant	planner	score	final_tc_pct	gap_vs_deeptpi_pp	plan_types	plan_sec	decision
heuristic_cluster_c48	candidate_baseline	heuristic	92.916	-0.284	93 control0; 93 control1; 92 observe	-	discard
q_lcb_cluster_c48	greedy	q_pred_lcb	92.819	-0.381	273 observe; 3 control1; 2 control0	192.552	discard
reward_cluster_c48	greedy	reward_pred	94.614	1.414	164 observe; 111 control1; 3 control0	132.600	keep
reward_beam2_cluster_c48	beam2-depth2	reward_pred	93.996	0.796	216 observe; 59 control1; 3 control0	195.409	discard
