config	run_dir	score_field	seed	epochs	best_final_horizon	last_epoch	last_horizon	last_val_loss	last_train_oracle_loss
configs/planner_aligned_q_rank_v2_safe.json	runs/planner_aligned_q_rank_v2_safe	q_pred	2030	12	True	12	5	0.2005172976350878	0.6259376614954737
configs/planner_aligned_q_rank_v2_seed2_safe.json	runs/planner_aligned_q_rank_v2_seed2_safe	q_pred	2033	12	True	12	5	0.24140304835455015	0.5684382014473279
configs/planner_aligned_q_rank_v3_ndcg_safe.json	runs/planner_aligned_q_rank_v3_ndcg_safe	q_pred	2039	12	True	12	5	0.4267077751457692	0.8862121793296602
configs/planner_aligned_q_rank_v4_conservative_safe.json	runs/planner_aligned_q_rank_v4_conservative_safe	q_pred	2040	12	True	12	5	0.2502308701397852	0.45621617610255877
configs/planner_aligned_q_rank_v5_context_safe.json	runs/planner_aligned_q_rank_v5_context_safe	q_pred	2041	12	True	12	5	0.11966373599134386	0.4847015823920568
configs/planner_aligned_reward_rank_v3_safe.json	runs/planner_aligned_reward_rank_v3_safe	reward_pred	2031	14	True	14	5	0.09948069960228163	0.6030127257770962
configs/planner_aligned_reward_rank_v3_seed2_safe.json	runs/planner_aligned_reward_rank_v3_seed2_safe	reward_pred	2034	14	True	14	5	0.8027809208317195	0.5111188142829471
configs/planner_aligned_reward_rank_v4_ndcg_safe.json	runs/planner_aligned_reward_rank_v4_ndcg_safe	reward_pred	2038	14	True	14	5	0.4603074579499663	0.8780212426847882
configs/planner_aligned_reward_rank_v5_context_safe.json	runs/planner_aligned_reward_rank_v5_context_safe	reward_pred	2042	14	True	14	5	0.45667480644187863	0.4176216854982906
configs/planner_aligned_guarded_reward_rank_v1_safe.json	runs/planner_aligned_guarded_reward_rank_v1_safe	guarded_reward	2032	14	True	14	5	0.9461481893260496	0.5009528533948793
configs/planner_aligned_guarded_reward_rank_v1_seed2_safe.json	runs/planner_aligned_guarded_reward_rank_v1_seed2_safe	guarded_reward	2036	14	True	14	5	2.087497082026678	0.46645517276393045
configs/planner_aligned_hybrid_rank_v1_safe.json	runs/planner_aligned_hybrid_rank_v1_safe	hybrid_pred	2035	14	True	14	5	0.1524537274322939	0.45888802889320585
configs/planner_aligned_hybrid_rank_v1_seed2_safe.json	runs/planner_aligned_hybrid_rank_v1_seed2_safe	hybrid_pred	2037	14	True	14	5	0.754313205840299	0.393332192103068
