line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
23,__tpi_not_test_en->__tpi_cp_31___aig_not_62455 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_31___aig_not_62455,__tpi_cp_31___aig_not_62455,1,undetected,__tpi_cp_31___aig_not_62455,__tpi_cp_31___aig_not_62455,__tpi_cp_31___aig_not_62455,sa1,1
24,__tpi_not_test_en->__tpi_cp_28___aig_and_32881 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_28___aig_and_32881,__tpi_cp_28___aig_and_32881,1,undetected,__tpi_cp_28___aig_and_32881,__tpi_cp_28___aig_and_32881,__tpi_cp_28___aig_and_32881,sa1,1
25,__tpi_not_test_en->__tpi_cp_37___aig_and_62376 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_37___aig_and_62376,__tpi_cp_37___aig_and_62376,1,undetected,__tpi_cp_37___aig_and_62376,__tpi_cp_37___aig_and_62376,__tpi_cp_37___aig_and_62376,sa1,1
26,__aig_not_61944 /1 undetected,output,,__aig_not_61944,__aig_not_61944,1,undetected,__aig_not_61944,__aig_not_61944,__aig_not_61944,sa1,1
27,__aig_and_31990 /0 undetected,output,,__aig_and_31990,__aig_and_31990,0,undetected,__aig_and_31990,__aig_and_31990,__aig_and_31990,sa0,1
28,__aig_not_31981 /1 undetected,output,,__aig_not_31981,__aig_not_31981,1,undetected,__aig_not_31981,__aig_not_31981,__aig_not_31981,sa1,1
29,__aig_not_31983 /1 undetected,output,,__aig_not_31983,__aig_not_31983,1,undetected,__aig_not_31983,__aig_not_31983,__aig_not_31983,sa1,1
30,__aig_not_31985 /1 undetected,output,,__aig_not_31985,__aig_not_31985,1,undetected,__aig_not_31985,__aig_not_31985,__aig_not_31985,sa1,1
31,__aig_not_31987 /1 undetected,output,,__aig_not_31987,__aig_not_31987,1,undetected,__aig_not_31987,__aig_not_31987,__aig_not_31987,sa1,1
32,__aig_not_31989 /1 undetected,output,,__aig_not_31989,__aig_not_31989,1,undetected,__aig_not_31989,__aig_not_31989,__aig_not_31989,sa1,1
33,__aig_not_61930 /1 undetected,output,,__aig_not_61930,__aig_not_61930,1,undetected,__aig_not_61930,__aig_not_61930,__aig_not_61930,sa1,1
34,__buf_split_39848 /1 undetected,output,,__buf_split_39848,__buf_split_39848,1,undetected,__buf_split_39848,__buf_split_39848,__buf_split_39848,sa1,1
35,__aig_not_61925 /1 undetected,output,,__aig_not_61925,__aig_not_61925,1,undetected,__aig_not_61925,__aig_not_61925,__aig_not_61925,sa1,1
36,__aig_not_31979 /1 undetected,output,,__aig_not_31979,__aig_not_31979,1,undetected,__aig_not_31979,__aig_not_31979,__aig_not_31979,sa1,1
37,__tpi_not_test_en->__tpi_cp_9_new_n15285 /1 undetected,input_edge,__tpi_not_test_en,__tpi_cp_9_new_n15285,__tpi_cp_9_new_n15285,1,undetected,__tpi_cp_9_new_n15285,__tpi_cp_9_new_n15285,__tpi_cp_9_new_n15285,sa1,1
38,new_n15285 /1 undetected,output,,new_n15285,new_n15285,1,undetected,new_n15285,new_n15285,new_n15285,sa1,1
39,__buf_split_20795 /1 undetected,output,,__buf_split_20795,__buf_split_20795,1,undetected,__buf_split_20795,__buf_split_20795,__buf_split_20795,sa1,1
40,__buf_split_20794 /1 undetected,output,,__buf_split_20794,__buf_split_20794,1,undetected,__buf_split_20794,__buf_split_20794,__buf_split_20794,sa1,1
