[gmean] 2026-07-18T01:27:02 out_dir=autoresearch/unified-b15-reward-c48-exact-260718/b21_C
[gmean] 2026-07-18T01:27:02 budgets=iscas99__b21:628
[gmean] 2026-07-18T01:27:02 variant_start id=greedy__cumulative__reward_pred__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-18T01:27:02 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=reward_pred
[plan iscas99__b21] [plan] step=69 node=N17395 type=control0 reward_pred=0.136362 sequence=9.657001
[plan iscas99__b21] [plan] step=70 node=N17896 type=control0 reward_pred=0.134176 sequence=9.791178
[plan iscas99__b21] [plan] step=71 node=N18996 type=control0 reward_pred=0.132070 sequence=9.923248
[plan iscas99__b21] [plan] step=72 node=N16894 type=control0 reward_pred=0.130093 sequence=10.053340
[plan iscas99__b21] [plan] step=73 node=N13266 type=control0 reward_pred=0.128374 sequence=10.181715
[plan iscas99__b21] [plan] step=74 node=N15973 type=observe reward_pred=-0.127790 sequence=10.053925
[plan iscas99__b21] [plan] step=75 node=N16821 type=observe reward_pred=-0.122446 sequence=9.931479
[plan iscas99__b21] [plan] step=76 node=N17823 type=observe reward_pred=-0.119205 sequence=9.812274
[plan iscas99__b21] [plan] step=77 node=N18923 type=observe reward_pred=-0.117002 sequence=9.695272
[plan iscas99__b21] [plan] step=78 node=N18929 type=observe reward_pred=-0.115199 sequence=9.580073
[plan iscas99__b21] [plan] step=79 node=N13199 type=observe reward_pred=-0.113865 sequence=9.466209
[plan iscas99__b21] [plan] step=80 node=N13193 type=observe reward_pred=-0.113122 sequence=9.353087
[plan iscas99__b21] [plan] step=81 node=N11145 type=control1 reward_pred=-0.110696 sequence=9.242391
[plan iscas99__b21] [plan] step=82 node=N13691 type=observe reward_pred=-0.110370 sequence=9.132022
[plan iscas99__b21] [plan] step=83 node=N18332 type=observe reward_pred=-0.110228 sequence=9.021793
[plan iscas99__b21] [plan] step=84 node=N11072 type=control1 reward_pred=-0.110132 sequence=8.911661
[plan iscas99__b21] [plan] step=85 node=N846 type=control1 reward_pred=0.143842 sequence=9.055503
[plan iscas99__b21] [plan] step=86 node=N11065 type=control1 reward_pred=0.149195 sequence=9.204698
[plan iscas99__b21] [plan] step=87 node=N1793 type=control1 reward_pred=0.149155 sequence=9.353853
[plan iscas99__b21] [plan] step=88 node=N15872 type=control1 reward_pred=0.147069 sequence=9.500922
[plan iscas99__b21] [plan] step=89 node=N15814 type=control1 reward_pred=0.148176 sequence=9.649098
[plan iscas99__b21] [plan] step=90 node=N12515 type=control1 reward_pred=0.146523 sequence=9.795621
[plan iscas99__b21] [plan] step=91 node=N13697 type=observe reward_pred=0.145646 sequence=9.941267
[plan iscas99__b21] [plan] step=92 node=N4104 type=control1 reward_pred=0.144794 sequence=10.086061
[plan iscas99__b21] [plan] step=93 node=N991 type=observe reward_pred=0.145531 sequence=10.231592
[plan iscas99__b21] [plan] step=94 node=N14189 type=observe reward_pred=0.145487 sequence=10.377079
[plan iscas99__b21] [plan] step=95 node=N844 type=control1 reward_pred=0.145011 sequence=10.522090
[plan iscas99__b21] [plan] step=96 node=N997 type=observe reward_pred=0.145847 sequence=10.667937
[plan iscas99__b21] [plan] step=97 node=N12711 type=observe reward_pred=0.145889 sequence=10.813826
[plan iscas99__b21] [plan] step=98 node=N4102 type=control1 reward_pred=0.146470 sequence=10.960296
[plan iscas99__b21] [plan] step=99 node=N4095 type=control1 reward_pred=0.147052 sequence=11.107348
[plan iscas99__b21] [plan] step=100 node=N5048 type=control1 reward_pred=0.151446 sequence=11.258794
[plan iscas99__b21] [plan] step=101 node=N14896 type=control1 reward_pred=0.150816 sequence=11.409610
[plan iscas99__b21] [plan] step=102 node=N14900 type=control1 reward_pred=0.150527 sequence=11.560137
[plan iscas99__b21] [plan] step=103 node=N19296 type=observe reward_pred=0.150171 sequence=11.710308
[plan iscas99__b21] [plan] step=104 node=N12806 type=control0 reward_pred=0.147732 sequence=11.858040
[plan iscas99__b21] [plan] step=105 node=N5047 type=control1 reward_pred=0.152735 sequence=12.010775
[plan iscas99__b21] [plan] step=106 node=N13548 type=control0 reward_pred=0.145104 sequence=12.155879
[plan iscas99__b21] [plan] step=107 node=N1834 type=control1 reward_pred=0.151478 sequence=12.307357
[plan iscas99__b21] [plan] step=108 node=N17181 type=control0 reward_pred=0.144010 sequence=12.451367
[plan iscas99__b21] [plan] step=109 node=N9167 type=control0 reward_pred=0.140403 sequence=12.591771
[plan iscas99__b21] [plan] step=110 node=N15874 type=control1 reward_pred=0.135768 sequence=12.727539
[plan iscas99__b21] [plan] step=111 node=N3104 type=control0 reward_pred=-0.026919 sequence=12.700620
[plan iscas99__b21] [plan] step=112 node=N11056 type=control1 reward_pred=-0.116180 sequence=12.584440
[plan iscas99__b21] [plan] step=113 node=N2997 type=control0 reward_pred=0.103038 sequence=12.687477
[plan iscas99__b21] [plan] step=114 node=N3149 type=control0 reward_pred=0.132052 sequence=12.819530
[plan iscas99__b21] [plan] step=115 node=N840 type=control1 reward_pred=-0.103818 sequence=12.715712
[plan iscas99__b21] [plan] step=116 node=N11057 type=control1 reward_pred=-0.054978 sequence=12.660734
[plan iscas99__b21] [plan] step=117 node=N11071 type=control1 reward_pred=-0.053274 sequence=12.607460
[plan iscas99__b21] [plan] step=118 node=N11075 type=control1 reward_pred=-0.051765 sequence=12.555695
[plan iscas99__b21] [plan] step=119 node=N11066 type=control1 reward_pred=0.065553 sequence=12.621248
[plan iscas99__b21] [plan] step=120 node=N11070 type=control1 reward_pred=0.071971 sequence=12.693218
[plan iscas99__b21] [plan] step=121 node=N4098 type=control1 reward_pred=0.102205 sequence=12.795423
[plan iscas99__b21] [plan] step=122 node=N11062 type=control1 reward_pred=0.099667 sequence=12.895091
[plan iscas99__b21] [plan] step=123 node=N11063 type=control1 reward_pred=0.100550 sequence=12.995640
[plan iscas99__b21] [plan] step=124 node=N11058 type=control1 reward_pred=0.102006 sequence=13.097647
[plan iscas99__b21] [plan] step=125 node=N11069 type=control1 reward_pred=0.103709 sequence=13.201356
[plan iscas99__b21] [plan] step=126 node=N11055 type=control1 reward_pred=0.105568 sequence=13.306924
[plan iscas99__b21] [plan] step=127 node=N11054 type=control1 reward_pred=0.107426 sequence=13.414350
[plan iscas99__b21] [plan] step=128 node=N11064 type=control1 reward_pred=0.109554 sequence=13.523904
[plan iscas99__b21] [plan] step=129 node=N11059 type=control1 reward_pred=0.111498 sequence=13.635402
[plan iscas99__b21] [plan] step=130 node=N1278 type=control1 reward_pred=0.099667 sequence=13.735068
[plan iscas99__b21] [plan] step=131 node=N1833 type=control1 reward_pred=0.089058 sequence=13.824127
[plan iscas99__b21] [plan] step=132 node=N7166 type=control0 reward_pred=0.072071 sequence=13.896197
[plan iscas99__b21] [plan] step=133 node=N4004 type=control0 reward_pred=0.131968 sequence=14.028165
[plan iscas99__b21] [plan] step=134 node=N15037 type=control0 reward_pred=0.138176 sequence=14.166342
[plan iscas99__b21] [plan] step=135 node=N16659 type=observe reward_pred=0.148440 sequence=14.314781
[plan iscas99__b21] [plan] step=136 node=N17682 type=control0 reward_pred=0.156625 sequence=14.471406
[plan iscas99__b21] [plan] step=137 node=N13050 type=control0 reward_pred=0.154043 sequence=14.625449
[plan iscas99__b21] [plan] step=138 node=N15024 type=control0 reward_pred=0.156850 sequence=14.782299
[plan iscas99__b21] [plan] step=139 node=N4097 type=control1 reward_pred=0.160095 sequence=14.942394
[plan iscas99__b21] [plan] step=140 node=N4099 type=control1 reward_pred=0.161473 sequence=15.103867
[plan iscas99__b21] [plan] step=141 node=N10981 type=control0 reward_pred=0.156456 sequence=15.260323
[plan iscas99__b21] [plan] step=142 node=N839 type=control1 reward_pred=0.160207 sequence=15.420530
[plan iscas99__b21] [plan] step=143 node=N10978 type=control0 reward_pred=0.154754 sequence=15.575284
[plan iscas99__b21] [plan] step=144 node=N4009 type=control0 reward_pred=0.149624 sequence=15.724908
[plan iscas99__b21] [plan] step=145 node=N4804 type=observe reward_pred=-0.041878 sequence=15.683030
[plan iscas99__b21] [plan] step=146 node=N1555 type=observe reward_pred=-0.025014 sequence=15.658016
[plan iscas99__b21] [plan] step=147 node=N11137 type=observe reward_pred=0.129720 sequence=15.787737
[plan iscas99__b21] [plan] step=148 node=N11133 type=observe reward_pred=0.147020 sequence=15.934756
[plan iscas99__b21] [plan] step=149 node=N11130 type=observe reward_pred=0.172582 sequence=16.107338
[plan iscas99__b21] [plan] step=150 node=N11125 type=observe reward_pred=0.177230 sequence=16.284569
[plan iscas99__b21] [plan] step=151 node=N11103 type=observe reward_pred=0.198032 sequence=16.482600
[plan iscas99__b21] [plan] step=152 node=N11105 type=observe reward_pred=0.218914 sequence=16.701514
[plan iscas99__b21] [plan] step=153 node=N11460 type=observe reward_pred=0.216275 sequence=16.917789
[plan iscas99__b21] [plan] step=154 node=N10402 type=control1 reward_pred=0.151841 sequence=17.069630
[plan iscas99__b21] [plan] step=155 node=N8971 type=control1 reward_pred=0.115776 sequence=17.185406
[plan iscas99__b21] [plan] step=156 node=N842 type=control1 reward_pred=0.111886 sequence=17.297292
[plan iscas99__b21] [plan] step=157 node=N1684 type=control1 reward_pred=0.094454 sequence=17.391746
[plan iscas99__b21] [plan] step=158 node=N12794 type=control1 reward_pred=-0.031036 sequence=17.360710
[plan iscas99__b21] [plan] step=159 node=N1272 type=control1 reward_pred=-0.034117 sequence=17.326593
[plan iscas99__b21] [plan] step=160 node=N845 type=control1 reward_pred=0.008923 sequence=17.335516
[plan iscas99__b21] [plan] step=161 node=N4103 type=control1 reward_pred=0.074083 sequence=17.409599
[plan iscas99__b21] [plan] step=162 node=N11080 type=control1 reward_pred=0.089212 sequence=17.498811
[plan iscas99__b21] [plan] step=163 node=N4531 type=control1 reward_pred=-0.032152 sequence=17.466659
[plan iscas99__b21] [plan] step=164 node=N14996 type=control1 reward_pred=-0.036276 sequence=17.430382
[plan iscas99__b21] [plan] step=165 node=N16221 type=observe reward_pred=-0.043711 sequence=17.386671
[plan iscas99__b21] [plan] step=166 node=N20240 type=observe reward_pred=-0.046598 sequence=17.340072
[plan iscas99__b21] [plan] step=167 node=N19768 type=observe reward_pred=-0.048598 sequence=17.291475
[plan iscas99__b21] [plan] step=168 node=N5589 type=observe reward_pred=-0.050224 sequence=17.241251
[plan iscas99__b21] [plan] step=169 node=N5551 type=observe reward_pred=-0.051442 sequence=17.189809
[plan iscas99__b21] [plan] step=170 node=N5627 type=observe reward_pred=-0.052324 sequence=17.137485
[plan iscas99__b21] [plan] step=171 node=N5665 type=observe reward_pred=-0.052912 sequence=17.084573
[plan iscas99__b21] [plan] step=172 node=N5722 type=observe reward_pred=-0.053199 sequence=17.031374
[plan iscas99__b21] [plan] step=173 node=N5570 type=observe reward_pred=-0.053196 sequence=16.978177
[plan iscas99__b21] [plan] step=174 node=N5646 type=observe reward_pred=-0.052940 sequence=16.925238
