benchmark_id	state_id	candidate_strategy	score_field	oracle_best_action	oracle_best_delta_tc	model_top1_action	model_top1_pred	model_top1_real_delta_tc	top1_regret	negative_top1
b15_C	initial	cached_stride	reward_pred	__buf_split_2536::control1	0.03266000000000013	N12321::control0	0.36523520946502686	0.030590000000000006	0.0020700000000001273	0
b15_C	initial	cached_stride	guarded_reward	__buf_split_2536::control1	0.03266000000000013	N12321::control0	0.2956571877002716	0.030590000000000006	0.0020700000000001273	0
b15_C	initial	cached_stride	hard_reduction_total_pred	__buf_split_2536::control1	0.03266000000000013	N12321::control0	-0.0010789595544338226	0.030590000000000006	0.0020700000000001273	0
b15_C	initial	cached_stride	hybrid_pred	__buf_split_2536::control1	0.03266000000000013	N12321::control0	0.5529964417219162	0.030590000000000006	0.0020700000000001273	0
b15_C	initial	cached_hard_cone	reward_pred	__buf_split_1::control0	0.030590000000000006	__buf_split_13::control1	0.2781575918197632	0.030590000000000006	0.0	0
b15_C	initial	cached_hard_cone	guarded_reward	__buf_split_1::control0	0.030590000000000006	__buf_split_3::control1	0.23377732932567596	0.030590000000000006	0.0	0
b15_C	initial	cached_hard_cone	hard_reduction_total_pred	__buf_split_1::control0	0.030590000000000006	__buf_split_7::control1	-0.057385485619306564	0.030590000000000006	0.0	0
b15_C	initial	cached_hard_cone	hybrid_pred	__buf_split_1::control0	0.030590000000000006	__buf_split_7::control1	-5.226613759994507	0.030590000000000006	0.0	0
b15_C	initial	hard_fault_recall_union	reward_pred	N6666::observe	0.06855000000000011	N6538::control1	0.37366247177124023	0.03064000000000011	0.03791	0
b15_C	initial	hard_fault_recall_union	guarded_reward	N6666::observe	0.06855000000000011	N6538::control1	0.29674971103668213	0.03064000000000011	0.03791	0
b15_C	initial	hard_fault_recall_union	hard_reduction_total_pred	N6666::observe	0.06855000000000011	N6538::control1	0.0063741691410541534	0.03064000000000011	0.03791	0
b15_C	initial	hard_fault_recall_union	hybrid_pred	N6666::observe	0.06855000000000011	N6538::control1	1.3078290969133377	0.03064000000000011	0.03791	0
i2c_aig	initial	cached_stride	reward_pred	N295::observe	0.0025300000000000322	N295::control1	0.33733534812927246	-0.01811000000000007	0.020640000000000103	1
i2c_aig	initial	cached_stride	guarded_reward	N295::observe	0.0025300000000000322	N295::control1	0.33733534812927246	-0.01811000000000007	0.020640000000000103	1
i2c_aig	initial	cached_stride	hard_reduction_total_pred	N295::observe	0.0025300000000000322	N252::observe	0.0756273865699768	5.999999999994898e-05	0.0024700000000000832	0
i2c_aig	initial	cached_stride	hybrid_pred	N295::observe	0.0025300000000000322	N252::observe	8.267587333917618	5.999999999994898e-05	0.0024700000000000832	0
i2c_aig	initial	cached_hard_cone	reward_pred	N156::observe	5.999999999994898e-05	N247::control0	0.32904577255249023	-0.027800000000000047	0.027859999999999996	1
i2c_aig	initial	cached_hard_cone	guarded_reward	N156::observe	5.999999999994898e-05	N247::control0	0.32904577255249023	-0.027800000000000047	0.027859999999999996	1
i2c_aig	initial	cached_hard_cone	hard_reduction_total_pred	N156::observe	5.999999999994898e-05	N247::observe	0.07648220658302307	5.999999999994898e-05	0.0	0
i2c_aig	initial	cached_hard_cone	hybrid_pred	N156::observe	5.999999999994898e-05	N247::observe	8.355056315660477	5.999999999994898e-05	0.0	0
i2c_aig	initial	hard_fault_recall_union	reward_pred	N289::observe	0.004749999999999921	N634::control0	0.34343695640563965	-0.02811000000000008	0.03286	1
i2c_aig	initial	hard_fault_recall_union	guarded_reward	N289::observe	0.004749999999999921	N634::control0	0.34343695640563965	-0.02811000000000008	0.03286	1
i2c_aig	initial	hard_fault_recall_union	hard_reduction_total_pred	N289::observe	0.004749999999999921	N634::control0	0.07589627802371979	-0.02811000000000008	0.03286	1
i2c_aig	initial	hard_fault_recall_union	hybrid_pred	N289::observe	0.004749999999999921	N634::control0	8.316704034805298	-0.02811000000000008	0.03286	1
